# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784881142.0037541,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.186261674389243,,6.244438608173368,,9.709469906287268,,0.9883060927968472,,4.064578563906252,,1.9313449095352553,,4.954362271353602,,8.4375,-3.725290298461914e-09,-0.011770972341764718,0.03066734946332872,1.4175648614764214,1.0218851566314697,0.0,1.026324987411499,0.31419187784194946,0.004707831423729658,0.6584758758544922,0.6917300224304199,16,0.4124008119106293,5.564533233642578,0.19673962891101837,32768,170,16,1,-115.78518,0.16686551803722977,-0.0025529020887915975,5.66711155474186,-112.75759,0.24741381406784058,-0.003323466085566906,5.677207216620445,,,0.95,0.9,both,0.3696981419670727,0.3725320831561375,0.946285241439262,0.0,-107.95642,2170.9838885525824,-115.78518
1,1784881218.3096194,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.625558475992875,,5.814510280149989,,9.587331621383782,,0.9026309566397686,,3.776762222900288,,1.9526366696227342,,4.813690822105855,,7.875,0.0,-0.005766894522821531,0.019524368515703827,1.4183277152478695,1.0082802772521973,0.9357753396034241,1.0043262243270874,0.03352583944797516,0.005468268413096666,0.6876605153083801,0.6766659021377563,96,0.433203786611557,5.293514728546143,0.06712276488542557,196608,706,96,6,-129.18224,0.02909232980455272,-0.003345890909258742,5.6103195428848265,-121.71122,0.07297251101117581,-0.0026795887140906418,5.652302631735802,,,0.95,0.9,both,0.27198394156125677,0.2409890089761956,1.1280597349823913,0.0,-139.73337,2147.1491286720543,-129.18224
2,1784881295.6057692,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.423549436731264,,6.2939166784635745,,9.870633055455983,,1.07013048697263,,4.211748803267255,,2.242354749352671,,4.941945033962838,,8.0625,0.0,-0.003318847855553031,0.01291127620061161,1.42023004591465,0.9571403861045837,0.9341668486595154,0.9359662532806396,-0.01249063853174448,0.004818242508918047,0.6540690660476685,0.6891270875930786,176,0.37372952699661255,5.639597415924072,0.044927991926670074,360448,943,176,11,-125.7026,0.012715201207902283,-0.003053648526838515,5.390339651703835,-129.75383,0.023217783781001346,-0.0025060642379685304,5.5005508959293365,,,0.95,0.9,both,0.27606496241480855,0.23571426366624065,0.8333145997198337,0.0,-132.11087,2119.639652595512,-125.7026
3,1784881370.7090948,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.393270440865308,,5.204903768375516,,9.244651798624545,,0.6787725978065282,,3.672181449830532,,1.7202674597501755,,4.747591070365161,,7.375,0.0,-0.003632614971138537,0.0007563847975688986,1.4213426485657692,0.8873459100723267,0.9328452944755554,0.8192832469940186,-0.007898952811956406,0.003757647704333067,0.7831072807312012,0.6801074147224426,256,0.32852470874786377,5.004579544067383,0.01687697507441044,524288,1144,256,16,-114.77965,0.009437183500267565,-0.004125029186252504,5.112725427746772,-130.6154,0.010406826026155613,-0.0025712895032484083,5.270039674639702,,,0.95,0.9,both,0.30285788421851983,0.292256371742922,0.7330744165898362,0.0,-120.80025,2181.5281135500977,-114.77965
4,1784881446.054265,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.013187369215302,,6.273410830646753,,9.87205152399838,,1.1991921128355898,,4.033943927381188,,1.9496926413848996,,4.858855885686353,,8.125,1.3969838619232178e-09,-0.0075694991974160075,0.005667320954671595,1.428059034049511,0.717501699924469,0.9313845634460449,0.5634528994560242,0.018939262256026268,0.0038351176772266626,1.0596833229064941,0.7124268412590027,336,0.4029686152935028,5.540666580200195,0.020849313586950302,688128,1354,336,21,-111.337906,0.011050374165643006,-0.0062697286499314945,4.793544524908066,-115.63688,0.016216387687018143,-0.002362663579697255,4.982087978720665,,,0.95,0.9,both,0.347721628878468,0.3299233590251044,0.777010218853746,0.0,-118.70056,2174.525521166775,-111.337906
5,1784881520.8156927,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.578280722722411,,6.360234635067172,,9.8867904022336,,1.1403038329444826,,4.206841945997439,,2.2298478512093425,,4.932606657966971,,8.625,-1.1641532182693481e-10,-0.0028790581272915006,0.015866584857576527,1.4314605258405209,0.6238124966621399,0.9268244504928589,0.43642497062683105,0.00298264529556036,0.008688150905072689,1.4614388942718506,0.7641398310661316,416,0.34903809428215027,5.744987964630127,0.015867674723267555,851968,1594,416,26,-142.87892,0.01667072179261595,-0.003726772229856579,4.559072571992874,-111.07583,0.012774750945391133,-0.0029151392518542707,4.7154981911182405,,,0.95,0.9,both,0.38391203043902145,0.3819979072457993,0.8165434458257597,0.0,-115.43746,2191.5046897174566,-142.87892
6,1784881596.8984282,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.138629795284942,,6.114430541405454,,9.718564035370946,,1.0036118729040027,,3.9899675823980942,,1.9501761930878274,,4.816525453643408,,7.875,4.656612873077393e-10,-0.010661706866812892,0.04637443681713194,1.4335931912064552,0.6332852840423584,0.9220492243766785,0.43686115741729736,0.04885115474462509,0.018592579290270805,1.4973621368408203,0.7516778707504272,496,0.39307141304016113,5.450863361358643,0.03370743989944458,1015808,1840,496,31,-136.41342,0.018789213371928782,-0.0032314161289832555,4.347719728946686,-118.489624,0.016208077664487064,-0.0028325758248683996,4.43854173719883,,,0.95,0.9,both,0.42460270666925737,0.39615746149486986,1.223726438381981,0.0,-127.30359,2153.4467129372665,-136.41342
7,1784881670.014321,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.131426584906876,,5.913285666654701,,9.645106261887122,,0.8160252437228337,,4.064135476364754,,1.9900694763055071,,4.937815682031214,,8.125,1.3969838619232178e-09,-0.011854273383505642,0.014769109846383799,1.432868666946888,0.36136168241500854,0.9194449186325073,0.18299543857574463,-0.013991101644933224,0.04275035113096237,1.2219935655593872,0.7462149262428284,576,0.41598546504974365,5.452857971191406,0.02990487962961197,1179648,2156,576,36,-115.951645,0.026892683107871563,-0.0018745057299383917,4.097425705194473,-100.12656,0.033699219522532076,-0.002840686065610498,4.224829536676407,,,0.95,0.9,both,0.4953928105399771,0.4543887467890825,0.8436993717390318,0.0,-117.978806,2240.8242200301647,-115.951645
8,1784881743.0889754,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.907828324474394,,5.913195812827325,,9.775131971837254,,0.8288815403357148,,3.942959351465106,,1.9877682756632566,,4.7553467894904315,,7.875,-2.7939677238464355e-09,0.0004523213719949126,0.001291607915845816,1.433151114732027,0.5550928115844727,0.942771315574646,0.38340428471565247,-0.022978466004133224,0.07153946161270142,1.1010186672210693,0.7359316945075989,656,0.45499396324157715,5.373263835906982,0.055189911276102066,1343488,2460,656,41,-123.863625,0.024214648420456796,-0.0019314012592076325,3.918195278942585,-107.41514,0.03392874546116218,-0.002578675460244995,3.99896110445261,,,0.95,0.9,both,0.5313143529100681,0.5452276583169995,0.5336409247380881,0.0,-106.507034,2242.090129922628,-123.863625
9,1784881815.8603318,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.993487922707573,,5.995000850409269,,9.539995617233217,,0.865602801553905,,3.9151678271591663,,1.8556266748346388,,4.7551194364205,,7.625,1.862645149230957e-09,-0.012452041322831064,0.013047187123447657,1.4352803565561771,0.29591333866119385,0.9119110107421875,0.2767922282218933,0.15978077054023743,0.05532698333263397,1.114870309829712,0.7353507280349731,736,0.45055294036865234,5.318125247955322,0.052393797785043716,1507328,2736,736,46,-101.437805,0.016035721340449526,-0.002955834036401939,3.6420977234840395,-97.23768,0.03246699683368206,-0.0025426778171095065,3.8059292048215867,,,0.95,0.9,both,0.5645488803412901,0.5607445715775528,0.8736475670965212,0.0,-99.86599,2251.435587918156,-101.437805
