# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784882139.1353114,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.99301737989299,,4.828707475680858,,6.9343945385480765,,1.8528420617221855,,2.7879527991171926,-4.656612873077393e-10,-0.00582998863683315,0.024235063865489792,1.420641452074051,1.0048949718475342,0.0,1.0330268144607544,0.019904203712940216,0.002699486678466201,0.6366050243377686,0.734881579875946,16,0.4646395742893219,4.279382228851318,0.11248046159744263,32768,55,16,1,-213.6014,0.07420102109899744,-0.002622052084188908,5.6672485083341595,-122.9473,0.09445438690017909,-0.0028708934507449156,5.670659279823303,,,0.95,0.9,both,0.3791837057554571,0.36939940080493233,1.1244741219111418,0.0,-169.92162,1985.6784435385098,-213.6014
1,1784882214.194963,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.505444001639262,,5.317149315524148,,7.8584146574139595,,2.087203494971618,,2.84646361671912,0.0,-0.004396975273266435,0.10203886177623644,1.430028647184372,0.9588860273361206,0.9352321624755859,0.9361331462860107,0.005051455460488796,0.0007342601893469691,0.614621639251709,0.757209300994873,96,0.4113387167453766,4.722934722900391,0.03583561256527901,196608,279,96,6,-187.91684,0.051348967594094574,-0.0037765519140521065,5.558665749430657,-129.81747,0.04723020845558494,-0.003248267984599806,5.552044257521629,,,0.95,0.9,both,0.27086623927109726,0.23560315622240174,1.9324851349481147,0.0,-134.65128,2182.797230538337,-187.91684
2,1784882290.302708,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.367375547939446,,4.820464159362018,,6.98034027882386,,1.931678844441194,,2.677833379013464,0.0,-0.013761408765276428,3.74400655118734e-05,1.4334541074931622,0.8820399045944214,0.9331496953964233,0.8188456296920776,-0.016245972365140915,0.0074349562637507915,0.7290618419647217,0.7453035116195679,176,0.5518407821655273,4.355538368225098,0.038824886083602905,360448,604,176,11,-123.26906,0.04196315425215289,-0.003148983060964383,5.412178263068199,-120.49302,0.03626076258951798,-0.003201731394074159,5.451860436797142,,,0.95,0.9,both,0.2897121846306977,0.2564782331182978,0.9393364005061671,0.0,-131.95651,2152.738028457096,-123.26906
3,1784882366.9006586,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.182562951173168,,4.667645654582884,,6.971827809233218,,1.9710077102936339,,2.6922215146478266,4.656612873077393e-10,0.0005095431115478277,0.041825155189144425,1.4394707158207893,0.781670868396759,0.9284034371376038,0.6664358377456665,0.02602531760931015,0.035967689007520676,0.9283969402313232,0.752570390701294,256,0.5173060297966003,4.297053337097168,0.017244020476937294,524288,1051,256,16,-118.87547,0.043001592357177286,-0.002107892719504889,5.353086856007576,-121.96753,0.02177471209433861,-0.0026314736998756414,5.31691712141037,,,0.95,0.9,both,0.2899805285216145,0.2894478740852329,1.234513797339282,0.0,-124.32698,2138.961048610756,-118.87547
4,1784882441.3276987,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.470785790588707,,4.810317064635456,,7.300012745894492,,2.188446195330471,,2.7680470897539635,-9.313225746154785e-10,0.001150852895079879,0.015336412336182548,1.4512267410755157,0.6577904224395752,0.9204613566398621,0.46820300817489624,-0.008888300508260727,0.014064275659620762,1.24847412109375,0.7350455522537231,336,0.5139161348342896,4.507522106170654,0.03210253641009331,688128,1458,336,21,-118.51683,0.040075442113447934,-0.0036544554139254616,5.242033237218857,-113.64221,0.030401115049608053,-0.002486570483597461,5.1801027864217755,,,0.95,0.9,both,0.3064889764263773,0.2914723952279289,1.081954178462601,0.0,-117.36011,2201.349549261573,-118.51683
5,1784882515.2905788,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.272780715487897,,5.2888845363631845,,7.575565937673673,,2.135202838573605,,2.979682196630165,2.3283064365386963e-09,0.0008279065950773656,0.002680959540157346,1.4488407596945763,0.49389052391052246,0.9056833982467651,0.4034149944782257,-0.024793868884444237,0.06602967530488968,1.3547348976135254,0.7115800380706787,416,0.480114221572876,4.650423526763916,0.06422625482082367,851968,1777,416,26,-128.44254,0.03818002728512511,-0.0024840696052706333,5.096235510706902,-124.961624,0.0354149985476397,-0.0021108708213432694,5.034164080023766,,,0.95,0.9,both,0.34831889434018853,0.30938306519565245,0.8129787444857901,0.0,-123.514725,2215.1651709356865,-128.44254
6,1784882589.0694938,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.202069997147191,,4.519385097548366,,7.065908285789192,,1.9847387904301286,,2.689232968761644,2.3283064365386963e-09,0.0002491618361091241,0.032717016292735934,1.4507901519536972,0.48164522647857666,0.8948242664337158,0.5284580588340759,-0.052663274109363556,0.0778794214129448,1.1577563285827637,0.6587046980857849,496,0.513896644115448,4.292267322540283,0.03660084679722786,1015808,1955,496,31,-117.79527,0.013565712937270291,-0.0025560032852808947,4.886752572655678,-135.6576,0.01837508932221681,-0.0013815674414217939,4.8499583274126055,,,0.95,0.9,both,0.35314889605988464,0.3789050261383772,1.1183211248139924,0.0,-122.188034,2220.6891537661436,-117.79527
7,1784882663.2194216,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.020162589265965,,4.5619468609802425,,7.046281804214232,,1.9255530626978725,,2.756145206600195,7.450580596923828e-09,-0.009353898640256375,0.009794685363885947,1.457489151507616,0.5852475166320801,0.8533533215522766,0.5493483543395996,0.16514289379119873,0.14429153501987457,1.0758602619171143,0.6170012950897217,576,0.503361701965332,4.262018203735352,0.022488215938210487,1179648,2125,576,36,-121.13374,0.015394780997303315,-0.0012014777777949349,4.652907586097717,-120.2217,0.013137269410071895,-0.0017557457351358608,4.618367394804954,,,0.95,0.9,both,0.3949166890979961,0.4076128351837559,0.8070444566140912,0.0,-118.254105,2209.5770129620514,-121.13374
8,1784882739.9960837,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.336115656187758,,4.537385841511423,,7.140217671170831,,1.8793702530674636,,2.6294815389846917,2.0954757928848267e-09,-0.0019022689884877764,0.020375080726807937,1.447910364717245,0.7238892316818237,0.87291020154953,0.729708731174469,-0.012704956345260143,0.23983129858970642,1.0010086297988892,0.6060263514518738,656,0.4784182906150818,4.304514408111572,0.0063059041276574135,1343488,2296,656,41,-113.067856,0.01670163719682023,-0.001823734925710596,4.475517091155052,-124.60368,0.00852356330724433,-0.004322697254247032,4.3745735585689545,,,0.95,0.9,both,0.42468374636776945,0.45115710721554664,0.8466872334987672,0.0,-118.81728,2133.981646377358,-113.067856
9,1784882817.589921,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.548249518498778,,5.168416368542239,,7.225197725871112,,2.1740924117621034,,2.936889905598946,9.313225746154785e-10,-0.0008401941449847072,0.0026561582999420352,1.4575571455061436,0.5529446601867676,0.9032809138298035,0.35969144105911255,-0.018802989274263382,0.09184830635786057,0.9897032380104065,0.5447556972503662,736,0.4555662274360657,4.610569000244141,0.007563387509435415,1507328,2464,736,46,-111.45453,0.011260099190985784,-0.0019454885266895871,4.2402491718530655,-113.598206,0.008920858678175136,-0.0023434984919731504,4.18510232269764,,,0.95,0.9,both,0.4783740796939252,0.5259046076474247,0.721815482900121,0.0,-116.13318,2111.509818408637,-111.45453
