# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784820023.9497306,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.926117834635079,,5.6601329650729895,,9.681062199175358,,0.9056143502239138,,3.9226312967948616,,1.7532521630637348,,4.851932138204575,,7.75,-6.502915382385254,-0.0045286641689017415,2.1890071406960487,1.4212389588356018,32768,210,16,1,-113.0898,0.43354467395693064,-0.0033354281200445256,5.689038515090942,-129.74576,0.05694979596883058,-0.0026456732404767534,5.6804015129804615,,,0.95,0.9,both,0.3752032869587276,0.35308039384110457,4.384823678160602,0.0,-119.38357,2230.946117514809,-113.0898
1,1784820094.9657876,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.200802529230714,,5.805959528544918,,9.476355792401591,,0.944627013290301,,4.116887873009546,,1.977398058399558,,4.87372121179942,,7.9375,-1.7864437103271484,-0.0020561920246109366,0.9636595044285059,1.4305506087839603,196608,958,96,6,-121.69713,0.08912619398906826,-0.0033644089693552815,5.71541243493557,-110.71159,0.08042827700264751,-0.0033395514547009952,5.633172145485878,,,0.95,0.9,both,0.3145233717134487,0.23946748059051853,3.1844370032110922,0.0,-121.559006,2307.08317070809,-121.69713
2,1784820169.2655528,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.792024482274428,,6.065168414730579,,9.590101186651736,,1.030850611277856,,3.929600171279162,,1.9882971601909958,,4.8426308607449755,,7.75,-1.599658489227295,6.59385696053505e-05,0.6923466110602021,1.4292335845530033,360448,1386,176,11,-134.93001,0.01966009791358374,-0.005181626223929925,5.635728627443314,-111.67493,0.10363288619555533,-0.003803589692688547,5.59936685860157,,,0.95,0.9,both,0.2675701268569496,0.27529831625209006,2.663491656413418,0.0,-133.76697,2205.124217648776,-134.93001
3,1784820244.5311852,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.235633446834981,,6.187744467519224,,9.86586219118908,,1.1566057906020433,,4.079195248428732,,2.104989879706409,,4.914532042035717,,8.0,-0.25553998351097107,-0.009233950695488602,0.03607232158537954,1.4378467351198196,524288,1865,256,16,-131.26872,0.009458945690130349,-0.005202019358694088,5.408843249082565,-120.02669,0.061214139009825884,-0.00485672022041399,5.4887256026268005,,,0.95,0.9,both,0.25484922557069495,0.2899665634136929,0.9120657735122177,0.0,-128.9523,2176.822436891665,-131.26872
4,1784820318.89238,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.536186780547723,,6.510960631698254,,9.906302931718528,,1.0903795077174436,,4.2483498668298125,,2.1868838752852753,,4.896111238747835,,8.0625,-0.05140317231416702,-0.011207317627849989,0.08611588392523117,1.4367145225405693,688128,2063,336,21,-139.39012,0.012122048245510086,-0.0051605954678962005,5.222941502928734,-127.9719,0.016042507789097726,-0.005896502737596165,5.310545790195465,,,0.95,0.9,both,0.3217430634180631,0.29553254597991596,1.525108198689242,0.0,-118.705,2203.2992745906677,-139.39012
5,1784820393.0736575,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.483790556434542,,6.679986197501421,,9.93934126291424,,1.3183728023432195,,4.323192083276808,,2.2547509861178696,,4.959567978978157,,8.375,-0.33024388551712036,-0.000506565353134647,0.1658218441880308,1.4372679330408573,851968,2254,416,26,-108.13479,0.006106303265551105,-0.003283712101983838,4.93592472076416,-123.80015,0.014613556978292763,-0.002701136446557939,5.0177219152450565,,,0.95,0.9,both,0.3776252065469864,0.36105578172398056,2.149802709837305,0.0,-115.5162,2208.643671573389,-108.13479
6,1784820466.5278945,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.212771822232753,,5.943403911078349,,9.600153976120055,,1.0795943858101964,,4.021424527745694,,2.103869176004082,,4.876499128396972,,8.0,-0.34760841727256775,-0.0006222074152901769,0.009938354880432598,1.4321451485157013,1015808,2458,496,31,-106.24275,0.005490888640633784,-0.00272764467226807,4.681005489826203,-121.78723,0.012188035671715624,-0.0030512516692397184,4.73345385491848,,,0.95,0.9,both,0.4073872958735505,0.33939486106522904,0.597452811427494,0.0,-115.63501,2230.5042404523538,-106.24275
7,1784820538.9460313,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.41001424845308,,6.328156856587157,,9.780775045976043,,1.156794859096408,,4.1471405401825905,,2.156311574857682,,4.866752911359072,,8.3125,-0.21185018122196198,-0.003420597524382174,0.04315855840104632,1.439806256443262,1179648,2642,576,36,-103.67452,0.011260996796772815,-0.0028230386938957962,4.370573171973229,-118.44613,0.013888207502895966,-0.0029523764562327413,4.450333160161972,,,0.95,0.9,both,0.35295483152878593,0.38794200210710017,1.1440426294118193,0.0,-108.52437,2262.415457794359,-103.67452
8,1784820610.9378574,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.118181149417069,,6.369536886923015,,9.824335462413728,,1.0396552808015258,,4.026479559484869,,2.006742652854882,,4.8807368241250515,,8.0625,-0.223971426486969,-0.000436276663094759,0.009665416393545456,1.4453607313334942,1343488,2830,656,41,-103.88883,0.01440817365073599,-0.0018888546019297792,4.106815922260284,-110.784386,0.017327205085894092,-0.003163012191362213,4.162751373648644,,,0.95,0.9,both,0.44498404845353406,0.4150372038862173,0.4886407206979405,0.0,-101.11194,2275.8152345133494,-103.88883
9,1784820683.6298146,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.203618812491186,,6.073247256688774,,9.954188384115696,,1.2535630309721455,,4.062584883417003,,2.1716343257576227,,4.949427327141166,,8.5625,-0.07724512368440628,-0.015402464778162539,0.03385896061081439,1.4502672776579857,1507328,3069,736,46,-104.91612,0.017171518708346413,-0.002191303663130384,3.9062983706593513,-104.81242,0.018658039369620384,-0.000975814052799251,3.9394261226058007,,,0.95,0.9,both,0.5118308957077401,0.5561950250890595,0.9593504171794119,0.0,-112.38731,2253.89513806524,-104.91612
