# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784820023.4732432,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.63394363084808,,4.5861376114189625,,7.420958704315126,,1.891552527435124,,2.898818394402042,-10.889216423034668,-0.0018761417450150475,7.436241969466209,1.4219233840703964,32768,59,16,1,-123.029396,0.11447107899002731,-0.0047657732560764995,5.674439030885696,-215.61691,0.07373384269885719,-0.003784619541693246,5.673397779464722,,,0.95,0.9,both,0.3491310223863583,0.35511229302205466,4.488301997656595,0.0,-104.96838,2274.9118605558097,-123.029396
1,1784820093.2529898,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.483436229551444,,4.949749351479113,,7.5071756658144295,,1.9860364920459688,,2.920640045311302,-3.547497034072876,-0.004007993215054739,1.8373189456760883,1.4335847944021225,196608,358,96,6,-142.43675,0.06125647365115583,-0.0028762367932358758,5.602281305193901,-123.60366,0.03524894312722608,-0.00454637221628218,5.488538277149201,,,0.95,0.9,both,0.28655451249561426,0.22785436215660418,4.338638297824559,0.0,-106.06185,2347.959090692789,-142.43675
2,1784820165.6482604,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.125723593635485,,4.601624934002757,,6.953131998772733,,1.9469278896576725,,2.6789293391630054,-1.5281472206115723,-0.00230853448738344,0.21825014101341367,1.4417904764413834,360448,709,176,11,-129.55978,0.033067119296174494,-0.0038859452288306784,5.498350587487221,-128.26395,0.04689035575138405,-0.0025333594516268932,5.43035409450531,,,0.95,0.9,both,0.27067234793964845,0.23948905444051372,0.7903033593155188,0.0,-127.273254,2263.1322081019334,-129.55978
3,1784820238.6326299,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.01565107377246,,5.582250503823161,,7.81574901053682,,2.3691392270848155,,3.028268243186176,-0.6659629344940186,-0.005894570633245166,0.24847809842322022,1.4443630203604698,524288,985,256,16,-131.93837,0.022152116720099,-0.003918376561341574,5.354566845297813,-128.72235,0.01443469793885015,-0.002718678876408376,5.265750154852867,,,0.95,0.9,both,0.3025918035006189,0.28683322427370184,2.0614511720769877,0.0,-126.008896,2244.8642899214624,-131.93837
4,1784820311.6364093,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.886703679338098,,5.487124938517809,,7.675412074662745,,2.2435185115318745,,3.0413959686120506,-0.45130717754364014,-0.003294243913842365,0.5455660619772971,1.4339467510581017,688128,1180,336,21,-120.90232,0.014377801795490086,-0.0024523774387489538,5.087986877560615,-123.59019,0.012569942726986482,-0.0035702009219676254,5.051421031355858,,,0.95,0.9,both,0.32060070832809606,0.2899030410012348,2.9818751808873207,0.0,-119.44566,2244.268290705909,-120.90232
5,1784820386.4531612,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.747433525044471,,5.110583274625242,,7.74871673528105,,2.2955703707411885,,3.037935304455459,-0.35769420862197876,0.0013354951370274648,0.044277852051891387,1.4401579089462757,851968,1351,416,26,-124.13306,0.012327912164619193,-0.001814382713928353,4.815050473809242,-120.07762,0.01413459562463686,-0.0018268527666805312,4.771446499228477,,,0.95,0.9,both,0.3308116676486643,0.32099615555534966,1.1663566821147362,0.0,-121.71255,2189.883253685887,-124.13306
6,1784820461.1471848,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.907177076674998,,4.253824240062386,,6.514514304581098,,1.6298016952350736,,2.4195876037701964,-0.2340177595615387,-0.0012015969259664416,0.03557725960854441,1.4431198686361313,1015808,1514,496,31,-120.78672,0.010645339684560894,-0.0016513082387973554,4.546199250221252,-121.67078,0.01150038318010047,-0.002429768991714809,4.533207967877388,,,0.95,0.9,both,0.41246327021613816,0.40254446840394137,1.0795601829607517,0.0,-116.90957,2193.481888572256,-120.78672
7,1784820535.7824323,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.170213358534966,,4.858339985832572,,7.443171157501638,,1.7793873946066014,,2.8003982669324614,-0.3429240584373474,0.0009184727914544055,0.025503019394818693,1.448486328125,1179648,1676,576,36,-118.97915,0.009425421908963472,-0.0026971266397595173,4.315644815564156,-112.97296,0.016646999554359353,-0.0025484230172878597,4.276635381579399,,,0.95,0.9,both,0.43501954380019364,0.3774461782604035,0.8459277419500542,0.0,-113.50667,2195.209667235153,-118.97915
8,1784820609.7327955,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.161077105905861,,4.622995407844428,,7.526941391435685,,1.8772934418811928,,2.5928588376846164,-0.29804331064224243,-0.012715985722024925,0.19123118481365964,1.4569222815334797,1343488,1840,656,41,-111.028625,0.009828460283461026,-0.0023315445840125905,4.023483210802079,-109.60402,0.0168320118507836,-0.003731740535295103,4.001179121434689,,,0.95,0.9,both,0.49373382225502827,0.4256875055789552,2.1209787709572474,0.0,-110.05481,2215.540112404895,-111.028625
9,1784820684.654273,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.793706772848964,,5.3308470086194575,,7.791020675562322,,2.303045693794047,,3.063386201392859,-0.12292083352804184,-0.0030532404489349574,0.03497184082516469,1.4514066837728024,1507328,2015,736,46,-99.68746,0.006776504981098696,-0.0017883872278616764,3.7034678041934965,-104.69607,0.014424583117943257,-0.0026589296001475306,3.7690673977136613,,,0.95,0.9,both,0.5553915041886478,0.4927696256823822,1.1481094093534279,0.0,-99.28702,2186.822755981524,-99.68746
10,1784820759.4184432,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.3717713905498385,,4.988263724371791,,7.390909712878056,,2.1934562113601714,,2.9396813416387886,-0.07517766952514648,-0.017289415547566023,0.07138311423477717,1.460537813603878,1671168,2229,816,51,-93.537186,0.013918435599771328,-0.0023121944490412717,3.491905379295349,-110.070984,0.016855506238061934,-0.0034118276307708584,3.5520452156662943,,,0.95,0.9,both,0.4974711265011968,0.5597559567665547,1.0466345126456467,0.0,-101.985596,2191.4244477319908,-93.537186
11,1784820831.3675907,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.753334253560752,,5.045272982912138,,7.52791786484886,,2.1975543982553063,,3.0471965922042727,-0.2647463381290436,0.0008363997330889106,0.19454131973907351,1.4539081752300262,1835008,2464,896,56,-92.47102,0.014165600948035716,-0.0003359247915796004,3.3023804306983946,-102.15498,0.0465711536933668,-0.0031321665075665804,3.375929829478264,,,0.95,0.9,both,0.5546444535494446,0.5839556049262793,0.8949781840436846,0.0,-123.04823,2277.1641490546335,-92.47102
12,1784820902.683496,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.662707661744207,,4.755898837349378,,7.382602088851854,,1.980150215094909,,2.949974225986807,-0.857903003692627,-0.010846572724403813,0.33239430375397205,1.4614978656172752,1998848,2733,976,61,-86.25561,0.014337126523605548,-0.0012321010217419825,3.061066198348999,-111.213585,0.07930332820396871,-0.004054443609493319,3.1751963406801225,,,0.95,0.9,both,0.5965599270201629,0.647115815837578,1.3010243968579465,0.0,-101.64223,2297.3841634049686,-86.25561
13,1784820975.5584483,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.1339329946786165,,4.399194430559874,,6.898077511810698,,1.9190497278468683,,2.779130566632375,-0.5521231293678284,-0.014163290616124868,0.2947655124589801,1.458749856799841,2162688,2985,1056,66,-88.92937,0.01191158247529529,-0.001538113915376016,2.8601742431521417,-115.007706,0.04067563554272056,-0.003988592574023642,2.959939055144787,,,0.95,0.9,both,0.6287343658813216,0.7079051349653873,1.4844951064123015,0.0,-87.40954,2248.233435747513,-88.92937
14,1784821047.4527292,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.4654620960354805,,4.969529090914875,,7.342101203277707,,1.9582472463371232,,2.8497410537675023,-0.616226851940155,-0.020200326514896005,0.16382821509614587,1.4658543542027473,2326528,3203,1136,71,-80.120346,0.008397407067241148,-0.000979237983119674,2.621032625436783,-107.07594,0.04993426869623363,-0.00261304573941743,2.7274199396371843,,,0.95,0.9,both,0.6859891706000013,0.7526347467575633,0.8865442856521688,0.0,-90.63549,2278.9022802287595,-80.120346
15,1784821120.1613662,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.476633762009442,,5.095724810380489,,7.560822476400062,,2.0742800255538896,,2.758217457914725,-0.32284945249557495,-0.004736311071610544,0.15677592298015952,1.4675395861268044,2490368,3399,1216,76,-75.60565,0.012161329938680864,-0.0006879584630951286,2.4176800414919852,-86.93873,0.022408187633845954,-0.00273940426268382,2.4932646065950395,,,0.95,0.9,both,0.7043651495572154,0.7122318878786016,1.057965263802982,0.0,-87.3055,2253.3773685740675,-75.60565
