# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784820028.9175897,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.407774103572592,,5.5092311361804605,,9.347123408340849,,0.7091935668722726,,3.761544607405085,,1.8168146688258275,,4.7154445899650455,,7.5,0.0005593043752014637,-0.0035015490429941565,0.0022480805218947353,1.4192021265625954,1.0031477212905884,0.0,1.0156307220458984,0.1103527694940567,0.0015543843619525433,0.7026811838150024,0.7063134908676147,16,0.34399935603141785,5.095890522003174,0.07969293743371964,32768,55,16,1,-144.9077,0.05197354315314442,-0.011673255000641803,5.663331824541092,-124.306046,0.11098526942078024,-0.0037860708085645455,5.671335241198539,,,0.95,0.9,none,0.3505879631261914,0.3670113967048038,0.5940779561817573,0.0,-136.54971,1661.4769230579643,-144.9077
1,1784820104.4013596,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.469697160719079,,5.525482619414106,,9.538546380586922,,0.7853019359899918,,3.794639365747571,,1.8964393505011685,,4.709796380251646,,8.0,0.0007659154944121838,-0.008072471537161618,0.00608720128366258,1.417752031236887,0.9504109025001526,0.9363887310028076,0.9189066290855408,-0.020397741347551346,0.002260996261611581,0.7114260792732239,0.6971474885940552,96,0.3372006118297577,5.214987754821777,0.06932108104228973,196608,425,96,6,-151.59938,0.02635395959368907,-0.0028345301310764627,5.465879955887795,-117.755295,0.07082278120797128,-0.0035520343299140222,5.622539350390435,,,0.95,0.9,none,0.3889101234808735,0.37631025518792155,0.729229293939179,0.0,-161.19873,2170.5331941944664,-151.59938
2,1784820178.0096228,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.8986495467834175,,6.1401020441626315,,9.680667297216132,,0.9868679782375693,,4.063360733445734,,2.0690230681211688,,4.917426146566868,,7.8125,0.0017780999187380075,0.00048582511954009533,0.04006220985320397,1.4172224961221218,0.8990367650985718,0.9350224137306213,0.8328384160995483,-0.0102127306163311,0.004483810625970364,0.8481369018554688,0.6926370859146118,176,0.42024824023246765,5.446074962615967,0.0370657853782177,360448,730,176,11,-146.39229,0.03223648158600554,-0.004125774152635131,5.364476391673088,-122.86196,0.021158149000257254,-0.003381823578092735,5.570936796069145,,,0.95,0.9,none,0.4001894335416646,0.38045085291120845,1.2030068706912638,0.0,-122.268616,2225.8372881333744,-146.39229
3,1784820251.686981,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.224871441721916,,6.249457309022546,,9.870440604281612,,0.9581307366606779,,4.149170241667889,,2.2790902154520154,,4.94790253003157,,8.0625,0.0038373826537281275,-0.006919199717231095,1.7198424330899797e-05,1.4238503836095333,0.8289268612861633,0.9330888986587524,0.6897989511489868,-0.0032007507979869843,0.01035825815051794,1.1102170944213867,0.6846164464950562,256,0.3897208869457245,5.592695236206055,0.026757432147860527,524288,1041,256,16,-126.38914,0.027225523302331568,-0.005640923368628137,5.224660551548004,-117.60443,0.022446937632048504,-0.0025985212181694806,5.396720740199089,,,0.95,0.9,none,0.43382965744419744,0.41461671928437427,0.6243203588387246,0.0,-112.5989,2223.749831433701,-126.38914
4,1784820324.5920534,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.467524796840735,,6.254495931789279,,9.73023472353816,,1.2025362004060298,,4.1250703193072695,,2.0961472396738827,,4.909707068698481,,8.0625,0.0038814344443380833,0.00048344710376113653,0.0001981138277642458,1.432511929422617,0.7584977149963379,0.9303156733512878,0.5290554761886597,0.009497777558863163,0.01020627748221159,1.529723882675171,0.6592270731925964,336,0.38734233379364014,5.606027603149414,0.053161315619945526,688128,1360,336,21,-118.69814,0.02220891193137504,-0.0033121278858743606,4.983714914321899,-113.57585,0.03754544294206426,-0.00290540410351241,5.197763136029243,,,0.95,0.9,none,0.5023685223367937,0.41690204344022597,0.5547512523249865,0.0,-105.06596,2247.3045053410456,-118.69814
5,1784820398.7609513,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.810168476775289,,5.842821313999593,,9.597512065432966,,0.7922654170542955,,3.9083737740293145,,1.972219388379017,,4.854678449220955,,7.75,0.026629414409399033,-0.004855522245634347,0.08984652953222394,1.4283438101410866,0.6946511268615723,0.9199473857879639,0.4315984845161438,0.010434752330183983,0.07088474184274673,1.796142816543579,0.588408887386322,416,0.4462229609489441,5.316005229949951,0.043433357030153275,851968,1782,416,26,-100.77461,0.02042837638873607,-0.0033498019285616463,4.79639722108841,-109.0287,0.04408126150956378,-0.0017615079326787964,5.069560152292252,,,0.95,0.9,none,0.49953451831714635,0.47130575860512536,1.4161067954802493,0.0,-110.52822,2209.012861921215,-100.77461
6,1784820474.5443773,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.679336589761078,,6.327735420083627,,9.95273708179593,,1.2932633097516373,,4.372897586785257,,2.4110194174572825,,5.0,,8.4375,0.04713262617588043,-0.003422171328566037,0.012055177248839755,1.4408053681254387,0.616973340511322,0.9053105115890503,0.33130407333374023,-0.021206999197602272,0.13210678100585938,1.7774651050567627,0.551268994808197,496,0.2678997218608856,5.8093109130859375,0.04078446328639984,1015808,2222,496,31,-97.383545,0.038755164667963984,-0.0015738594287540764,4.676319447159767,-100.41633,0.021906082867644727,-0.0019879023151588627,4.9044184505939485,,,0.95,0.9,none,0.5138775319763094,0.507142254826246,0.6929235175445079,0.0,-119.00801,2161.950378300839,-97.383545
7,1784820548.4915037,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.211448860442033,,5.626156183890998,,9.686722456011921,,0.9597093863849295,,3.9440407783258706,,1.9984283750673058,,4.851156847784296,,8.125,0.04223578795790672,-0.006020496832206845,0.0007212244145193836,1.4528780952095985,0.48901280760765076,0.8901333808898926,0.2842109501361847,0.029560092836618423,0.09990302473306656,1.5835782289505005,0.5617504715919495,576,0.42495688796043396,5.425332546234131,0.041674524545669556,1179648,2643,576,36,-85.00456,0.03679684178205207,-0.0018939238136226777,4.524725702404976,-116.6344,0.018762180767953395,-0.002902541434741579,4.68538498878479,,,0.95,0.9,none,0.5926823493977341,0.5563917378331229,0.7232089418176498,0.0,-102.30231,2215.6373295372073,-85.00456
8,1784820623.3197062,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.733268240466714,,6.394654764328152,,9.87289240094833,,1.2853201431571506,,4.085882743820548,,2.2180318292230368,,4.979862614651211,,8.5,0.06670751422643661,-0.0008703070925548673,0.009366354504891206,1.4566095396876335,0.5611459612846375,0.8621207475662231,0.44921278953552246,0.016345156356692314,0.1564195156097412,1.4757120609283447,0.5017523765563965,656,0.3600941300392151,5.758738994598389,0.04153674840927124,1343488,3045,656,41,-82.9774,0.03516894408967346,-0.0014711009876918978,4.382710054516792,-124.22971,0.015585896081756801,-0.0025031413992110175,4.4809457659721375,,,0.95,0.9,none,0.6684631744990496,0.5964987370729804,0.638101391742004,0.0,-116.866165,2189.54814288073,-82.9774
9,1784820695.7793074,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.812705716874916,,6.004366471432149,,9.56633960083127,,0.8730258336290717,,3.9080831481260248,,1.963680068263784,,4.809244699310511,,7.75,0.0630473643541336,0.0005714354338124394,0.02688231665524654,1.468006495386362,0.5682555437088013,0.9407596588134766,0.44761765003204346,0.04539491981267929,0.16955247521400452,1.2798335552215576,0.4390757083892822,736,0.44357141852378845,5.335930347442627,0.03670180216431618,1507328,3444,736,46,-85.65254,0.050199804245494306,-0.0018479325604857876,4.234153601527214,-114.95479,0.015983296284684912,-0.0015755275293486194,4.2751282304525375,,,0.95,0.9,none,0.6941831957326137,0.6115869472417222,0.9497106601393817,0.0,-102.58071,2261.12305696845,-85.65254
