# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784820024.605868,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.298816159367561,,5.099145960062742,,9.254578748717904,,0.5983725469559431,,3.6429697098210454,,1.5536872446537018,,4.629369402304292,,7.3125,-1.2044146060943604,0.0012572206906042993,0.2595447259955108,1.4192077219486237,32768,450,16,1,-111.90613,0.5059712696820498,-0.001569518462929409,5.678916263580322,-111.1837,0.20801920667290688,-0.002493924582086038,5.673974344134331,,,0.95,0.9,none,0.39163721541648633,0.36011426529941737,1.212081620914796,0.0,-101.1933,2115.858974623848,-111.90613
1,1784820098.6031296,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.348513660021126,,6.593682709324639,,9.952930079307407,,1.1579569554887712,,4.295938498573378,,2.1739239713642746,,4.887182844802737,,8.5625,-0.6973389983177185,-0.002881219901610166,0.25118072517216206,1.4341656900942326,196608,2047,96,6,-123.73425,0.046174574014730754,-0.009043079802358989,5.687517982721329,-120.100746,0.06810096963308751,-0.0030573414274840615,5.66723051071167,,,0.95,0.9,none,0.387568786252734,0.37377559524583626,1.6240231104925429,0.0,-130.46631,2214.136164934604,-123.73425
2,1784820172.7120278,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.429518908262253,,6.527316086459905,,9.941286450251937,,1.2939540571533144,,4.362529534380883,,2.259268829599023,,4.994909131433815,,8.625,0.043405935168266296,0.0007896755123510957,0.007429727062117308,1.438369870185852,360448,2328,176,11,-128.98984,0.003619609575980576,-0.004683933724300005,5.551684871315956,-131.12517,0.018649601913057267,-0.004904426996654365,5.546024340391159,,,0.95,0.9,none,0.3994028533240451,0.38899630815039404,0.7924659934311675,0.0,-151.64438,2210.801091754278,-128.98984
3,1784820245.2065535,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.225356416776776,,6.330729342997074,,9.878241402097046,,1.0447440301068127,,4.17281999415718,,2.199255163395719,,4.940282277297229,,8.1875,0.10291504114866257,-0.00409877160564065,0.024926984769990668,1.4282331801950932,524288,2552,256,16,-143.57918,0.007919271252467297,-0.002092430849734228,5.428518658876419,-119.42708,0.025858736608643084,-0.0036342266568681223,5.365994477272034,,,0.95,0.9,none,0.4193135257425025,0.4209785320619993,0.8461298362747325,0.0,-130.22249,2260.032787104022,-143.57918
4,1784820316.3519921,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.308797797188163,,5.3712292071431875,,9.489655145443976,,0.6651270522270352,,3.7502709433902055,,1.7472935151308775,,4.694154490716755,,7.1875,0.1681131273508072,-0.0020801739883609116,0.028257582831429318,1.4213709756731987,688128,2778,336,21,-133.10489,0.007519023731583729,-0.003359321499010548,5.300540894269943,-122.90083,0.01971072076121345,-0.0032029303096351215,5.178432789444924,,,0.95,0.9,none,0.41575001650796234,0.41987087271175766,0.8942987367868853,0.0,-118.52572,2302.888653894099,-133.10489
5,1784820387.824647,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.053129874169827,,5.875560421030968,,9.63373959530145,,0.8795536311808974,,3.977580439299345,,1.88580367481336,,4.916593519970775,,7.6875,0.034095361828804016,-9.476381819695234e-05,0.02251661011541728,1.4205875657498837,851968,3002,416,26,-115.149925,0.004249587010417599,-0.002319027605699375,5.053432920575142,-119.43191,0.01759795057005249,-0.0022069438411563167,4.970996767282486,,,0.95,0.9,none,0.47137583083344764,0.47532563881761264,0.7402845250921404,0.0,-109.56018,2292.3451009588857,-115.149925
6,1784820460.482487,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.215933763422072,,6.255901897326112,,9.850582882761955,,0.9682662158738822,,4.1603465299122036,,2.0784414826193824,,4.980110285803676,,8.25,0.3253691792488098,-0.02206031745299697,0.03754286980256438,1.4213073663413525,1015808,3242,496,31,-129.04268,0.015825560473604127,-0.0020883132121525703,4.864521327614784,-110.68933,0.01920179221779108,-0.0018899650400271638,4.7617944985628124,,,0.95,0.9,none,0.47819966241108586,0.5094091544257651,1.01577079743312,0.0,-112.313805,2254.9531190699777,-129.04268
7,1784820533.5269325,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.267267415765673,,6.252245724201202,,9.53970660828054,,1.033186866901815,,3.9227593010291457,,1.919851880054921,,4.845408644527197,,7.9375,0.30220121145248413,-0.0001563937694299966,0.05913349945330992,1.429796252399683,1179648,3482,576,36,-116.33097,0.02985655766678974,-0.0017001599175273442,4.677978929877281,-120.327286,0.01371602424478624,-0.0022031374217476698,4.566649317741394,,,0.95,0.9,none,0.5461237139723678,0.5681966619712989,1.0734157176341255,0.0,-112.82992,2243.0174790407955,-116.33097
8,1784820605.1635835,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.965921435505152,,6.985009331256151,,9.980345232412219,,1.4689734987914562,,4.480433572083712,,2.475956877693534,,5.0,,8.9375,0.20390301942825317,0.0013950553839094937,0.0208615449082572,1.4307136312127113,1343488,3698,656,41,-119.3443,0.020963648648466914,-0.002838194029754959,4.494893261790276,-120.974686,0.007809581281617284,-0.0016671665624016895,4.305271568894386,,,0.95,0.9,none,0.5615387040684418,0.5853076653080909,1.2972584042738127,0.0,-102.28378,2287.0972326919427,-119.3443
9,1784820678.380831,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.806673418730497,,6.830292506143451,,9.946237532421947,,1.349521994994575,,4.318437589332461,,2.3296518409624696,,4.998085515224375,,8.9375,0.22650974988937378,0.0007159537053667009,0.01652339013526216,1.437398049980402,1507328,3879,736,46,-89.18528,0.009374247962841763,-0.0026111802653758787,4.307915607094765,-115.83482,0.00996968636463862,-0.0014529341162415222,4.065160593390464,,,0.95,0.9,none,0.6456204186413277,0.65462478530834,0.9577024679445938,0.0,-107.516235,2237.7242813849734,-89.18528
