# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784840716.7538319,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.157336012460291,,6.218814963009208,,9.88318737456575,,1.1392905346583575,,4.116952499374747,,2.0737357528414577,,4.975978082453366,,8.375,0.007618590258061886,-0.0029059754451736808,0.21299933828413486,1.4181077741086483,0.9946926832199097,0.0,1.0630780458450317,0.23028798401355743,0.019529400393366814,0.6823127269744873,0.6568434834480286,16,0.38883188366889954,5.617536544799805,0.04116540774703026,32768,71,16,1,-130.80087,0.138945168023929,-0.002173754970135633,5.675496497750283,-153.95096,0.04279365678085014,-0.004380581874283962,5.664537543058396,,,0.95,0.9,both,0.37395579966270864,0.3476422314720048,1.8687443392904273,0.0,-107.849,2320.4879070679085,-130.80087
1,1784840791.0655496,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.377453467343003,,5.484412961406633,,9.452170833945274,,0.7911319811828434,,3.6104243574663997,,1.8384684233460575,,4.649349902640097,,7.3125,0.0015792453195899725,-0.00366672599921003,0.005216598525294103,1.431392215192318,0.9907623529434204,0.9361210465431213,0.9929635524749756,-0.0017316294834017754,0.004194230306893587,0.7094095945358276,0.5923529863357544,96,0.3277108669281006,5.064489364624023,0.06480912119150162,196608,344,96,6,-119.669556,0.03832650286494754,-0.0031548987608402967,5.602390372753144,-118.71306,0.0368433588417247,-0.004852039106481243,5.495648524165153,,,0.95,0.9,both,0.2607588120884974,0.2357066402865941,0.651826306434832,0.0,-125.34025,2204.766275128865,-119.669556
2,1784840868.4063792,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.572578307706863,,5.851422839332372,,9.541771274060011,,0.8409999940486159,,3.7976120633538812,,1.997973149525933,,4.925973168574274,,7.5,0.012628995813429356,-0.012265644967556,0.0008312940785799583,1.4297819882631302,0.8908902406692505,0.9278888702392578,0.8757699131965637,-0.004542351234704256,0.03333860635757446,0.7814687490463257,0.5918248295783997,176,0.38207873702049255,5.253540992736816,0.12038043141365051,360448,751,176,11,-117.69173,0.04149858265882358,-0.0022228641610126942,5.542517414689064,-110.83205,0.08252874971367419,-0.0020795501288375816,5.426990836858749,,,0.95,0.9,both,0.2609664757717754,0.24296980717860084,0.7872391520923289,0.0,-113.688255,2118.4163813614364,-117.69173
3,1784840946.1749728,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.724285055883229,,6.645201982202707,,9.871341685997322,,1.3464307766407728,,4.328468112740666,,2.3367891784291714,,4.96163304313086,,8.5625,0.014447113499045372,0.0005649253726005554,0.004844161929213442,1.433437280356884,0.8178831338882446,0.9178272485733032,0.7657410502433777,0.007072483189404011,0.04324997216463089,1.0064131021499634,0.5717774629592896,256,0.3230288028717041,5.847081661224365,0.03542761877179146,524288,1040,256,16,-134.40565,0.031611735315527766,-0.002464679825789062,5.413350540399551,-133.73117,0.02699605021625757,-0.0020549656597722787,5.354570838809013,,,0.95,0.9,both,0.2902050689109971,0.25816692337475594,0.9807142919834894,0.0,-122.27879,2106.7622807623834,-134.40565
4,1784841023.4724033,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.997642925940454,,5.786960440687835,,9.761886429972947,,0.8330220310017467,,3.901161304791458,,1.8407118549803272,,4.669215918518603,,7.4375,0.030909523367881775,-0.023922056308947504,0.016655644154525362,1.4458997696638107,0.7131352424621582,0.917036235332489,0.5784465670585632,0.014749166555702686,0.07831522077322006,1.450423002243042,0.519964337348938,336,0.3791641592979431,5.278512954711914,0.030172068625688553,688128,1267,336,21,-144.1387,0.016011229139985518,-0.004229307104833424,5.2077052116394045,-130.65471,0.014138681447366252,-0.0031594228406902404,5.17250574529171,,,0.95,0.9,both,0.33352413541371695,0.32158248693285535,0.9425119862529747,0.0,-142.87105,2119.605004736714,-144.1387
5,1784841099.7340775,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.266939997673035,,5.1395230032503605,,9.068296652287245,,0.5904794242233038,,3.6143620498478413,,1.6433627484366298,,4.575349838938564,,7.125,0.02501065656542778,0.0004774180706590414,0.05833872684161179,1.441825870424509,0.5723484754562378,0.9139196872711182,0.44315388798713684,-0.0551677905023098,0.07709791511297226,1.8134745359420776,0.45568662881851196,416,0.2144366204738617,4.877913951873779,0.035212013870477676,851968,1458,416,26,-133.23679,0.014308488898677751,-0.002519591480086092,5.0029235750436785,-134.78098,0.02014666624600068,-0.0031296703185944353,4.94964015185833,,,0.95,0.9,both,0.3736724385268229,0.3562948170529001,1.3658585530384122,0.0,-116.11357,2148.3926675803045,-133.23679
6,1784841177.210314,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.766573414206505,,5.462244283873588,,9.494750528596342,,0.7848239974118769,,3.8078156700357795,,1.8591864553745836,,4.668244176544249,,7.8125,0.04300319403409958,-0.0005410379526438192,0.013844839566445444,1.4519078060984612,0.5549317598342896,0.9132955074310303,0.3556167483329773,-0.07167212665081024,0.11213786900043488,1.648100733757019,0.4415510892868042,496,0.38549497723579407,5.207017421722412,0.03412563353776932,1015808,1653,496,31,-134.89204,0.0223224974994082,-0.0017827185365604237,4.75721637904644,-119.60825,0.016425046446966008,-0.002144989193766378,4.731895339488983,,,0.95,0.9,both,0.373256638281069,0.391095431796642,0.9243468413417181,0.0,-122.73633,2114.713025895232,-134.89204
7,1784841254.098217,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.599711251445115,,6.697414644062519,,9.865332794375718,,1.1601046391297132,,4.227675597649068,,2.1993069348391145,,4.940061224624515,,8.4375,0.03236016258597374,0.0004424569196999073,0.004948296340444358,1.4536242634057999,0.4858378767967224,0.9070748090744019,0.28324541449546814,-0.010044451802968979,0.08993754535913467,1.4886963367462158,0.4320215880870819,576,0.3415044844150543,5.765888214111328,0.03866838291287422,1179648,1849,576,36,-139.34572,0.012994376302231103,-0.0017620932529098354,4.547626569867134,-114.80977,0.01779591937083751,-0.0024209301031078213,4.496565982699394,,,0.95,0.9,both,0.4342750707582388,0.42460891899327047,0.7381771172254503,0.0,-108.78351,2130.894035836234,-139.34572
8,1784841331.3368163,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.673331036698073,,6.4953946974128485,,9.962329796282575,,1.317882171832025,,4.3809719565324485,,2.3331232415512204,,4.997640763642266,,8.75,0.035937488079071045,-0.0004446699167601764,0.03768619810580276,1.454517338424921,0.5507742166519165,0.9399758577346802,0.42464911937713623,-0.011298038065433502,0.1262294352054596,1.2993817329406738,0.4261234998703003,656,0.29046177864074707,5.863834857940674,0.039803121238946915,1343488,2086,656,41,-115.99541,0.015619826325564645,-0.001478951598983258,4.337563627958298,-118.04447,0.014482663938542828,-0.003311085335735697,4.263514220714569,,,0.95,0.9,both,0.4762024928644523,0.43369133355875017,0.9961690565513144,0.0,-110.34409,2121.2199848331206,-115.99541
9,1784841409.0283568,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.787001583259553,,6.037592894863337,,9.550121714361012,,1.0426974610891193,,3.9644003224093467,,1.977665757527575,,4.868787285871804,,8.1875,0.054366759955883026,-0.0036785725969821215,0.025149116845568642,1.4554389342665672,0.5660515427589417,0.9034662246704102,0.4788602292537689,0.03892676904797554,0.14493918418884277,1.2161965370178223,0.4201551079750061,736,0.44211575388908386,5.426970958709717,0.03219989687204361,1507328,2360,736,46,-100.82472,0.028016578557435425,-0.0014156052478938364,4.168562734127045,-107.07955,0.017814039695076646,-0.0018614447937579826,4.070401203632355,,,0.95,0.9,both,0.5357815342791465,0.5041181728368456,0.9862160664471542,0.0,-126.605934,2108.8511185300467,-100.82472
