# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784841227.133367,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.063757494019228,,4.338743824511766,,6.813719616970047,,1.7280066597741097,,2.5410746840861975,0.007231579162180424,-0.007174376078182831,0.013842095861036796,1.419083409011364,1.0197458267211914,0.0,1.056697964668274,0.21316619217395782,0.018593376502394676,0.8237859010696411,0.6046953201293945,16,0.44656291604042053,4.097060203552246,0.026626447215676308,32768,164,16,1,-120.32406,0.33663659850135447,-0.0029731062255450524,5.687559473514557,-143.54105,0.05288810081547126,-0.008296297988272272,5.667990863323212,,,0.95,0.9,both,0.3502005172802938,0.3557813141517047,0.7714374707797003,0.0,-114.387436,2133.9628918438107,-120.32406
1,1784841302.668133,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.576151788234711,,5.039980196626857,,7.545479755062843,,2.1456875858129933,,2.988394223037176,0.009595057927072048,-0.00615339535579551,0.1431778354162816,1.4224792197346687,0.9703506827354431,0.9260089993476868,0.9750435948371887,0.015870558097958565,0.027408218011260033,0.7981868386268616,0.5463356971740723,96,0.45142072439193726,4.6591386795043945,0.057840608060359955,196608,826,96,6,-117.825584,0.0563125608721748,-0.00391096370149171,5.699720233678818,-116.15786,0.08924946207553149,-0.0029942425921035466,5.555578029155731,,,0.95,0.9,both,0.3021961033569566,0.2458574710831578,1.8271534857383918,0.0,-108.54836,2169.067398501241,-117.825584
2,1784841379.4076066,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.040095315314829,,4.795515950652771,,7.094410453457385,,1.9375271718017757,,2.7209476964198984,0.025269336998462677,-0.005936115077929571,0.014880690672725905,1.4267215579748154,0.9026402235031128,0.9294917583465576,0.8617458343505859,0.00033158762380480766,0.06036210432648659,0.9430001378059387,0.530488133430481,176,0.4596192240715027,4.317699432373047,0.04577845335006714,360448,1387,176,11,-131.44756,0.04027476526098326,-0.004877234274317743,5.600380551815033,-111.84546,0.029549904452869667,-0.0028411777471774257,5.489210537075996,,,0.95,0.9,both,0.30551150949852657,0.2545601486870309,0.9741097677799284,0.0,-123.22046,2135.016754930542,-131.44756
3,1784841456.252545,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.86505506420508,,5.063267127377912,,7.358848976437002,,2.05393823175109,,2.9315737759461626,0.026511430740356445,-0.0038479134236695245,0.0011752920645449194,1.432792078703642,0.7949110269546509,0.918603241443634,0.6506863832473755,0.0010903840884566307,0.07317692786455154,1.2999393939971924,0.48827672004699707,256,0.43636584281921387,4.654536724090576,0.03229840472340584,524288,1655,256,16,-125.0958,0.014312265813350678,-0.003363615481794113,5.422677022218704,-130.12616,0.018300231313332915,-0.00289172954071546,5.343791481852532,,,0.95,0.9,both,0.32752381410289766,0.2960481134106712,0.7821457120092581,0.0,-130.7947,2132.0857490485832,-125.0958
4,1784841534.6488616,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.876270879001822,,4.469902975484729,,6.796424139291048,,1.9647204384382349,,2.4792531195562333,0.03099888563156128,0.0010622192348819226,0.07330780138727278,1.455580186098814,0.6163099408149719,0.9172742962837219,0.38008973002433777,0.03733376786112785,0.0841781422495842,1.685889482498169,0.4435322880744934,336,0.42154812812805176,4.117314338684082,0.030199777334928513,688128,1829,336,21,-134.92056,0.012395922976429575,-0.0024202342639910055,5.152460697293281,-124.10697,0.009156653928221204,-0.002457077748113079,5.075627067685128,,,0.95,0.9,both,0.31672097093919926,0.34692193693839146,1.55424125734155,0.0,-137.01643,2089.8944246079704,-134.92056
5,1784841612.7680144,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.27941266389098,,4.926531026139855,,7.084856980480254,,1.9670605492428876,,2.9039230637135915,0.03870638459920883,-0.019824595958198188,0.002322737615031656,1.4564554691314697,0.6793630719184875,0.9132718443870544,0.5563034415245056,-0.03191688284277916,0.1073700413107872,1.448284387588501,0.45451200008392334,416,0.4865473806858063,4.432357311248779,0.015503594651818275,851968,1996,416,26,-124.8253,0.006965687821502797,-0.0016271968983346597,4.90790781378746,-119.02407,0.010281539396964945,-0.0019525224626704585,4.814927047491073,,,0.95,0.9,both,0.3865346004477599,0.34290646815294296,0.8206893633707812,0.0,-124.1404,2097.308858138873,-124.8253
6,1784841688.416303,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.3837869096314535,,4.53586882352829,,7.159167952748248,,1.8866295431507751,,2.8026299723424017,0.07306881994009018,-0.0024281105725094676,0.0967205976776313,1.4655229859054089,0.6418805718421936,0.906599223613739,0.508908748626709,-0.03579338639974594,0.17348404228687286,1.3909602165222168,0.4576813578605652,496,0.5293188691139221,4.353616237640381,0.02663636952638626,1015808,2159,496,31,-118.177,0.006841269320284482,-0.0014848829538095742,4.612101665139198,-120.022156,0.01282661903242115,-0.0017225217387021984,4.527425074577332,,,0.95,0.9,both,0.4379906257542496,0.3896273793302636,1.7039195950059662,0.0,-121.52822,2165.812263138521,-118.177
7,1784841766.1106098,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.17677645618096,,4.767003490123898,,6.960378011455759,,1.9504645052948035,,2.7181306413258426,0.04833941161632538,-0.0004292008379707113,0.025343789406178985,1.473030798137188,0.5620861053466797,0.9349358081817627,0.38159245252609253,0.0189347006380558,0.11476729065179825,1.3244918584823608,0.4609023332595825,576,0.5368327498435974,4.314550399780273,0.015482569113373756,1179648,2321,576,36,-109.166016,0.009245042846305295,-0.0015013784955954178,4.364718627929688,-112.98778,0.008608689036918804,-0.0017688214073132257,4.299663680791855,,,0.95,0.9,both,0.41371817605762595,0.45110425391576303,1.103921762237356,0.0,-113.56339,2108.7778201472015,-109.166016
8,1784841844.2959054,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.433231455273926,,5.088111316785216,,7.3534583994187415,,2.1578909447416663,,2.7899820753373206,0.04335945472121239,0.0014795924653299153,0.0016409511117672082,1.471345093101263,0.5929287672042847,0.9341153502464294,0.532429575920105,0.02339644730091095,0.10697067528963089,1.0825157165527344,0.46014654636383057,656,0.48965367674827576,4.564535140991211,0.017321711406111717,1343488,2489,656,41,-109.451035,0.0069021837087348105,-0.0013429338141577318,4.114924591779709,-108.861984,0.01527076400234364,-0.001999683906615246,4.057231506705284,,,0.95,0.9,both,0.4825231129116771,0.5138027258076295,0.7549206247986359,0.0,-112.39221,2095.5344901474004,-109.451035
9,1784841918.937602,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.045834118267521,,4.895622323965654,,6.931121563538909,,2.033315922599286,,2.7318910095491447,0.047947391867637634,-0.007576478452392621,0.02322463992459234,1.4802329912781715,0.5653710961341858,0.9239414930343628,0.48440271615982056,0.0005772802978754044,0.11985639482736588,0.9847759008407593,0.4223288595676422,736,0.5189146399497986,4.327556610107422,0.023172760382294655,1507328,2659,736,46,-109.76288,0.013246938565862365,-0.0014146484565571882,3.8386863082647324,-103.31163,0.015041308454237878,-0.0016138136823428794,3.8023017793893814,,,0.95,0.9,both,0.48172230479494954,0.5214356119084821,1.1927935443062343,0.0,-102.071205,2195.0196722541414,-109.76288
