# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784841269.994606,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.9746200365480036,,6.421919750981033,,9.711129132658243,,1.0359153812751174,,4.122896367007343,,2.0632986617274582,,4.937629680847749,,8.3125,0.0011865291744470596,-0.004021569853648543,0.04684271474252455,1.4169187061488628,0.9974324107170105,0.0,1.0002589225769043,0.17161265015602112,0.00316285016015172,0.7724917531013489,0.7134634256362915,16,0.4252376854419708,5.572488307952881,0.09537260234355927,32768,48,16,1,-125.50071,0.04234667191049084,-0.003958155955479015,5.656211578845978,-121.06856,0.07627055679913611,-0.004225908506487031,5.667454734444618,,,0.95,0.9,both,0.36656461358656955,0.3723913398679645,1.4483871306847234,0.0,-129.54314,1714.2932154847815,-125.50071
1,1784841347.4714007,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.588028824538924,,5.383282838738523,,9.521268984302878,,0.7574832853861153,,3.7419866478303447,,1.779443869017996,,4.682411514222622,,7.4375,0.0005870054010301828,-0.002161821466870606,0.10294512857217342,1.4186116643249989,0.9167321920394897,0.9373984932899475,0.8862285017967224,0.03291601687669754,0.0016840043244883418,0.8407068252563477,0.7300928831100464,96,0.3844437599182129,5.111425876617432,0.05598042905330658,196608,319,96,6,-110.314804,0.052245659462641925,-0.001488759600033518,5.538604602217674,-117.68213,0.044367477827472614,-0.0033466364388004878,5.510421565175056,,,0.95,0.9,both,0.28632011939871144,0.24377621462496304,1.921775616286204,0.0,-122.83095,2114.696126309752,-110.314804
2,1784841423.963302,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.789603963494301,,5.881618804298341,,9.672027084045112,,0.8656788566149771,,3.912316769361496,,1.930886842426844,,4.808728830277687,,7.75,0.002168931532651186,0.00021564948838204145,0.10979676869465038,1.4277387075126171,0.8733218312263489,0.9360906481742859,0.7835545539855957,0.0359351709485054,0.005450536496937275,0.9913797378540039,0.7058829069137573,176,0.44163182377815247,5.326357841491699,0.05816765874624252,360448,708,176,11,-118.78414,0.03430920121027157,-0.0029846200137399136,5.494935014843941,-123.68546,0.07674725416582077,-0.002228640983230434,5.484140744805336,,,0.95,0.9,both,0.2539702178248221,0.25492723554996116,1.8837504562680958,0.0,-129.89813,2141.925564823597,-118.78414
3,1784841499.1403081,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.81881626608083,,5.706931437365711,,9.629096912918612,,0.8018929193494841,,3.8884065663442016,,1.749367922078818,,4.823480507766362,,7.875,0.0010840590111911297,-0.001636776956729591,0.043755522259743884,1.43581248447299,0.8786131143569946,0.9339543581008911,0.7344303131103516,-0.02330777794122696,0.002764645963907242,1.2156875133514404,0.6706522703170776,256,0.42889857292175293,5.286623954772949,0.017864352092146873,524288,992,256,16,-121.1403,0.020238842064281927,-0.003266098764288472,5.327510243654251,-127.04756,0.02087372054811567,-0.0030234685051254927,5.354495465755463,,,0.95,0.9,both,0.2853511106998551,0.25988687990033216,1.332582157372673,0.0,-125.31421,2179.3898227992277,-121.1403
4,1784841576.082413,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.663750273641199,,5.509779554326087,,9.43984756898135,,0.8530689151957631,,3.769045364111662,,1.8928120743948966,,4.693934486247599,,7.375,0.0037609641440212727,-0.002933390671387315,0.009683979318651836,1.4481679908931255,0.7394656538963318,0.9305510520935059,0.46363526582717896,0.025049708783626556,0.009687228128314018,1.5738276243209839,0.6253642439842224,336,0.3668522536754608,5.149655342102051,0.020397409796714783,688128,1208,336,21,-117.83159,0.013401904026977718,-0.0031675853970227763,5.045140007138253,-130.21632,0.017009536176919936,-0.003022416440944653,5.103773912787437,,,0.95,0.9,both,0.3126197952826425,0.30010623890036503,0.8184873391094216,0.0,-116.26778,2129.39345071704,-117.83159
5,1784841652.8623745,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.584834795910865,,5.681758527643979,,9.647699499852024,,0.8948409105651081,,3.8730315645225346,,1.6885681424755603,,4.808853042777628,,7.5,0.007081304676830769,-0.0020917932270094752,0.143470813811291,1.4501192346215248,0.6837371587753296,0.9262151122093201,0.34431877732276917,-0.059094738215208054,0.01811872236430645,1.7979271411895752,0.6039121150970459,416,0.4103134572505951,5.2099480628967285,0.03898369520902634,851968,1438,416,26,-113.57119,0.01709711764124222,-0.0033145237699500284,4.714175847172737,-114.84566,0.03025600763503462,-0.0020880443655187262,4.853599739074707,,,0.95,0.9,both,0.370910806645139,0.3280358389081515,2.094747122859789,0.0,-132.22366,2133.8896901665016,-113.57119
6,1784841726.8647265,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.16658105980423,,6.176151949446648,,9.77727522328496,,1.0887345555238426,,4.070101249919389,,2.046444951556623,,4.840328857302666,,8.1875,0.009803426451981068,-0.006671030248980969,0.020820156700210646,1.4497260488569736,0.5539225339889526,0.9180400967597961,0.2080502212047577,0.020100941881537437,0.024111634120345116,1.813971757888794,0.6239415407180786,496,0.41789907217025757,5.544139385223389,0.022680163383483887,1015808,1695,496,31,-128.40822,0.0384219674859196,-0.0019518027518643066,4.530111873149872,-120.181046,0.024949150835163893,-0.0022667432262096555,4.632878136634827,,,0.95,0.9,both,0.4295475831219058,0.4093399583047768,1.0382635239109304,0.0,-123.122765,2213.983805604726,-128.40822
7,1784841801.7851133,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.699494691565633,,5.904617685300764,,9.48980385158211,,0.8560189919080585,,3.958739495370537,,1.8135618579690345,,4.7988431067205966,,7.8125,0.018233798444271088,-0.0007550056325271726,0.005780088813480688,1.4618649557232857,0.5048990249633789,0.8961982727050781,0.24211740493774414,0.06968308985233307,0.040574509650468826,1.4783201217651367,0.6159407496452332,576,0.44208016991615295,5.2916975021362305,0.05269242078065872,1179648,2020,576,36,-134.07352,0.021750547911506147,-0.003341108129825443,4.301511976122856,-111.70608,0.031202520977240057,-0.002772912239743164,4.409459707140923,,,0.95,0.9,both,0.4624100560920298,0.5029038985979998,0.8497364996372678,0.0,-117.12109,2186.8546913972527,-134.07352
8,1784841876.5950305,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.813013155129738,,5.891716314014047,,9.412122564390302,,0.7477656186092645,,3.963988926494494,,1.8071379155298928,,4.712065712548792,,7.875,0.01256438996642828,-0.0007017396856099367,0.0034609307476785034,1.4688185527920723,0.4312019646167755,0.9144952297210693,0.2065238654613495,0.005058695562183857,0.03201782703399658,1.3160649538040161,0.6455370783805847,656,0.4253443777561188,5.277851104736328,0.044296424835920334,1343488,2314,656,41,-112.62244,0.029979965393431486,-0.0019682163576362653,4.078503745794296,-100.316246,0.03601046741241589,-0.0020754891782416964,4.159580251574516,,,0.95,0.9,both,0.5368126462341751,0.48988565669778283,0.8978635389652296,0.0,-102.40572,2190.0839337118255,-112.62244
9,1784841951.4196925,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.536924492364051,,5.459774171933532,,9.491255405766424,,0.7661375166499056,,3.782320455997251,,1.7636091691674665,,4.760090550407767,,7.625,0.024740003049373627,0.0012164649670012295,0.03971016441937536,1.4723298661410809,0.5361368656158447,0.9065935611724854,0.3656630218029022,-0.0608682744204998,0.06728444248437881,1.0956848859786987,0.6731863617897034,736,0.4044186770915985,5.148138523101807,0.029493950307369232,1507328,2641,736,46,-121.6295,0.0331261087092571,-0.0022741381209925747,3.857594235241413,-114.88042,0.039020547084510325,-0.003013761017064098,3.940615238249302,,,0.95,0.9,both,0.6260399210927292,0.5652476468545732,1.279927381301567,0.0,-110.54342,2189.6525624070255,-121.6295
