# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784841731.362825,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.63549471180886,,5.771308709518053,,9.519838670268655,,0.8315117990132421,,3.7321958551183343,,1.859387282282114,,4.733191380451899,,7.25,0.0009615876479074359,-0.013658286537975073,0.00047344666063509067,1.4218548089265823,1.0301059484481812,0.0,1.0407322645187378,0.009094255045056343,0.002408788073807955,-0.08921962976455688,-0.06867765635251999,16,0.39254260063171387,5.166615962982178,0.21953561902046204,32768,268,16,1,-120.50105,0.13732841620221733,-0.002084179440862499,5.679814058542251,-119.08897,0.4822535222396255,-0.0021034294128185137,5.673477074503898,,,0.95,0.9,both,0.3466793785972846,0.3802720179355493,0.4975158129808044,0.0,-120.484055,1918.4650347396673,-120.50105
1,1784841808.4285738,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.948678982909769,,5.983249099808745,,9.641988741233945,,0.8788377265445888,,3.9353399275860284,,1.8946999600157142,,4.900160717777908,,7.75,0.0013735396787524223,0.0008482603589072824,0.0018516619275033008,1.4229803755879402,0.9792866706848145,0.9345436096191406,0.9907974004745483,-0.015546221286058426,0.0039970604702830315,0.005318229086697102,-0.11004974693059921,96,0.4002382755279541,5.36661958694458,0.13026337325572968,196608,1432,96,6,-108.7194,0.055889310303609815,-0.0030162946583004667,5.666329896450042,-118.05894,0.0872245964128524,-0.002480721515894402,5.650242027640343,,,0.95,0.9,both,0.3268531356533081,0.2640304862936718,0.7148674754757719,0.0,-113.298874,2125.9775354631347,-108.7194
2,1784841884.7345617,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.256861136294901,,5.505254751536995,,9.250618163496256,,0.6608155248686671,,3.643324276432395,,1.6312315817922354,,4.6611109166406095,,7.3125,0.002969668246805668,0.00032873754389584064,0.004829717589018401,1.4273017942905426,0.9122914671897888,0.9309349656105042,0.9143915176391602,-0.009194379672408104,0.008016005158424377,0.178921177983284,-0.12624946236610413,176,0.3009890913963318,4.990214824676514,0.06392978876829147,360448,1892,176,11,-120.82118,0.06214344289619476,-0.0026130982834729364,5.580862373113632,-118.18831,0.052291824971325694,-0.002921991556650028,5.5904130935668945,,,0.95,0.9,both,0.3051436516840319,0.23412963201976825,0.7407701632676286,0.0,-117.651955,2147.145205858687,-120.82118
3,1784841962.084401,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.871217134525068,,5.672900599660352,,9.56120901554823,,1.010421630635392,,3.9478684575879015,,1.8628483731299639,,4.874182377709076,,7.875,0.005659602116793394,-0.0012571691768243909,0.08488110624602996,1.4302287809550762,0.8798087239265442,0.9289519786834717,0.8455724120140076,-0.0021302150562405586,0.01658513769507408,0.4296921491622925,-0.11829935014247894,256,0.3850284218788147,5.334456443786621,0.053480956703424454,524288,2234,256,16,-128.2373,0.0363614714704454,-0.0032636271767842117,5.461642643809318,-119.35852,0.03386615696363151,-0.0017825059076130856,5.490019363164902,,,0.95,0.9,both,0.3270749844431765,0.28688674776311734,1.4016724503736278,0.0,-121.14581,2118.1685968708716,-128.2373
4,1784842039.7062678,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.52274377970025,,6.6374463038519025,,9.858450684696436,,1.2344955019652843,,4.37029926571995,,2.243971209274605,,4.990206023911014,,8.375,0.006256275810301304,0.00030308091663755476,0.01611173104174668,1.4361632242798805,0.75360107421875,0.924536943435669,0.6053409576416016,-0.01609022542834282,0.01557477843016386,0.8297098875045776,-0.029700566083192825,336,0.2969379127025604,5.779077053070068,0.03272796422243118,688128,2512,336,21,-123.01743,0.035137581697199494,-0.0015989861771231518,5.306303092837334,-121.44047,0.03014564492041245,-0.002925631961261388,5.326619359850883,,,0.95,0.9,both,0.3491209119843547,0.30448887041652395,0.9195255196136733,0.0,-124.296646,2110.745106191942,-123.01743
5,1784842117.7227283,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.11323556676507,,5.11648397706449,,9.081153135746717,,0.5626928340643644,,3.551300886727404,,1.6273481482639909,,4.581078166142106,,7.125,0.012796283699572086,-0.0011174818209838122,0.0003822561188826512,1.4457999430596828,0.6644915342330933,0.9150527715682983,0.4445268511772156,-0.013795914128422737,0.047163669019937515,1.4039876461029053,0.0657506138086319,416,0.1923525482416153,4.844786643981934,0.02809084951877594,851968,2755,416,26,-119.0953,0.019610066810855642,-0.0024441848203423434,5.102955093979835,-122.45833,0.029231511696707457,-0.0012616968902875668,5.1823934525251385,,,0.95,0.9,both,0.36745453995080474,0.3404722498330756,1.2650555588628571,0.0,-121.47496,2100.069966373821,-119.0953
6,1784842194.2923453,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.123143704840913,,6.219809548463672,,9.865317654795945,,1.107767426117789,,4.05875213094987,,1.9725956688635051,,4.863233738928102,,8.3125,0.04253000393509865,-0.000688524276483804,0.08366918028332293,1.4444265700876713,0.6316542625427246,0.9020866751670837,0.4354332387447357,0.0002221371978521347,0.11695510894060135,1.4123096466064453,-0.009106471203267574,496,0.42332157492637634,5.565390110015869,0.04811551049351692,1015808,2984,496,31,-122.547386,0.01882590939057991,-0.0015664272505091503,4.883639231324196,-120.566895,0.019580039440188556,-0.003131349528848659,4.9787007629871365,,,0.95,0.9,both,0.43692043562232713,0.3986533492694373,1.5606046284288893,0.0,-117.5284,2139.7519600484106,-122.547386
7,1784842269.8490877,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.352308302768506,,6.501495620701462,,10.0,,1.117607751453761,,4.227367182262242,,2.1826533881830983,,4.969341466203332,,8.4375,0.04792449250817299,-0.001987604540772736,0.13695530279073864,1.451887458562851,0.5028282403945923,0.8767849802970886,0.3510163426399231,0.1373795121908188,0.11899913847446442,1.0917153358459473,0.031073452904820442,576,0.33068621158599854,5.723534107208252,0.042082279920578,1179648,3213,576,36,-120.36488,0.015682127466425298,-0.0020973733349819667,4.699380362033844,-125.70134,0.02058812217437662,-0.0018932582428533352,4.737464022636414,,,0.95,0.9,both,0.4297798752967276,0.44246683730428416,1.516736536640078,0.0,-108.543106,2168.4364700177275,-120.36488
8,1784842346.2555814,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.970500300638378,,5.968420244753361,,9.713060634676367,,1.097040356544312,,4.123530765529722,,2.0570129888219526,,4.940830749459565,,8.375,0.08816606551408768,-0.00526233552955091,0.014013219406479038,1.4589423686265945,0.43092942237854004,0.9200003743171692,0.3526809811592102,0.011102032847702503,0.23507060110569,0.8292166590690613,0.051211707293987274,656,0.41365721821784973,5.530674934387207,0.03954467549920082,1343488,3462,656,41,-127.54189,0.018841229868121444,-0.001246260231710039,4.512262111902237,-124.58087,0.022429290984291583,-0.0030517732579028235,4.5633750557899475,,,0.95,0.9,both,0.5196283976420981,0.5000044612273584,0.655386892740602,0.0,-113.235085,2144.320507284085,-127.54189
9,1784842423.0974424,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.4558107275515795,,5.530978315509856,,9.583375040907413,,0.8174345032311977,,3.836324411444366,,1.8138512365985662,,4.738101227208972,,7.6875,0.10103867948055267,-0.0008895234204828739,0.013648331841977779,1.468653429299593,0.5913152098655701,0.9385409355163574,0.4645329713821411,0.01873760297894478,0.24843858182430267,0.6014524698257446,-0.13420066237449646,736,0.39521855115890503,5.18292236328125,0.03247010335326195,1507328,3720,736,46,-113.777756,0.020126250665634872,-0.0009384077333379537,4.306330320239067,-127.78111,0.010813311242964118,-0.002086072381644044,4.33965048789978,,,0.95,0.9,both,0.5656042161816998,0.5124582853829056,0.7627383034198536,0.0,-108.876175,2132.171199833895,-113.777756
