# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784861122.9023998,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.352568326052278,,4.831360695883632,,7.2152388787362725,,1.940800671465695,,2.725369327235967,0.0018034717068076134,-0.009509590701782145,0.002796377088088775,1.4204047657549381,1.0089031457901,0.0,0.9985002279281616,-0.032255470752716064,0.004358201753348112,0.07923975586891174,-0.1127510666847229,16,0.4903615117073059,4.41306734085083,0.06543692946434021,32768,401,16,1,-110.43943,0.5172618927434087,-0.0018514980212785304,5.665675327181816,-159.7228,0.10203268635086715,-0.0050500121316872535,5.6718215346336365,,,0.95,0.9,both,0.4029633841378445,0.36489506677489175,0.6682251549355097,0.0,-111.856064,2105.0974765463034,-110.43943
1,1784861201.765133,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.753814715659246,,5.165442185476422,,7.497844347512,,2.133926028807764,,2.8488159606349654,0.0012306456919759512,-0.011931669985642657,0.0005217821774294862,1.4289178475737572,0.9818242192268372,0.9357407689094543,0.9673111438751221,-0.0016901465132832527,0.00442670751363039,0.06092293560504913,-0.057152457535266876,96,0.43587619066238403,4.67996883392334,0.05182177573442459,196608,1276,96,6,-129.31927,0.08924516448751092,-0.0030105173180345448,5.6093992531299595,-134.02744,0.05878296161536127,-0.0037454515942954457,5.536488074064255,,,0.95,0.9,both,0.29244353955651703,0.23423060036851034,0.6241472244790386,0.0,-144.58394,2077.534498642376,-129.31927
2,1784861279.1881752,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.598132274928503,,5.322320279898122,,7.4534947568317875,,2.143269333348144,,3.057105221785605,0.006161942612379789,-0.003426674084039405,0.06162916785979178,1.4298311099410057,0.9886417984962463,0.9303199648857117,0.9921665787696838,-0.017216350883245468,0.016176540404558182,0.13008609414100647,-0.03631558641791344,176,0.4346993863582611,4.7148637771606445,0.0495133176445961,360448,1681,176,11,-178.43059,0.04781849703285843,-0.0021050298877526076,5.50765101313591,-120.98164,0.04426695955917239,-0.003945843780820723,5.485230630636215,,,0.95,0.9,both,0.2881290328481605,0.2514728723591239,1.4192631663706354,0.0,-186.86523,2116.1658169325065,-178.43059
3,1784861357.251371,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.024924285709858,,5.575381878763437,,7.842832248657942,,2.3200990427285433,,3.201585942879319,0.0034167300909757614,6.343839049804956e-05,0.015737208272184944,1.4308148622512817,0.9039002656936646,0.91974937915802,0.8656477928161621,-0.03957882896065712,0.010214526206254959,0.38394951820373535,-0.07288830727338791,256,0.31598028540611267,4.992964744567871,0.023986924439668655,524288,1904,256,16,-141.52428,0.01111600903677754,-0.005726656620390713,5.341648313403129,-126.28176,0.015246753190876917,-0.004842085838026833,5.331361183524132,,,0.95,0.9,both,0.27367289457719046,0.27167324013525956,1.2890544246897702,0.0,-128.3946,2098.813262075694,-141.52428
4,1784861433.2292829,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.85087800770998,,4.179984004003927,,6.662394303741166,,1.7371890337672085,,2.3774847453460097,0.029030226171016693,-0.010475374379893765,0.001704840959973808,1.4318512938916683,0.7699064016342163,0.9004836082458496,0.5722155570983887,-0.004220474977046251,0.08027494698762894,0.9508882164955139,-0.06277154386043549,336,0.4003313183784485,3.9615864753723145,0.023048052564263344,688128,2183,336,21,-131.69571,0.0164216916076839,-0.003718025368289091,5.191808286309242,-118.27559,0.019667215063236654,-0.002039119228720665,5.105868723988533,,,0.95,0.9,both,0.29576669004188716,0.2825428876670255,0.9128151355588469,0.0,-123.33952,2156.415618184303,-131.69571
5,1784861509.0347066,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.931971739570145,,5.54572653118521,,7.707775318063796,,2.3006086805835366,,3.0497076120227575,0.01967964693903923,-0.00039784152613719925,0.05828128366556484,1.4403492994606495,0.5987374782562256,0.8895795345306396,0.3586153984069824,-0.038588523864746094,0.07698417454957962,1.6379731893539429,-0.08913509547710419,416,0.38988134264945984,4.907158374786377,0.042296260595321655,851968,2546,416,26,-116.035324,0.031871787935961036,-0.002511295723525109,5.01364069879055,-127.424904,0.03218271767254919,-0.002017265843460336,4.892890956997872,,,0.95,0.9,both,0.32883893112664964,0.3100867153078471,1.373735889759192,0.0,-119.82393,2161.3229047563227,-116.035324
6,1784861583.1407194,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.86934957979247,,4.298856142908335,,6.669329089578241,,1.68050092831254,,2.550546958576888,0.07619795203208923,-0.013001336599700153,0.008923908611905063,1.4548379369080067,0.5774750709533691,0.883497416973114,0.3011676073074341,0.01363033801317215,0.2089351862668991,1.217600703239441,-0.014529313892126083,496,0.4270475506782532,4.013716697692871,0.02433961257338524,1015808,2892,496,31,-127.95134,0.021851074241567403,-0.0018117255465767812,4.825410312414169,-122.03329,0.0167570186778903,-0.003354930666682776,4.728922766447067,,,0.95,0.9,both,0.37780086088755943,0.3477023711548556,0.8424928287939202,0.0,-124.14258,2210.885414661304,-127.95134
7,1784861659.734772,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.43383102864027,,3.9777096777106635,,6.477263974957168,,1.709862809162587,,2.4106061661150306,0.020706165581941605,0.0015535754209849983,0.008464058264507912,1.4786806292831898,0.33474624156951904,0.8289493918418884,0.2149372100830078,-0.03653126209974289,0.07142000645399094,1.0028185844421387,0.11913014948368073,576,0.2886263430118561,3.8018546104431152,0.030346039682626724,1179648,3230,576,36,-126.03479,0.01943494163569994,-0.0018311217791051604,4.640247946977615,-120.52639,0.024729763518553226,-0.0023431648151017725,4.577172502875328,,,0.95,0.9,both,0.37389116906353587,0.38580963028581683,1.210859034576392,0.0,-134.7435,2139.0708789541713,-126.03479
8,1784861736.6602094,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.712945225182921,,4.35957414470613,,6.632534821284935,,1.7461525243488722,,2.5479852124117315,0.07754025608301163,-0.0030594974232371897,0.009471010889683384,1.4887710995972157,0.36516985297203064,0.841896116733551,0.19829435646533966,0.09016093611717224,0.21197953820228577,0.9011861681938171,0.15792645514011383,656,0.377000629901886,3.9998385906219482,0.02856113389134407,1343488,3568,656,41,-123.45415,0.020250198006397113,-0.0019179537150193938,4.434796369075775,-118.36399,0.019346704665804283,-0.0013540425497922115,4.422504565119743,,,0.95,0.9,both,0.40329954430973025,0.3745730788388431,0.9349439854236897,0.0,-125.46981,2129.8540141322474,-123.45415
9,1784861812.1229186,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.5420287335291505,,4.129829508136027,,6.411109468404902,,1.6318782491143793,,2.400605546310544,0.057554397732019424,0.00026560491824056953,0.02873010528855957,1.4915545955300331,0.42427965998649597,0.8686150312423706,0.30325332283973694,-0.07694800943136215,0.15579919517040253,0.8823684453964233,0.08359019458293915,736,0.29829785227775574,3.8230903148651123,0.03534539416432381,1507328,3892,736,46,-126.04968,0.01480114521109499,-0.0015458820125786588,4.236282369494438,-135.57019,0.01512369602569379,-0.0015937570657115429,4.221255439519882,,,0.95,0.9,both,0.48132859431354025,0.461063812000342,1.4445796372101651,0.0,-119.18655,2171.1386562291896,-126.04968
