# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784861590.8245602,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.039985803887248,,5.9544209856539965,,9.76071476074867,,0.9938884470611811,,4.203647651083884,,1.9673270047060214,,4.912993306294084,,7.9375,-0.10685394704341888,4.4623244320973754e-05,0.0020328500650066417,1.4176907800137997,1.0011330842971802,0.0,1.041851282119751,-0.22263795137405396,0.00160305539611727,0.769380509853363,0.6597159504890442,16,0.42013272643089294,5.471310138702393,0.09209298342466354,32768,233,16,1,-122.23045,0.40833987984806297,-0.0037406559378723612,5.661057308316231,-113.08828,0.1260983861749992,-0.0016993413897580466,5.676602473855018,,,static,0.38691715100451696,0.36247559484534253,0.6166103713039209,0.0,-118.60561,2090.7183328956176,-122.23045
1,1784861665.851518,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.878142966888845,,5.922278804006055,,9.563386772759259,,0.8597400289145298,,4.049298570258543,,1.8300449014641345,,4.817482880083844,,7.9375,-0.13720861077308655,-0.0010224920115433633,0.007464598100341391,1.4185503236949444,0.9830378293991089,0.938319206237793,1.0064748525619507,0.02727575972676277,0.0014432537136599422,0.7826007604598999,0.6098112463951111,96,0.4507143795490265,5.357234477996826,0.028332306072115898,196608,1125,96,6,-115.81248,0.09758215458132327,-0.006009013966831844,5.610030072927475,-128.89365,0.01904570503975265,-0.0036780089321837295,5.634957242012024,,,static,0.3992232328303008,0.36234262192883426,0.7335630553120449,0.0,-113.28517,2183.7475148182275,-115.81248
2,1784861743.8698704,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.845558231230825,,5.840441165084485,,9.6831492963247,,1.0081378379836679,,4.00852818437852,,1.9175668166717514,,4.846493880555499,,8.0625,-0.1054816022515297,-0.0006450056098401546,0.11169557814719155,1.4142680279910564,0.9455782175064087,0.9357719421386719,0.919625997543335,-0.02363494783639908,0.004472620785236359,0.8623118996620178,0.6126152873039246,176,0.4187079071998596,5.401546955108643,0.02973906695842743,360448,1406,176,11,-187.98068,0.032582374074263495,-0.0024010081484448164,5.474122422933578,-125.8268,0.01932922980049625,-0.002133251735358499,5.513480034470558,,,static,0.3683295761347678,0.37091578947219295,1.694308680730781,0.0,-146.281,2100.0196811833603,-187.98068
3,1784861820.1548219,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.285005282610655,,6.345239753951319,,9.81334946025163,,1.1191090779320803,,4.184433319722302,,1.9031870872713625,,4.928467493620701,,8.375,-0.10431769490242004,-0.010268176149111241,0.053893718402832747,1.4142837524414062,0.8742794990539551,0.9349985122680664,0.7978304624557495,-0.028157515451312065,0.0023138050455600023,1.0916557312011719,0.613518238067627,256,0.3777799904346466,5.6192240715026855,0.020118484273552895,524288,1640,256,16,-167.10078,0.014012057846412063,-0.001659456212655641,5.260510036349297,-126.43581,0.01659622652223334,-0.002464179172238801,5.378617727756501,,,static,0.3367528940203304,0.4270288447365694,1.3522594317062906,0.0,-164.33353,2147.737059971226,-167.10078
4,1784861899.435224,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.997526717139408,,5.673039621091448,,9.744980691932142,,0.8528860644437373,,3.7662855670787394,,1.7641211887821555,,4.859121497487649,,7.8125,-0.11915864795446396,-0.006701305217575282,0.02693611863651313,1.4123977683484554,0.7655039429664612,0.9338574409484863,0.5794010162353516,-0.03988904878497124,0.0076868473552167416,1.5812119245529175,0.6075695753097534,336,0.4148544371128082,5.308807849884033,0.026967668905854225,688128,1879,336,21,-141.96323,0.005335626642045099,-0.0020164114550425436,4.9727429956197735,-120.37755,0.020546502829529346,-0.0027734504576073958,5.170075008273125,,,static,0.4295971590085713,0.4478850642553104,1.1276339695658437,0.0,-143.18118,2066.588936380589,-141.96323
5,1784861978.5738192,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.089225395582616,,6.125066838692874,,9.694586876779795,,0.935013736365363,,3.906123823224334,,1.90358442440629,,4.851879892870784,,7.6875,-0.09119556099176407,0.0020397244370542467,0.002861544184270315,1.388634592294693,0.6560081243515015,0.9310060739517212,0.3387787640094757,-0.0028395368717610836,0.02023037150502205,2.1362061500549316,0.618660032749176,416,0.39045047760009766,5.399122714996338,0.021655071526765823,851968,2138,416,26,-127.65047,0.00828885857190471,-0.003648918872931972,4.699290338158607,-112.43617,0.02226744928630069,-0.0016213239810895174,4.960069191455841,,,static,0.4469986005972354,0.5163930260466918,0.7444799705146283,0.0,-127.35435,2070.2919078414893,-127.65047
6,1784862057.104526,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.68188429082511,,5.967520609498024,,9.639188877306879,,0.8028616084775422,,3.8034507172415033,,1.8360910391202196,,4.736061815172434,,7.8125,-0.1253950297832489,0.0005624878685921431,0.016384728478442412,1.3864115253090858,0.5675190687179565,0.9277795553207397,0.2975815534591675,-0.02591615356504917,0.0344461053609848,2.0772886276245117,0.6033811569213867,496,0.4322381615638733,5.284944534301758,0.042654551565647125,1015808,2392,496,31,-111.06987,0.00998672613350209,-0.005237985163694248,4.5020750015974045,-102.90804,0.023973621864570305,-0.001761475356761366,4.7234558165073395,,,static,0.4788688315929949,0.5539774911312659,1.1065723289716574,0.0,-138.33784,2086.318188408715,-111.06987
7,1784862133.3674436,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.047538648592308,,5.877873990684748,,9.60634055081755,,0.925854597822763,,3.86112593812868,,1.8910616654902697,,4.850418895133771,,7.875,-0.10329026728868484,-0.004434594098711386,0.005148280513822101,1.3777028992772102,0.4591025412082672,0.9252445697784424,0.20667141675949097,-0.02157147042453289,0.01855378784239292,1.5831639766693115,0.5846162438392639,576,0.42044520378112793,5.366901397705078,0.03060539811849594,1179648,2643,576,36,-103.957504,0.009562962644849904,-0.004799930346780457,4.248756769299507,-108.548965,0.019630978209897877,-0.0026538739970419557,4.508720344305038,,,static,0.5291075685806164,0.6361376961422163,0.7154494030155774,0.0,-111.93091,2148.356698659543,-103.957504
8,1784862209.4659507,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.71755682118237,,5.8986795311793685,,9.527423171442933,,0.8586735481512733,,3.991491753840819,,1.7315269137034193,,4.812280013691634,,7.9375,-0.11497002094984055,-0.0011756918393075466,0.008417438559263246,1.3689833171665668,0.3567800521850586,0.8941006064414978,0.2522217035293579,0.06302135437726974,0.03319632261991501,1.378068447113037,0.5373655557632446,656,0.4271242022514343,5.309391975402832,0.03981104865670204,1343488,2908,656,41,-130.53793,0.012511184366303496,-0.002932252564642113,3.9396970599889753,-110.039474,0.021068040310638025,-0.0016868229751707986,4.303529825806618,,,static,0.5728337078190255,0.6838458555122665,0.8815186196987844,0.0,-134.22153,2152.9984217155907,-130.53793
9,1784862283.4081478,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.340004937723279,,6.275469342246652,,9.920545272063464,,1.1983671701163985,,4.213639375491766,,2.253354084910825,,4.935736413113773,,8.5,-0.0996345728635788,-0.0012999751197639853,0.001232022079420858,1.3638973124325275,0.4809728264808655,0.8804066181182861,0.2967842221260071,0.032279402017593384,0.044135622680187225,1.095212697982788,0.5236688852310181,736,0.36835700273513794,5.704639434814453,0.028428897261619568,1507328,3136,736,46,-102.08745,0.014785070504876785,-0.003746074881928507,3.6992955207824707,-104.92937,0.02117931382963434,-0.002552294119959697,4.091860830783844,,,static,0.5519107326025324,0.6316704182308873,0.590233205161104,0.0,-107.24873,2215.7872211993385,-102.08745
