# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784862736.555722,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.3645812179893255,,4.739867240190506,,7.078664648346603,,2.0280917788040824,,2.6501849500928074,-0.1530006229877472,-0.0024402240524068475,0.02923178387572989,1.415679082274437,1.011336326599121,0.0,1.0183687210083008,0.06193538010120392,0.006688391789793968,0.740742564201355,0.8101344704627991,16,0.5311030149459839,4.372277736663818,0.1900257021188736,32768,86,16,1,-117.66414,0.08653662707656622,-0.004084175519528799,5.662540954351425,-125.55515,0.13560720328241588,-0.003335037294891663,5.674062713980675,,,static,0.3650547890122313,0.34705488154563374,1.1587562656584955,0.0,-126.65242,1923.7431950118723,-117.66414
1,1784862814.1820815,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.84405600419268,,5.352810029871762,,7.832862498355098,,2.33146938867867,,3.1389322904869914,-0.19290274381637573,0.00031213165493682027,0.12826574611244723,1.408641092479229,0.9699206352233887,0.9361812472343445,0.9798412322998047,-0.02359396032989025,0.0029080486856400967,0.7465250492095947,0.8134409785270691,96,0.3483206331729889,4.900025844573975,0.04383818805217743,196608,427,96,6,-135.0791,0.01858389257977251,-0.0034347037399129476,5.566212877631187,-127.69612,0.020243745809420944,-0.004855634247360285,5.641151404380798,,,static,0.30977128681323945,0.3190338407299251,1.9098649897392277,0.0,-139.08707,2110.622871183593,-135.0791
2,1784862891.910295,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.474320247769356,,4.989093725103885,,7.3356521785317454,,1.9014182176906613,,2.6640368876978755,-0.11642333120107651,-0.016538511612452567,0.005705648876755731,1.3993160389363766,0.9197307825088501,0.9330335259437561,0.8895041942596436,-0.011690951883792877,0.004165038000792265,0.8691891431808472,0.7674625515937805,176,0.45442575216293335,4.472904682159424,0.026227928698062897,360448,629,176,11,-143.17099,0.014148595987353473,-0.005896933651092695,5.302769362926483,-127.17831,0.02279631337733008,-0.0038902335916645827,5.448991313576698,,,static,0.35019099421810296,0.34438162844684966,1.0740301976673923,0.0,-166.06046,2107.85761811691,-143.17099
3,1784862969.8199387,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.632542131468654,,4.161829932127148,,6.843236656597583,,1.7916665403172374,,2.5051592895761132,-0.18542563915252686,-0.014375868340721354,0.0012080032474841573,1.3944130577147007,0.8573158979415894,0.930374026298523,0.7492477297782898,0.0016832801047712564,0.013415086083114147,1.1374118328094482,0.7030980587005615,256,0.4085037112236023,3.986886978149414,0.025629650801420212,524288,901,256,16,-118.65486,0.03990032393485308,-0.0027964653563685715,5.181489935517311,-131.86313,0.015507093686028383,-0.0016403736473876052,5.24531974196434,,,static,0.4152979175450673,0.35964027624312755,0.8465257207718379,0.0,-132.91072,2102.949133456735,-118.65486
4,1784863047.118808,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.7547413856955245,,4.309136986732483,,6.725689174141735,,1.7899875659495592,,2.574542366201058,-0.1460498720407486,0.0003651795268524438,0.10212905424123164,1.3910799026489258,0.6883707046508789,0.9251986742019653,0.440065860748291,0.03368907421827316,0.0203902218490839,1.6634005308151245,0.6482107043266296,336,0.381468266248703,4.030819416046143,0.041973065584897995,688128,1234,336,21,-130.40628,0.03785019194474444,-0.0038726756836695133,5.0508453965187075,-122.13896,0.028395899321185424,-0.002514963096473366,5.0339295864105225,,,static,0.4296271992442887,0.39779922417332786,1.6855448629715601,0.0,-157.03076,2119.5649778432476,-130.40628
5,1784863125.7244854,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.567829919047654,,5.214485973585397,,7.709148048888892,,2.2611945180105977,,2.9772960618138313,-0.15760289132595062,-0.0033041634305845946,0.028475608763983473,1.3923137970268726,0.6511678695678711,0.9172341823577881,0.51662677526474,-0.03818108141422272,0.028546107932925224,1.7531150579452515,0.642486572265625,416,0.4437435269355774,4.745990753173828,0.03548300266265869,851968,1581,416,26,-124.528725,0.05668859565630555,-0.002167277305852622,4.948736065626145,-123.61464,0.018424918135860936,-0.001262550819956232,4.855038601160049,,,static,0.43566787256505607,0.44728184217524947,1.3568409562164558,0.0,-132.34836,2084.328243675691,-124.528725
6,1784863202.8790529,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.878646743483841,,4.522487185487989,,7.136305904947221,,1.8303628701251,,2.5934516387060285,-0.10697756707668304,-0.002584415051387623,0.01791532523202477,1.3856645226478577,0.5692928433418274,0.9024002552032471,0.4276820421218872,-0.010436346754431725,0.07323511689901352,1.4568196535110474,0.6122004389762878,496,0.4477846026420593,4.192250728607178,0.031524091958999634,1015808,1866,496,31,-140.94772,0.020558567706029863,-0.003851131777628325,4.798619520664215,-124.04061,0.011742916473303921,-0.0015229225158691407,4.615039297938347,,,static,0.4628912824648923,0.5171413256590609,1.1204730647115602,0.0,-136.00667,2123.529217317423,-140.94772
7,1784863279.3245456,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.396708967164159,,3.99786408431828,,6.393327717669308,,1.6541962388437241,,2.3807771163992584,-0.24752524495124817,-0.007349785417318344,0.0012194023038318846,1.384878534823656,0.5460540056228638,0.9018265008926392,0.4596959352493286,-0.09303535521030426,0.025333484634757042,1.3795887231826782,0.6141793131828308,576,0.2257140576839447,3.7645747661590576,0.027737120166420937,1179648,2095,576,36,-142.39769,0.02177354912273586,-0.0007323376485146582,4.591495168209076,-113.74007,0.010064043884631247,-0.0015894385611318284,4.353006884455681,,,static,0.48576651915608815,0.5638383753591409,1.0339094709966732,0.0,-130.37082,2143.226364877116,-142.39769
8,1784863355.9048395,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.782168976496905,,5.198944680392742,,7.757016202434897,,2.221697448985651,,3.024957324145362,-0.11872021853923798,0.00026209367206320167,0.08472274834639393,1.3806796073913574,0.696533739566803,0.8813732266426086,0.6547290086746216,-0.01288839802145958,0.142222598195076,1.2845027446746826,0.5859851837158203,656,0.4063246250152588,4.796957015991211,0.02532186172902584,1343488,2301,656,41,-166.79886,0.014213695423677564,-0.0008810596307739615,4.406440567970276,-109.41836,0.012846988029195927,-0.0018723196219070815,4.071745771169662,,,static,0.5581775318889101,0.512284811033423,1.5499523848356098,0.0,-143.99605,2139.4541215870927,-166.79886
9,1784863433.5140235,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.186229682760313,,4.2594872859772295,,6.494768590433523,,1.6090287519618869,,2.64432973600924,-0.12234039604663849,-0.0027581208996707574,0.06227544914872851,1.3824699595570564,0.678282618522644,0.8274854421615601,0.7787787914276123,-0.04619257152080536,0.13438160717487335,1.2187182903289795,0.5689038038253784,736,0.3902103006839752,4.038768768310547,0.016745347529649734,1507328,2499,736,46,-172.41167,0.017307155200978742,-0.0008908137213438749,4.250373041629791,-124.414734,0.015519562573172153,-0.0019567654337151906,3.8014407113194464,,,static,0.5773702843852881,0.6497147195469546,1.4086683100549713,0.0,-132.60367,2111.0900620087473,-172.41167
