# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784863275.9562624,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.477332514710724,,6.5826784442178905,,9.908190433168784,,1.1150630332995206,,4.158663105219603,,2.1326524707546923,,4.911584361456335,,8.3125,0.001459594932384789,-0.0048248328967019916,0.038527709344634786,1.4182487428188324,1.0165231227874756,0.0,1.070211410522461,0.02567990869283676,0.003935102839022875,0.7079869508743286,0.7029566168785095,16,0.35435155034065247,5.699833393096924,0.1831832230091095,32768,314,16,1,-128.29594,0.3556365934200585,-0.002574744913727045,5.678085026144982,-112.48325,0.38184070475399495,-0.0028899649994855283,5.680133819580078,,,0.95,0.9,n2c,0.38608489291480225,0.37091286863141715,1.0547628291154159,0.0,-126.27183,1944.5275098595494,-128.29594
1,1784863353.5100648,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.464732257649302,,6.342639436013997,,9.833621823228896,,1.184255084313918,,4.149440612643957,,2.1758312689635204,,4.957962607964873,,8.3125,0.0013862212654203176,0.0014710523537360132,0.028670142841292545,1.4225601553916931,1.032718539237976,0.9360150694847107,1.0092846155166626,-0.0059563457034528255,0.0036965482868254185,0.6388159394264221,0.673433780670166,96,0.3798903524875641,5.6776227951049805,0.040478140115737915,196608,929,96,6,-114.16903,0.08432266800664365,-0.005837395551498048,5.637045288085938,-120.2531,0.031100988597609104,-0.0025829647842328996,5.5871262669563295,,,0.95,0.9,n2c,0.377968178326158,0.23507776530227042,1.110903053104726,0.0,-140.5729,2112.5988428644946,-114.16903
2,1784863433.2212853,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.7832456508185714,,5.670198590494692,,9.431723666843027,,0.8405707351630554,,3.9042759084841236,,1.825056659989059,,4.722329157870263,,7.625,0.0030837752856314182,-0.000457869449746795,0.00010347189873982643,1.4251048415899277,0.9717981219291687,0.934861421585083,0.9375476837158203,-0.040661394596099854,0.007768181152641773,0.5892061591148376,0.6653104424476624,176,0.4243442118167877,5.225300312042236,0.031199127435684204,360448,1218,176,11,-139.8757,0.025235036155208945,-0.003756023524692864,5.58959022462368,-132.40898,0.024916476977523416,-0.0033788566070143133,5.56387195289135,,,0.95,0.9,n2c,0.3538295525191491,0.2620454987761932,0.7375348518912288,0.0,-159.22218,2055.4197445038308,-139.8757
3,1784863511.4482667,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.489310236647725,,5.808298987685703,,9.468529716134071,,0.8577743561472744,,3.7841016547754407,,1.8047424450633116,,4.813510741107166,,7.6875,0.0035173820797353983,-0.002800524467602372,0.04560600788681768,1.4225824140012264,0.9605384469032288,0.9336365461349487,0.9282191395759583,0.017952261492609978,0.009119897149503231,0.6364058256149292,0.635277271270752,256,0.4038061499595642,5.214221000671387,0.013936987146735191,524288,1390,256,16,-155.87843,0.006592487763555255,-0.0034170548940892333,5.379884296655655,-125.62152,0.011719587238621898,-0.006928302149754017,5.351448392868042,,,0.95,0.9,n2c,0.368557520623637,0.29389147488561246,1.1437658239112996,0.0,-145.10144,2094.4175425042095,-155.87843
4,1784863590.4988105,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.708563642576337,,5.648336507176282,,9.427903485484421,,0.8162472320254892,,3.92167354299454,,1.6482893683714792,,4.769501558388583,,7.375,0.0022992873564362526,-0.004876214254181832,0.048676839302061126,1.4217240437865257,0.861796498298645,0.9317309260368347,0.7675375938415527,-0.02312816120684147,0.00565497437492013,0.8564600348472595,0.6593071818351746,336,0.38677018880844116,5.1644392013549805,0.018515389412641525,688128,1552,336,21,-145.45041,0.0050921303089126015,-0.003272224278043723,5.110719448328018,-131.5068,0.008954504967550746,-0.005138650831213454,5.076148065924644,,,0.95,0.9,n2c,0.4407481620384176,0.41255942703040616,1.192242373700286,0.0,-142.68655,2072.597908463208,-145.45041
5,1784863669.3630664,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.192058266111417,,6.002713684458286,,9.608320071361959,,1.2030872029718012,,3.8945072246715426,,2.0112796393659664,,4.847537985537201,,8.1875,0.004245420452207327,-0.0005635994602926075,0.0062756543593422975,1.4340206235647202,0.7863492965698242,0.9288707375526428,0.6318591833114624,-0.04046712443232536,0.010934850201010704,1.1792253255844116,0.651307225227356,416,0.4084683954715729,5.493375778198242,0.023220259696245193,851968,1720,416,26,-126.717545,0.005036498750268947,-0.0039783280204574115,4.78331333398819,-116.53076,0.009356499000568874,-0.004394380662415642,4.793396896123886,,,0.95,0.9,n2c,0.4709642312054215,0.433750462383388,0.7350949193177105,0.0,-121.722946,2077.49458935627,-126.717545
6,1784863747.128247,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.160060570109636,,5.986310050822794,,9.727864280343056,,0.9551057334174402,,4.06670820270665,,1.9638414344517514,,4.875768253579736,,7.9375,0.0122284647077322,-0.003286427672719583,0.014598255431337748,1.4345329068601131,0.7215861082077026,0.9244253039360046,0.6313221454620361,0.027653658762574196,0.030613504350185394,1.2756848335266113,0.5997666716575623,496,0.44578900933265686,5.459144592285156,0.032452963292598724,1015808,1894,496,31,-111.47227,0.012784947594627737,-0.0019696799230587204,4.534860467910766,-111.8995,0.016034269519150258,-0.003130644476914313,4.5421940356493,,,0.95,0.9,n2c,0.5009672876382473,0.45139397696417055,0.8093820559116534,0.0,-119.802345,2106.8551591501146,-111.47227
7,1784863823.1417646,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.015301411505789,,5.702284227125347,,9.434763556346297,,0.9140097791096196,,3.8520642747171223,,1.9015069706947543,,4.795395873486996,,7.75,0.013787672854959965,-0.003372921666596085,0.07279605834628455,1.433852206915617,0.7235692143440247,0.9184393882751465,0.6045235395431519,0.025631938129663467,0.03404441103339195,1.2319982051849365,0.5542281270027161,576,0.39256101846694946,5.295665740966797,0.023237820714712143,1179648,2069,576,36,-104.96364,0.010144295849022456,-0.002391292108950438,4.357488879561425,-118.84587,0.010465772802126594,-0.00448631850304082,4.299158647656441,,,0.95,0.9,n2c,0.5061351692825188,0.5527673404168837,1.3164139084624247,0.0,-115.00521,2155.40600472098,-104.96364
8,1784863900.019765,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.537065377226099,,5.42451508808881,,9.39601019769907,,0.8503185245208442,,3.7973592213820666,,1.7366009092656896,,4.808458732441068,,7.6875,0.014997720718383789,-0.0057404322433285415,0.029266711077070795,1.4292573630809784,0.5525365471839905,0.9380200505256653,0.37095150351524353,-0.05001968890428543,0.039182815700769424,1.258124828338623,0.5267672538757324,656,0.37648990750312805,5.154728412628174,0.028945913538336754,1343488,2287,656,41,-146.44792,0.01867678674752824,-0.0023190262174466623,4.1530809789896015,-109.16099,0.020690069964621215,-0.003526202375360299,4.101410841941833,,,0.95,0.9,n2c,0.620154832525808,0.5834148916892474,0.9808663421550308,0.0,-110.305984,2131.1685502614087,-146.44792
9,1784863977.101141,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.100911642046412,,6.266089851036668,,9.787074396386743,,1.1377537730149925,,4.093290229080594,,2.1297286972403526,,4.896206516306847,,8.0625,0.03216531500220299,-2.0982464775443077e-05,0.02180113719077781,1.4355963952839375,0.5087109804153442,0.9160696268081665,0.28160688281059265,0.07692143321037292,0.08854686468839645,1.222069501876831,0.4659355878829956,736,0.42564651370048523,5.559194087982178,0.03722876310348511,1507328,2583,736,46,-117.79476,0.03213510089553893,-0.0031921353191137316,3.995622086524963,-100.192276,0.026254199317190797,-0.00356197349174181,3.941548553109169,,,0.95,0.9,n2c,0.6348887610811144,0.6299406087383652,1.0174085298319913,0.0,-106.542496,2125.547149159732,-117.79476
