# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784863684.8932114,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.063216308131814,,4.675128624774516,,7.048126935493201,,2.0293732568243286,,2.798783029895276,0.0003546588122844696,-0.012732132890960202,0.10432026491616853,1.417518749833107,1.0151444673538208,0.0,1.0014801025390625,0.1601613163948059,0.0009332298650406301,0.7142878770828247,0.6839869022369385,16,0.5057535171508789,4.322925567626953,0.08394172787666321,32768,517,16,1,-112.435,0.2511275648139417,-0.0016733895128709265,5.678094857931137,-109.86049,0.6386750537902117,-0.00245245035039261,5.66764830648899,,,0.95,0.9,n2c,0.3721593258450098,0.3797033713487925,1.760991288519278,0.0,-117.95699,1889.8348502186432,-112.435
1,1784863764.3065155,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.609299883246422,,5.240161140449345,,7.552910150028765,,2.131842911359854,,2.8327849919442087,0.0018888249760493636,-0.008543474023099407,0.12126273653120734,1.4175157994031906,0.9812063574790955,0.9349060654640198,0.9607894420623779,0.010854393243789673,0.00522769708186388,0.69062739610672,0.7177954912185669,96,0.4834062159061432,4.673399925231934,0.21684804558753967,196608,2003,96,6,-112.98924,0.09756172148045153,-0.00388523562651244,5.690567848086357,-122.04966,0.15985958208329976,-0.0016468587084091269,5.6732550144195555,,,0.95,0.9,n2c,0.41566566705922925,0.2567889688087147,1.973720547038735,0.0,-117.4897,2063.129784873927,-112.98924
2,1784863843.0289724,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.67506955715362,,4.972707186534535,,7.5109021151438355,,2.2631709268316627,,2.9811009662225842,0.0016268908511847258,-0.007751093853585189,0.003766203491977649,1.4098175577819347,0.952954113483429,0.9332453012466431,0.9251243472099304,-0.022662419825792313,0.004086608067154884,0.7464516758918762,0.7350929975509644,176,0.43635839223861694,4.6805901527404785,0.029842650517821312,360448,2403,176,11,-144.17972,0.01773347714333795,-0.0040178928597015325,5.627456340193748,-122.964195,0.018391005968442186,-0.0030510082753608,5.66046387553215,,,0.95,0.9,n2c,0.37217237278939497,0.2223705180701741,0.7557235129501421,0.0,-154.34128,2081.2364936526137,-144.17972
3,1784863920.6344771,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.221756291692145,,5.116182110112277,,7.264571338309906,,1.990204053465277,,2.853785410989076,0.004564267583191395,-0.0019768175261560827,0.023581986330100335,1.4106982983648777,0.8685029745101929,0.9309002757072449,0.7338371276855469,0.018100900575518608,0.01181774865835905,0.9647728800773621,0.731376051902771,256,0.44255051016807556,4.489299774169922,0.019272159785032272,524288,2594,256,16,-157.57558,0.01260170073073823,-0.0020738372921186967,5.462678876519203,-144.34714,0.013283176865661517,-0.002949061336403247,5.513210833072662,,,0.95,0.9,n2c,0.3617006450030748,0.31299089622171933,1.056395801969193,0.0,-151.81984,2111.19092401133,-157.57558
4,1784863996.7487373,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.432679887395352,,4.928574907244183,,7.218002106703352,,1.9461531795095652,,2.86808118634508,0.008525542914867401,1.506952685303986e-05,0.0006854000757812173,1.408263225108385,0.7720677852630615,0.9272286295890808,0.49260982871055603,0.005005421582609415,0.023087963461875916,1.4135886430740356,0.7584508657455444,336,0.5221681594848633,4.478697776794434,0.0351354219019413,688128,2797,336,21,-168.31046,0.010636780501226895,-0.0027554585758480243,5.232124903798104,-136.15544,0.012627914192853496,-0.00263820208638208,5.293822580575943,,,0.95,0.9,n2c,0.3864751549980901,0.324672698645368,0.519055419881562,0.0,-150.03568,2152.5530245913947,-168.31046
5,1784864073.9134552,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.890909814974293,,4.614674731041305,,6.951445827726275,,1.8797860292252153,,2.6555602994048964,0.004421833902597427,-0.0028040292527293786,0.003383470096196106,1.4140267074108124,0.5455774664878845,0.9219974875450134,0.38537633419036865,0.006592766847461462,0.012591449543833733,2.0422239303588867,0.7627333402633667,416,0.5345376133918762,4.198475360870361,0.050309427082538605,851968,2982,416,26,-151.13785,0.01644722277414985,-0.0035399826694629153,5.052569112181663,-145.71288,0.01422961731441319,-0.001054393599042669,5.071637767553329,,,0.95,0.9,n2c,0.43982875884298755,0.41000908545432624,1.0870819801766394,0.0,-156.7115,2123.24995083624,-151.13785
6,1784864149.5245798,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.169389986724127,,4.420056492090225,,6.943506910116412,,1.9596243188716471,,2.5284891334595154,0.01585109531879425,-0.011137534245790448,0.012615863612154499,1.4208790995180607,0.44378307461738586,0.9129059314727783,0.22298207879066467,-0.008281271904706955,0.04203743860125542,1.5375415086746216,0.7258239388465881,496,0.4361116290092468,4.204213619232178,0.06314806640148163,1015808,3152,496,31,-137.25194,0.01056791822775267,-0.0016529541782801971,4.806731709837914,-130.57597,0.010872460567043163,-0.0013730565318837763,4.848806208372116,,,0.95,0.9,n2c,0.4981775414785005,0.4594142302988463,0.8063245700949548,0.0,-126.13102,2166.876948772051,-137.25194
7,1784864228.9471347,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.6688065910711884,,4.191271549090743,,6.706447338685393,,1.7544023373629898,,2.5133271851809695,0.014491734094917774,-0.012533220387012989,0.0008593415668656235,1.4364857077598572,0.44150030612945557,0.8978742361068726,0.38949283957481384,-0.05513224005699158,0.03820522874593735,1.391119360923767,0.6787793636322021,576,0.38345032930374146,3.966850996017456,0.04255497828125954,1179648,3314,576,36,-120.12553,0.00762606973585207,-0.0008717719611013308,4.610150131583214,-131.09007,0.006485998272546567,-0.002573666321404744,4.615151211619377,,,0.95,0.9,n2c,0.5058033741033598,0.4526441955647373,0.9583637481083673,0.0,-122.7713,2062.8902906432213,-120.12553
8,1784864307.983356,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.153552305884659,,4.946473045187304,,7.072520361281931,,1.8200836064934265,,2.703829216887243,0.012751143425703049,-0.00863244233187288,0.04062628178508021,1.446811594069004,0.4136993885040283,0.9015721678733826,0.3275122046470642,0.08856850117444992,0.033568330109119415,1.2012168169021606,0.6273152828216553,656,0.4856595993041992,4.339291572570801,0.03901248052716255,1343488,3475,656,41,-121.50145,0.007473311664944049,-0.0033099526619480455,4.343428561091423,-116.84218,0.005528089866857044,-0.002575223437452223,4.363143506646156,,,0.95,0.9,n2c,0.5293819288604728,0.5675647442619389,1.2523366678882937,0.0,-116.54376,2072.9734393304593,-121.50145
9,1784864384.257808,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.664302971214056,,3.952021681179758,,6.598345731152222,,1.6831545940949582,,2.4023165442049503,0.01119627058506012,0.00019379200966795906,0.0036780403779630433,1.458170734345913,0.3309977352619171,0.8849152326583862,0.38231411576271057,0.008116201497614384,0.03257066756486893,1.1711268424987793,0.5507283210754395,736,0.33289653062820435,3.860028028488159,0.03503689914941788,1507328,3640,736,46,-108.75883,0.006731466701603494,-0.0029028161079622805,4.0833522289991375,-111.212845,0.0058585696722730065,-0.0021142637808225116,4.083672100305558,,,0.95,0.9,n2c,0.5682276889589695,0.5875943813255671,0.9189723629535209,0.0,-113.04408,2148.0323766432452,-108.75883
