# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784864107.7982333,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.84823903942015,,5.87535285676131,,9.706896277144551,,0.959859808019246,,3.9833467591088265,,1.9573810955043882,,4.891232852824032,,7.9375,0.000887732021510601,-0.008607963798567653,0.006818736328568775,1.4179290607571602,0.9908328652381897,0.0,1.0432212352752686,-0.1422620564699173,0.0026056182105094194,0.7406854629516602,0.6583651900291443,16,0.39425569772720337,5.394975662231445,0.18697334825992584,32768,391,16,1,-113.93764,0.05321950300130993,-0.0032574604119872674,5.676719290018082,-103.265884,0.6600680494681,-0.0015699960829806514,5.67418871819973,,,0.95,0.9,c2n,0.3425961266340895,0.3982931934065178,0.7125016049218744,0.0,-138.65005,1652.9081713895766,-113.93764
1,1784864188.9689422,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.810189025476575,,6.736120144836605,,9.996125487145036,,1.3893038583919406,,4.391521221958101,,2.459575831890106,,5.0,,8.9375,0.00021649012342095375,-0.00010528683196753263,0.0003196388589685739,1.4156913049519062,0.8845621347427368,0.937232494354248,0.9464097023010254,0.025380276143550873,0.0005667123477905989,0.799851655960083,0.694239616394043,96,0.14739830791950226,5.9650421142578125,0.20797903835773468,196608,2049,96,6,-130.56192,0.01764908063050825,-0.005670694688160438,5.491288396716118,-102.34111,0.12868972970172762,-0.004233638715231791,5.672416061162949,,,0.95,0.9,c2n,0.2734865606484936,0.4109907269257344,1.1998667292606429,0.0,-154.21149,2018.460707891834,-130.56192
2,1784864265.9148483,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.858464689692482,,6.889929793775082,,10.0,,1.4599238000810146,,4.444173135329038,,2.3991000903770328,,5.0,,8.875,0.0004031425924040377,0.0005108361365273595,0.0015847321183173335,1.417660366743803,0.950576663017273,0.9362611174583435,0.9573650360107422,-0.010394803248345852,0.0014335827436298132,0.9469075202941895,0.6494386196136475,176,0.13392551243305206,5.990823745727539,0.05712764337658882,360448,2472,176,11,-126.926186,0.08429748993366956,-0.0027526063509867526,5.352904179692269,-133.24069,0.03701652963645756,-0.004279451293405146,5.605529081821442,,,0.95,0.9,c2n,0.2743478553052749,0.3607487166972875,0.9999952204324225,0.0,-119.904335,2129.287792437475,-126.926186
3,1784864342.3219337,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.075612895190716,,6.172232079086825,,9.844074663807987,,1.0733382009202614,,4.068336033611558,,2.1102483542636037,,4.918199523817748,,8.1875,0.0019088104600086808,0.00010085158282890916,0.11955385550390929,1.4166023805737495,0.9113463163375854,0.9360986948013306,0.8731063604354858,-0.02174106426537037,0.004650471732020378,1.2039985656738281,0.6151512861251831,256,0.38407474756240845,5.556192874908447,0.03288378566503525,524288,2897,256,16,-113.02702,0.0669612789992243,-0.003344203324377304,5.248264265060425,-141.84528,0.02076327464892529,-0.004846111434744671,5.476942908763886,,,0.95,0.9,c2n,0.292676914606944,0.3755998196059368,1.6916243329263776,0.0,-105.71426,2144.3036376502387,-113.02702
4,1784864418.1379604,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.366817884147167,,5.47967585362494,,9.52441416028887,,0.6744456146843731,,3.725342119927518,,1.6136866640299559,,4.715711165219545,,7.625,0.0018308245344087481,0.00027945259353145957,0.0004137288467518374,1.4208474978804588,0.8345195055007935,0.9352032542228699,0.6882959604263306,-0.02391687035560608,0.004997292533516884,1.7422728538513184,0.5782209038734436,336,0.3550992012023926,5.090636730194092,0.020732758566737175,688128,3213,336,21,-121.3983,0.029829130216967314,-0.0053952249319991095,5.124546864628792,-126.91609,0.014196560854907147,-0.0027477404801175,5.3235842198133465,,,0.95,0.9,c2n,0.3540014717749197,0.39951163434943676,0.500476593348025,0.0,-107.11536,2161.020440843925,-121.3983
5,1784864494.4662647,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.042460876982659,,5.9328821800882,,9.637329254765064,,0.9282289249822497,,3.9482970163226128,,1.850969742416055,,4.826226542703807,,7.6875,0.0036936048418283463,-0.013206732750404626,0.026221177788102068,1.4221630915999413,0.7161356210708618,0.9344287514686584,0.4040975272655487,-0.016309047117829323,0.00905636977404356,2.3424558639526367,0.5203865170478821,416,0.42687514424324036,5.35673713684082,0.017944490537047386,851968,3441,416,26,-121.462585,0.017041725415037946,-0.002949710543907713,4.93103175163269,-124.51817,0.011035115958657115,-0.0019371648741071112,5.1577397137880325,,,0.95,0.9,c2n,0.38140153144901073,0.3951046878201594,1.129750217044837,0.0,-116.00803,2146.517526831231,-121.462585
6,1784864569.3898532,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.800392962992191,,6.662608157843351,,9.895906480029225,,1.3407852691598237,,4.415665367618203,,2.357919093221426,,4.984423133544624,,8.6875,0.0007457147585228086,0.0012318446533754468,0.007264152711286442,1.4338998459279537,0.5798203945159912,0.9330878853797913,0.20717944204807281,0.02294914983212948,0.002116481075063348,2.225614070892334,0.5178636908531189,496,0.24912376701831818,5.893150329589844,0.017562109977006912,1015808,3640,496,31,-104.289955,0.012248918486875482,-0.0022834333183709534,4.7517762035131454,-127.52427,0.007274586096173152,-0.0014641533503890968,4.941715812683105,,,0.95,0.9,c2n,0.38509491675348195,0.43957809435317097,1.0511412680327812,0.0,-111.04927,2186.761519084129,-104.289955
7,1784864643.407775,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.143351110280491,,6.422997969202697,,9.854559978819452,,1.1987509210593998,,4.138166581251426,,2.1576755322748795,,4.99895728728734,,8.0625,0.0029723425395786762,-0.0017389088170602918,0.006752488883648766,1.4356065653264523,0.49056220054626465,0.9579683542251587,0.2090933620929718,0.021103329956531525,0.006994384806603193,1.702981948852539,0.5577651858329773,576,0.37511080503463745,5.622119426727295,0.014301509596407413,1179648,3832,576,36,-102.703995,0.01049424912489485,-0.0016344201925676317,4.521268206834793,-132.99252,0.00478621848160401,-0.0032837088918313386,4.757384529709816,,,0.95,0.9,c2n,0.4707635853837703,0.4886930246351988,0.7219337741434085,0.0,-112.95238,2213.5177981388374,-102.703995
8,1784864719.3074188,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.932040582571062,,5.872970707598142,,9.764251170447096,,0.8577468770090491,,3.922279693186283,,2.0045629939995706,,4.831505031790584,,8.5,0.008140294812619686,-0.009598440665286034,4.105028182266324e-05,1.4421389400959015,0.484316349029541,0.9410800337791443,0.27680733799934387,0.029190395027399063,0.02013939805328846,1.3637703657150269,0.585957407951355,656,0.44295671582221985,5.460669040679932,0.015669047832489014,1343488,4017,656,41,-100.76819,0.008640724475844764,-0.001341743791999761,4.267490002512932,-122.15898,0.008295291448303033,-0.0027545835291675758,4.523298981785774,,,0.95,0.9,c2n,0.514979672752459,0.4952024350072809,0.6870533223112189,0.0,-110.03599,2158.639934825462,-100.76819
9,1784864794.7795482,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.08749814843759,,6.209775682540567,,9.83923628507182,,1.1520377788692713,,4.030145631637424,,2.0934460633434355,,4.9586820509284735,,8.25,0.007433102931827307,-0.0061278100474737585,6.035032106410654e-05,1.4464856833219528,0.36426687240600586,0.9373754262924194,0.3010833263397217,0.005501197651028633,0.020462412387132645,1.0545411109924316,0.6197484135627747,736,0.4388159215450287,5.577602386474609,0.02943313680589199,1507328,4212,736,46,-94.372574,0.005857698866748251,-0.001946057604800444,3.9925263971090317,-133.05093,0.013688870597979986,-0.0017355549542116932,4.372599002718926,,,0.95,0.9,c2n,0.6475974753073594,0.49803384766046505,0.6399733868406153,0.0,-111.498886,2170.867273118977,-94.372574
