# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784865498.0873206,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.570267048664391,,5.129095182754099,,7.520324251614511,,2.0480918805114925,,2.918512530537555,0.002390742301940918,-0.00014405493857339025,0.19036059285281226,1.419217124581337,1.002694010734558,0.0,1.1405482292175293,-0.11216747760772705,0.006389831192791462,0.6397929191589355,0.7582442164421082,16,0.488607794046402,4.637258529663086,0.1286703646183014,32768,122,16,1,-146.98625,0.13565251831896602,-0.002386083754390711,5.6791788846254345,-135.67247,0.1870345992501825,-0.0023399215686367826,5.683785218000412,,,0.95,0.9,c2n,0.3597243964820443,0.37531360110432255,2.0832768453731565,0.0,-104.06614,2285.135155380577,-146.98625
1,1784865570.160346,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.872217974625528,,4.466086100670509,,7.064951985608786,,1.8792514723027125,,2.5366326184011996,0.000891909294296056,-0.005400293506681919,2.8839000512093094e-06,1.4247869364917278,0.9952817559242249,0.93636554479599,0.9837295413017273,-0.010289420373737812,0.0022079001646488905,0.6342916488647461,0.6716216802597046,96,0.46175843477249146,4.163827896118164,0.02720593847334385,196608,616,96,6,-116.15548,0.08983619147911667,-0.0029798207731801087,5.674553272128105,-169.60861,0.014277621774817817,-0.004322882415726781,5.607916539907455,,,0.95,0.9,c2n,0.28462698787514257,0.29011656044469686,0.7563247809856989,0.0,-105.24862,2273.2498754656467,-116.15548
2,1784865642.768282,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.655351501889527,,4.224037994397804,,6.751612037420273,,1.7502394136972725,,2.410616395995021,0.0013009438989683986,-0.0002762727963272482,0.028256263743969612,1.4303338937461376,0.9741787910461426,0.933377206325531,0.9660165309906006,0.012358160689473152,0.0033287080004811287,0.699079692363739,0.6335794925689697,176,0.4321134686470032,3.958371639251709,0.004459884017705917,360448,1017,176,11,-110.52525,0.05892360545694828,-0.0035325021934113467,5.617519509792328,-154.10606,0.005394661764148623,-0.004385357594583183,5.302693569660187,,,0.95,0.9,c2n,0.2632224745165574,0.3893355964479142,1.0495022804469865,0.0,-127.925415,2256.5028236696344,-110.52525
3,1784865715.1873295,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.170545471832156,,4.520128811709583,,7.268938750959933,,1.8526644097582903,,2.7621672001550905,0.0073312558233737946,-0.003927086625481024,0.027847810699313413,1.4325197152793407,0.9577617049217224,0.9307645559310913,0.9383362531661987,0.002040573861449957,0.016780942678451538,0.8250290155410767,0.6235091686248779,256,0.5056845545768738,4.314888954162598,0.009727713651955128,524288,1370,256,16,-127.88131,0.036978538567200306,-0.0032210666322498582,5.449564418196678,-125.37913,0.006043265848711598,-0.006920105169410817,4.878270769119263,,,0.95,0.9,c2n,0.27599291693679556,0.46644767906096385,1.3085196056019024,0.0,-122.136696,2262.38975899861,-127.88131
4,1784865790.645068,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.916042709723115,,5.4861023931298405,,7.6156827721279114,,2.2070738468319178,,3.063962182495743,0.006362788379192352,-0.0019179527153028175,7.212310424620227e-05,1.448025170713663,0.8484490513801575,0.9241976737976074,0.7682316899299622,-0.003382149152457714,0.02013506181538105,1.0911309719085693,0.6392968893051147,336,0.3542013168334961,4.857772350311279,0.008425276726484299,688128,1622,336,21,-142.32222,0.015468314063036814,-0.003970737320196349,5.1530442297458645,-126.48806,0.013725302153034136,-0.0037321859490475617,4.701789474487304,,,0.95,0.9,c2n,0.3172866234413024,0.44987991002975763,0.7456330662585198,0.0,-127.752014,2171.2805069157,-142.32222
5,1784865866.305409,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.816507114795968,,4.43215886130929,,6.919758068397641,,1.8515100551303476,,2.5799958747811615,0.00814916379749775,-0.0018390318175534048,0.19629102008184418,1.4467081315815449,0.6979517936706543,0.9133443236351013,0.42161816358566284,0.02818663977086544,0.020313668996095657,1.6774535179138184,0.6210129261016846,416,0.4554672837257385,4.119986057281494,0.009253930300474167,851968,1852,416,26,-135.09105,0.011108816182240844,-0.0032809570286190136,4.829260519146919,-118.13436,0.01427879200782627,-0.003407418423012132,4.509756276011467,,,0.95,0.9,c2n,0.3679451705870395,0.49295582443982777,2.1851308648516907,0.0,-123.7744,2165.4674391167364,-135.09105
6,1784865940.991645,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.874766272958368,,4.409594073425978,,6.667518720962107,,1.7089043240994215,,2.4024857813492417,0.0015515947015956044,-0.009211574564687908,0.05952899332623929,1.446582317352295,0.6880119442939758,0.8958143591880798,0.37393254041671753,0.011153755709528923,0.0045745717361569405,2.0166051387786865,0.5664219260215759,496,0.4281140863895416,4.0126543045043945,0.01179331261664629,1015808,2084,496,31,-124.614975,0.012673807781538926,-0.001738321376615204,4.482847914099693,-116.90914,0.012595008633797988,-0.0027724725790903904,4.2573357880115505,,,0.95,0.9,c2n,0.36348092098991597,0.551528393665445,1.3673998917594763,0.0,-126.52158,2193.710862333904,-124.614975
7,1784866015.9437697,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.700936243869364,,4.4269656469114125,,6.452149669639766,,1.5917675318196416,,2.5131089948117733,0.014404606074094772,-0.0033123210741905496,0.005318827232258627,1.4481858164072037,0.6741593480110168,0.9129676818847656,0.48847413063049316,-0.026271425187587738,0.035910461097955704,1.6383957862854004,0.5436618328094482,576,0.36798304319381714,3.936985731124878,0.019411731511354446,1179648,2286,576,36,-105.41026,0.00877856888982933,-0.002739032010140363,4.177819848060608,-114.600914,0.013401204202091321,-0.00182687535052537,3.9909498795866964,,,0.95,0.9,c2n,0.4973173204737886,0.5762606747653225,0.857622605434162,0.0,-107.70036,2185.928791451371,-105.41026
8,1784866091.6457236,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.303104384336621,,4.738387799821794,,7.563690347888041,,2.132707783486694,,2.8211539543699473,0.04123162105679512,-0.0029983285785419866,0.0334843964810716,1.451614461839199,0.48828333616256714,0.8868378400802612,0.36119145154953003,-0.05342777445912361,0.10505534708499908,1.3956987857818604,0.5394495129585266,656,0.4909718930721283,4.511809349060059,0.05313042923808098,1343488,2471,656,41,-99.531265,0.008613159981905483,-0.0021434382273582742,3.896028532087803,-108.72331,0.016853695653844626,-0.002595589616248617,3.722087946534157,,,0.95,0.9,c2n,0.5993474068447482,0.5132451266931887,1.1438128287920901,0.0,-104.84934,2164.276476543583,-99.531265
9,1784866164.9806595,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.598502141889185,,5.013523081550375,,7.416777178295888,,2.077749253017828,,3.0249878106988035,0.03924259915947914,0.0007205040892586112,0.008148882507157396,1.4557409025728703,0.43287304043769836,0.8338303565979004,0.3266764283180237,0.028302595019340515,0.11205100268125534,1.4078106880187988,0.4972951114177704,736,0.5081295967102051,4.626307964324951,0.02684733457863331,1507328,2639,736,46,-102.62108,0.009289667202392594,-0.0014859023023745977,3.6301321238279343,-99.01426,0.009405239403713494,-0.0021771887368231546,3.4823673889040947,,,0.95,0.9,c2n,0.6597221653105461,0.6994297350497756,1.0754795582291803,0.0,-98.19907,2234.13340057091,-102.62108
