# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784088838.317229,,4.623581223422661,,2.903402557130903,,7.313359966501594,,2.115685858298093,,3.8965933211147785,,2.0074715311056934,,3.4467564546503127,,6.1875,0.0,0.0,0.0,0.0,32768,45,16,1,-108.023056,0.1649735921062529,-0.0024371136431000197,5.663725408911705,0,0.0,0.0,0.0,,,0.38383234029063495,0,0,0.0,-167.87646,-167.87646484375,0.0,871.5091614582643
1,1784088998.936735,,6.086071887984872,,3.1959375424776226,,6.859839716926217,,1.9275906041730195,,3.5180254839360714,,1.7955462745158002,,3.4861639328300953,,5.0,0.0,0.0,0.0,0.0,196608,257,96,6,-109.2207,0.09719897308386863,-0.003290478081908077,5.5968315452337265,0,0.0,0.0,0.0,,,0.37292999418726136,0,0,0.0,-144.23946,-144.2394561767578,0.0,1020.0504156321089
2,1784089135.9261076,,6.494396575726569,,3.872012053616345,,6.189310271292925,,1.1113480464700842,,2.938519660383463,,1.5735852147918195,,3.7434067111462355,,4.9375,0.0,0.0,0.0,0.0,360448,400,176,11,-105.82774,0.10252632368355989,-0.002518683594826143,5.447398430109024,0,0.0,0.0,0.0,,,0.39872778857906005,0,0,0.0,-132.5657,-132.56570434570312,0.0,1196.0053411356882
3,1784089260.5577664,,5.590106449089944,,3.3188805892132223,,6.979182045906782,,1.6356350551359355,,3.5384134110063314,,1.694669066928327,,3.5797025728970766,,6.3125,0.0,0.0,0.0,0.0,524288,515,256,16,-105.54645,0.04821300329640508,-0.004038569597469177,5.337021437287331,0,0.0,0.0,0.0,,,0.3755881886253424,0,0,0.0,-144.10739,-144.10739135742188,0.0,1314.593766330725
4,1784089377.0107908,,6.157915126532316,,3.519163252785802,,6.69689348898828,,1.5859017428010702,,3.484228039160371,,1.6170665004756302,,3.4810365736484528,,5.125,0.0,0.0,0.0,0.0,688128,596,336,21,-107.130905,0.027148668246809393,-0.002773271808109712,5.1972613543272015,0,0.0,0.0,0.0,,,0.43497442287051236,0,0,0.0,-131.64053,-131.64053344726562,0.0,1406.9188468817042
5,1784089484.4224079,,5.855238866060972,,5.047532734461129,,7.6325905323028564,,1.721881549747195,,3.127531004138291,,2.3632825788808987,,3.676274800673127,,6.75,0.0,0.0,0.0,0.0,851968,647,416,26,-112.41056,0.019049323681974782,-0.0032423956770799124,5.062242341041565,0,0.0,0.0,0.0,,,0.43369275483705155,0,0,0.0,-140.24637,-140.24636840820312,0.0,1525.347222869051
6,1784089588.1360307,,6.2214768677949905,,3.5741170262917876,,6.217658463865519,,1.4264633141283412,,3.3017803449183702,,2.066921947989613,,3.403210025280714,,5.125,0.0,0.0,0.0,0.0,1015808,688,496,31,-108.62907,0.021515276486752555,-0.0030447607423411682,4.871727147698403,0,0.0,0.0,0.0,,,0.5043152173469438,0,0,0.0,-118.78168,-118.78167724609375,0.0,1579.7347406796812
7,1784089690.5006785,,5.561546311946586,,4.002530782017857,,7.1701224241405725,,2.0583602410624735,,3.397318609058857,,1.4964254415826872,,3.131300969980657,,4.875,0.0,0.0,0.0,0.0,1179648,725,576,36,-107.80204,0.028947991831228138,-0.0013941370096290484,4.666011407971382,0,0.0,0.0,0.0,,,0.5640420001687424,0,0,0.0,-103.24351,-103.2435073852539,0.0,1600.5525330386827
8,1784089790.9796138,,5.907165044918656,,3.4621112002059817,,6.993646360933781,,2.1291194739751518,,3.087201425805688,,1.807079897262156,,3.205135790631175,,6.125,0.0,0.0,0.0,0.0,1343488,767,656,41,-99.16909,0.029558960266876967,-0.00196959100139793,4.48343211710453,0,0.0,0.0,0.0,,,0.5639583897459112,0,0,0.0,-133.24925,-133.24925231933594,0.0,1630.5902490741985
9,1784089896.0636423,,6.740343114361167,,4.766184436157346,,7.186746634542942,,2.0784378505777568,,3.4788456046953797,,2.1243171161040664,,3.868816811591387,,6.75,0.0,0.0,0.0,0.0,1507328,811,736,46,-93.99648,0.027128152130171657,-0.0026296312993508764,4.301262101531028,0,0.0,0.0,0.0,,,0.5938854877563609,0,0,0.0,-98.93761,-98.93760681152344,0.0,1559.133495140973
