# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784616019.7722125,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.208124190568924,,6.241362737957388,,9.874476982280612,,1.2051273295655847,,4.002599601779366,,2.2123334840871394,,4.927450914867222,,8.0,-2.5704739093780518,-0.010456556105054915,0.5025887521915138,1.4199590012431145,32768,211,16,1,-123.37544,0.31380489664152267,-0.0031091055847355165,5.660459700226784,-116.218796,0.18160306420177222,-0.0033566209647688085,5.6749433189630505,,,0.95,0.85,0.3758348700958173,0.3608264077183294,2.192955009714195,0.0,-108.41908,3237.876711489588,-123.37544
1,1784616079.7650623,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.882382348179817,,6.22497654799372,,9.675482550635934,,0.9982353423256427,,4.00917482865043,,1.9852264462970197,,4.8126871613785625,,8.1875,-1.7486436367034912,-0.0005748264957219362,0.8562872218899429,1.4244324378669262,196608,733,96,6,-140.20126,0.0238767173839733,-0.003961408534087241,5.569552147388459,-119.16368,0.09508472299203277,-0.0027556285829632545,5.621442031860352,,,0.95,0.85,0.3127345531655428,0.2343698113096136,2.8907098653902734,0.0,-130.57658,2730.991706067727,-140.20126
2,1784616139.406459,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.937346753664315,,5.956550763570704,,9.757832385599613,,0.9523777616705047,,3.9012928793672472,,1.961830640095286,,4.845216428861022,,7.625,-0.7683528065681458,-0.0016958240303210914,0.007871428999351338,1.4220986999571323,360448,975,176,11,-123.61887,0.007086106504721102,-0.00404461380239809,5.371272096037865,-119.771225,0.01480908275116235,-0.003697672701673582,5.454517033696175,,,0.95,0.85,0.2666148439001013,0.25220981226097944,0.5573811285585107,0.0,-118.823326,2747.0872975220955,-123.61887
3,1784616199.1067767,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.328929993091151,,6.293323357589543,,9.861940531423897,,1.2176655852235854,,4.038123287784401,,2.0040991452988237,,4.917929995805025,,8.5625,-0.4446091651916504,-0.002349059213884175,0.0051049230933131184,1.4240864515304565,524288,1172,256,16,-119.7358,0.00441305945860222,-0.004958337526477408,5.0755346596240996,-125.145164,0.011887078278232367,-0.0031626414755010048,5.14164477288723,,,0.95,0.85,0.34434211340443766,0.29073100653937073,0.5970925313177682,0.0,-118.644325,2744.3721725355654,-119.7358
4,1784616258.2603374,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.435285329585895,,6.20318205957301,,9.911696807481349,,1.0278522879816592,,4.217312551743817,,2.210727526806295,,4.873663309030235,,7.9375,-0.45529934763908386,-0.008804610988590866,0.034877989208325744,1.4295756295323372,688128,1398,336,21,-116.32729,0.007045951733016409,-0.00464375801893766,4.7786564320325855,-116.214516,0.021386885491665453,-0.0037401617315481416,4.888084679841995,,,0.95,0.85,0.3846856698182036,0.3505411073463921,0.9302969476031202,0.0,-118.34092,2769.7418547386105,-116.32729
5,1784616315.887751,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.235705782659352,,5.945524051669054,,9.652920324355364,,0.9773347091686446,,3.9829584206745494,,1.8774395361542702,,4.782682165503502,,7.625,-0.39566558599472046,-0.007103243726305664,0.031602518167346716,1.4368476122617722,851968,1645,416,26,-123.99855,0.019960333470953627,-0.003683823856408708,4.573076221346855,-115.90422,0.027023376006400212,-0.0017662400499830256,4.658749774098396,,,0.95,0.85,0.356791815819469,0.4164729886367365,0.7790487076002861,0.0,-109.32334,2843.0894892480537,-123.99855
6,1784616374.1811361,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.282233163714409,,5.180521773174405,,9.20596058666706,,0.5936732437694445,,3.628460008301772,,1.5611521704122424,,4.565419206395745,,7.3125,-0.6083457469940186,0.00020509777823463082,0.08706752897705883,1.4407276511192322,1015808,1935,496,31,-132.6673,0.02252440888551064,-0.0019293055243906564,4.3163900762796406,-117.564896,0.052489878796041015,-0.001750768141937442,4.440370500087738,,,0.95,0.85,0.46902699380582746,0.4682794746424535,0.950936851107653,0.0,-107.82259,2810.6123408303542,-132.6673
7,1784616433.599464,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.266074059531093,,5.475156658387277,,9.130508419126272,,0.6323688761331141,,3.6049274462275207,,1.6804190397961065,,4.569465976208448,,7.1875,-0.5965256094932556,0.0010267169564031065,0.059479328454472125,1.4502999745309353,1179648,2266,576,36,-112.36908,0.02103238641866483,-0.003480309134465642,4.106815382838249,-110.31683,0.04634099251125008,-0.0026080989351612515,4.233166682720184,,,0.95,0.85,0.5006685491437081,0.5163432506528232,0.8772785991565559,0.0,-103.10294,2757.3979131687993,-112.36908
8,1784616490.060003,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.969576638191938,,6.1214423375204206,,9.61733318399638,,1.0150901810266078,,4.034399562049657,,1.8338813288137317,,4.86306068720296,,8.0625,-1.1637846231460571,-0.004613864002749324,0.17838178714737296,1.4532046802341938,1343488,2679,656,41,-103.1407,0.013721353065920993,-0.0017233815378858708,3.8691661179065706,-97.620926,0.06391290840692818,-0.002294597557192901,4.0207465320825575,,,0.95,0.85,0.5872122478447084,0.5506745762576635,0.8217264783692693,0.0,-104.33181,2901.8498575983713,-103.1407
9,1784616547.6231055,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.105044971540337,,6.313961388077587,,9.636477312073112,,1.1926351361908019,,4.122598654590547,,2.111478505132254,,4.937472032150254,,8.4375,-1.7420917749404907,-0.01250017253914848,0.4756636815145612,1.4539815746247768,1507328,3112,736,46,-97.24152,0.010866696096491069,-0.0010514923022128641,3.6085919186472895,-96.245834,0.10675861048512161,-0.0020301232900237663,3.841419516503811,,,0.95,0.85,0.6487562737443117,0.5836087030731079,1.1372040216303598,0.0,-99.62849,2846.268038742646,-97.24152
10,1784616608.0875828,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.868399751372635,,5.847245213575661,,9.53481360245496,,0.8905838815662719,,3.9172211568802595,,1.9538439032621682,,4.694838535040617,,7.6875,-1.24979829788208,-0.0009771662880666554,0.18023660592734814,1.461471103131771,1671168,3463,816,51,-92.94716,0.010069087764713913,-0.0028033069596858696,3.3541206046938896,-97.31127,0.05168948480859399,-0.002207600508700125,3.5516089856624604,,,0.95,0.85,0.7014765554333662,0.6509254999902423,0.8450481132059506,0.0,-93.40871,2709.6902978759813,-92.94716
11,1784616667.6802976,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.43477487564087,,6.540484084747732,,9.900690191425383,,1.242222317494452,,4.090585216414183,,2.2118671853095293,,4.947847192175686,,8.5625,-1.1696717739105225,-0.007914496658486314,0.6926513528451324,1.4521044045686722,1835008,3903,896,56,-85.26304,0.01290382467850577,-0.0023229132762935477,3.0780326187610627,-92.94719,0.07741085684392601,-0.0015953762107528747,3.2809542059898376,,,0.95,0.85,0.7164404669962812,0.6858566472302838,2.2308096707361873,0.0,-113.684814,2749.3297087972032,-85.26304
12,1784616727.027658,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.737896998412907,,6.760621231980622,,9.939818855840713,,1.276555254124105,,4.303640754893422,,2.21839842107147,,4.947274091653526,,8.625,-2.0699658393859863,-0.00288422784069553,0.4339949619024992,1.4604403339326382,1998848,4315,976,61,-83.74695,0.013158751156879589,-0.003018913770210929,2.819616247713566,-94.80759,0.10101486523635686,-0.0008029386444832198,3.0273694545030594,,,0.95,0.85,0.9123509402962771,0.7680536245313994,1.4033741958323025,0.0,-99.59187,2760.69337465774,-83.74695
13,1784616791.7756958,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.8756620498606935,,5.512794322450645,,9.64306268771179,,0.8816913079936057,,3.8121200331952423,,1.8933842385886237,,4.744791987002827,,7.3125,-1.0054311752319336,-0.0054043104173615575,0.17680218629539013,1.4631610624492168,2162688,4718,1056,66,-88.74486,0.012974663503700867,-0.00208511256496422,2.5678700506687164,-87.95668,0.03576514552114531,-0.0008317743238876573,2.753772294521332,,,0.95,0.85,0.8945058827899295,0.9264878197326784,1.5816717508317466,0.0,-100.87209,2530.4260450122215,-88.74486
