# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784364943.34535,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,32768,59,75,1,-136.79703,0.14632523120380939,-0.0033293584478087724,5.670994889736176,0,0.0,0.0,0.0,,,0.35380648335265186,0,0,0.0,-111.9308,-111.93080139160156,0.0,4859.78889332238
1,1784364976.8774674,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,196608,531,627,6,-113.85404,0.07913914159871638,-0.003730595623346744,5.683247637748718,0,0.0,0.0,0.0,,,0.39035415600441203,0,0,0.0,-121.03622,-121.03621673583984,0.0,4886.0618255798545
2,1784365008.6607325,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,360448,782,958,11,-149.3292,0.03112591495155357,-0.002924954539776081,5.642708340287209,0,0.0,0.0,0.0,,,0.34942112476190357,0,0,0.0,-131.14326,-131.1432647705078,0.0,5154.916768161311
3,1784365040.5218208,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,524288,926,1182,16,-146.63689,0.039306115615181624,-0.0026649084713426417,5.534760490059853,0,0.0,0.0,0.0,,,0.38175078433886667,0,0,0.0,-133.44772,-133.44772338867188,0.0,5142.326002270108
4,1784365071.395457,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,688128,1051,1387,21,-123.07009,0.024663790652994066,-0.0025802680262131616,5.40640290081501,0,0.0,0.0,0.0,,,0.4216287869092999,0,0,0.0,-157.71225,-157.71224975585938,0.0,5306.7937128276235
5,1784365103.723354,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,851968,1145,1561,26,-129.0219,0.014353583822958172,-0.002258341258857399,5.239485615491867,0,0.0,0.0,0.0,,,0.4322366944811753,0,0,0.0,-122.91734,-122.91734313964844,0.0,5068.068744576704
6,1784365134.282514,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1015808,1245,1741,31,-126.67904,0.01811947338283062,-0.0028875258962216322,5.043017637729645,0,0.0,0.0,0.0,,,0.48440503242509186,0,0,0.0,-126.15574,-126.1557388305664,0.0,5361.401998677058
7,1784365166.5639262,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1179648,1350,1926,36,-120.187515,0.026406410324852914,-0.0008704487696377328,4.849214050173759,0,0.0,0.0,0.0,,,0.5482500471418824,0,0,0.0,-127.56724,-127.5672378540039,0.0,5075.3610635113355
8,1784365197.096735,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1343488,1453,2109,41,-121.687805,0.010672920677461662,-0.0014580506831407547,4.651193901896477,0,0.0,0.0,0.0,,,0.607874819872643,0,0,0.0,-117.35298,-117.35298156738281,0.0,5366.037379867294
9,1784365229.1886313,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1507328,1548,2284,46,-128.52254,0.01590135256992653,-0.0016243106110778172,4.4804309725761415,0,0.0,0.0,0.0,,,0.534233386795812,0,0,0.0,-111.503525,-111.50352478027344,0.0,5105.338335881816
10,1784365260.9627323,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1671168,1632,2448,51,-117.36062,0.014639426505891607,-0.0015120670475880615,4.254728043079377,0,0.0,0.0,0.0,,,0.6231606515549657,0,0,0.0,-116.67348,-116.67347717285156,0.0,5156.402609417647
11,1784365294.5200047,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1835008,1719,2615,56,-114.07694,0.018449260044144468,-0.0017908765439642593,4.054491785168648,0,0.0,0.0,0.0,,,0.6804745582046905,0,0,0.0,-111.7515,-111.75150299072266,0.0,4882.396860803707
12,1784365327.4222271,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1998848,1802,2778,61,-113.79553,0.014462693015229889,-0.00142016198951751,3.8411240458488463,0,0.0,0.0,0.0,,,0.6536770488648309,0,0,0.0,-110.01915,-110.01914978027344,0.0,4979.603637110687
