# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784364950.5233023,,5.251317759975791,,2.614248570171185,,5.469323504948989,,2.0774694210558664,,3.3303394238464534,,1.974214049987495,,3.0611073272302747,,5.25,0.0,0.0,0.0,0.0,32768,39,16,1,-110.78363,0.14131901692599058,-0.002501667592150625,5.695872247219086,0,0.0,0.0,0.0,,,0.3615738061202553,0,0,0.0,-111.58252,-111.58251953125,0.0,2340.2501110591534
1,1784365025.1824813,,7.67262252047658,,4.69665516866371,,7.799308393150568,,1.8575795204378664,,3.948889020830393,,1.606540190987289,,3.962698131799698,,5.4375,0.0,0.0,0.0,0.0,196608,247,96,6,-104.01088,0.10693634478375316,-0.0026203205066849477,5.706478679180146,0,0.0,0.0,0.0,,,0.3314797270903152,0,0,0.0,-104.20073,-104.20072937011719,0.0,2194.503253806353
2,1784365104.2292476,,6.614100374281406,,5.1115503534674644,,8.582366853952408,,1.0552020999602973,,3.4125423338264227,,2.340491123031825,,4.02022760361433,,6.625,0.0,0.0,0.0,0.0,360448,452,176,11,-104.34409,0.10250871521420776,-0.0011704655669745989,5.69370388686657,0,0.0,0.0,0.0,,,0.3501616389763901,0,0,0.0,-112.6907,-112.6906967163086,0.0,2072.6996990502707
3,1784365183.502746,,6.159011232666671,,6.142959054559469,,8.77476129680872,,1.9337220373563468,,3.422202989459038,,2.4389664083719254,,3.948541823774576,,6.3125,0.0,0.0,0.0,0.0,524288,651,256,16,-102.420166,0.0892969282111153,-0.0017667870793957262,5.6005141824483875,0,0.0,0.0,0.0,,,0.3534438103780635,0,0,0.0,-105.1689,-105.16889953613281,0.0,2066.7676260202393
4,1784365261.3513153,,7.222101781517267,,6.013118997216225,,7.9965915158391,,1.5110475607798435,,3.2194693107157946,,2.125661359168589,,4.431499484926462,,7.6875,0.0,0.0,0.0,0.0,688128,838,336,21,-106.70662,0.08529620268382132,-0.002502560742141213,5.552511247992515,0,0.0,0.0,0.0,,,0.37155160434231116,0,0,0.0,-124.610306,-124.61030578613281,0.0,2104.599330908431
5,1784365338.680593,,6.182464971207082,,4.475884634302929,,7.54067474976182,,1.1571000970434397,,3.214432606473565,,1.9315119925886393,,3.7821804266422987,,6.375,0.0,0.0,0.0,0.0,851968,1016,416,26,-102.55123,0.06329820533283055,-0.001528095398680307,5.439141407608986,0,0.0,0.0,0.0,,,0.39549216879183435,0,0,0.0,-106.1062,-106.106201171875,0.0,2118.730407990829
6,1784365408.8603468,,6.150094661861658,,5.699860192835331,,8.838702328503132,,1.3130276300944388,,3.4214432071894407,,1.9555951189249754,,3.9536940585821867,,7.1875,0.0,0.0,0.0,0.0,1015808,1165,496,31,-104.12056,0.059077506349422035,-0.002597765291284304,5.339020767807961,0,0.0,0.0,0.0,,,0.40493284809841235,0,0,0.0,-103.794815,-103.79481506347656,0.0,2334.5781675706844
7,1784365467.234709,,6.08018163125962,,3.940024290350266,,7.728988267481327,,1.6526097990572453,,3.234702320769429,,2.2490502521395683,,3.977078413590789,,5.9375,0.0,0.0,0.0,0.0,1179648,1268,576,36,-100.43641,0.05111664510332048,-0.002445330917544197,5.187261763215065,0,0.0,0.0,0.0,,,0.4640537242669689,0,0,0.0,-100.485756,-100.48575592041016,0.0,2806.709298914648
8,1784365523.7686484,,6.608271198347211,,4.7812837196397595,,8.430099412798882,,1.2780453509185463,,3.1710939412005246,,1.9682467414531857,,3.522220654413104,,6.625,0.0,0.0,0.0,0.0,1343488,1354,656,41,-104.79997,0.040242719266097994,-0.003262155533593614,5.032602781057358,0,0.0,0.0,0.0,,,0.48673396161335764,0,0,0.0,-101.19426,-101.19425964355469,0.0,2898.0835232594754
9,1784365577.2629485,,5.875633955001831,,4.353893026709557,,7.813629619777203,,2.097949970047921,,3.14674056135118,,2.053100352641195,,3.4432910196483135,,6.125,0.0,0.0,0.0,0.0,1507328,1432,736,46,-102.06987,0.05109298205934465,-0.003043859139143024,4.856239154934883,0,0.0,0.0,0.0,,,0.5192558851120784,0,0,0.0,-97.90843,-97.90843200683594,0.0,3062.7553893915406
10,1784365631.7288792,,5.591554390266538,,5.476910211145878,,8.342440351843834,,0.9299969645508099,,3.600638434290886,,1.5656536089954898,,3.1874751951545477,,6.0625,0.0,0.0,0.0,0.0,1671168,1505,816,51,-103.08873,0.05850639876443893,-0.001916267751948908,4.720222559571266,0,0.0,0.0,0.0,,,0.5582197067295157,0,0,0.0,-97.79791,-97.79791259765625,0.0,3008.116831833749
11,1784365685.2921407,,7.280784908216447,,5.747223072685301,,8.517792075872421,,1.4571403851732612,,3.221375895664096,,2.120121765183285,,4.286001659929752,,6.1875,0.0,0.0,0.0,0.0,1835008,1583,896,56,-95.905304,0.06232056184671819,-0.0029797302733641116,4.569839036464691,0,0.0,0.0,0.0,,,0.5605598312630569,0,0,0.0,-95.62099,-95.62098693847656,0.0,3058.8165228080366
12,1784365736.4000788,,5.866311322897673,,5.28984222561121,,7.9135918244719505,,1.94142414489761,,3.808788964524865,,1.9136344018625095,,3.90331257134676,,7.5,0.0,0.0,0.0,0.0,1998848,1648,976,61,-93.65376,0.060274893720634284,-0.0015576125384541228,4.431933346390724,0,0.0,0.0,0.0,,,0.5621919501228886,0,0,0.0,-90.90745,-90.9074478149414,0.0,3205.7649530372105
13,1784365792.9727738,,8.123104944825172,,4.965803239028901,,7.862794511020184,,1.2742222798988223,,3.8267216831445694,,1.8891279771924019,,3.9370102901011705,,6.4375,0.0,0.0,0.0,0.0,2162688,1724,1056,66,-95.47777,0.08343999891076237,-0.0014509153348626568,4.315365818142891,0,0.0,0.0,0.0,,,0.641456841659644,0,0,0.0,-87.11706,-87.11705780029297,0.0,2896.0932166136836
14,1784365851.113576,,5.8400610578246415,,4.784581698477268,,8.453716039657593,,1.4016156527213752,,3.8214378617703915,,2.19538867007941,,3.652362786233425,,7.125,0.0,0.0,0.0,0.0,2326528,1805,1136,71,-95.123215,0.07101985963527113,-0.0010852365187020041,4.225100469589234,0,0.0,0.0,0.0,,,0.6431672180815248,0,0,0.0,-92.45796,-92.45796203613281,0.0,2817.988124043867
15,1784365906.767804,,5.233508409000933,,3.0858455854468048,,7.374235652387142,,1.587927746004425,,3.337598415091634,,1.6727127530612051,,3.3886013831943274,,5.75,0.0,0.0,0.0,0.0,2490368,1883,1216,76,-94.54228,0.08221917904447765,-0.0015294345372240058,4.052583122253418,0,0.0,0.0,0.0,,,0.664444179859257,0,0,0.0,-103.096825,-103.0968246459961,0.0,2943.8935354628034
