# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784900015.2215004,,5.4155041463673115,,3.815542315132916,,6.1876363307237625,,1.7213104444090277,,3.1747908983379602,,2.019244244293077,,3.3480235980823636,,4.9375,0.0,0.0,0.0,0.0,32768,41,16,1,-111.54214,0.1509192742407322,-0.0024691957671166163,5.667841157317161,0,0.0,0.0,0.0,,,0.38106461906764444,0,0,0.0,-130.11765,-130.11764526367188,0.0,3707.134537859246
1,1784900052.929096,,6.120024500414729,,3.3181481366045773,,6.718582045286894,,1.3859842903912067,,3.294369070790708,,1.4223872253205627,,3.022257722914219,,4.0625,0.0,0.0,0.0,0.0,196608,252,96,6,-107.28905,0.11247350722551346,-0.0022846848631161267,5.607362821698189,0,0.0,0.0,0.0,,,0.3557338155067391,0,0,0.0,-125.93746,-125.93746185302734,0.0,4345.022803652389
2,1784900091.0903814,,4.483270912896842,,2.965756809862796,,6.367485783994198,,2.14480591006577,,3.6627303529530764,,1.7269045367720537,,3.451020228676498,,5.8125,0.0,0.0,0.0,0.0,360448,478,176,11,-104.34241,0.1117355007212609,-0.0013740733309532515,5.547440618276596,0,0.0,0.0,0.0,,,0.35466990795458764,0,0,0.0,-102.44322,-102.44322204589844,0.0,4293.3463914401555
3,1784900131.4992933,,5.171375153586268,,2.887559455120936,,7.058590445667505,,1.9752478040754795,,3.7608390115201473,,1.0499428176763104,,2.5483330944553018,,5.5625,0.0,0.0,0.0,0.0,524288,701,256,16,-105.46554,0.10376867218874394,-0.001987850310979411,5.45605488717556,0,0.0,0.0,0.0,,,0.3714735447386328,0,0,0.0,-101.3304,-101.33039855957031,0.0,4054.5520814507126
4,1784900171.9578495,,3.812883892096579,,2.4836637076805346,,6.522307726554573,,1.8501080991700292,,3.6912589287385345,,1.911296577891335,,3.3210019767284393,,5.5625,0.0,0.0,0.0,0.0,688128,913,336,21,-102.90051,0.09384280070662498,-0.001569830819789786,5.391401144862175,0,0.0,0.0,0.0,,,0.35917373120464796,0,0,0.0,-100.93123,-100.93122863769531,0.0,4049.575603223572
5,1784900213.6954143,,5.0299013732001185,,2.1614398982637795,,5.734738616738468,,1.7579148651566356,,3.9644001610577106,,1.2199737241462572,,3.349967678077519,,5.8125,0.0,0.0,0.0,0.0,851968,1130,416,26,-103.05696,0.0977462030481547,-0.0011723317162250168,5.260606747865677,0,0.0,0.0,0.0,,,0.38840190780583805,0,0,0.0,-100.64067,-100.64067077636719,0.0,3925.482362832034
6,1784900256.1543188,,5.562445167452097,,1.6675087192561477,,5.303396368399262,,1.0820001846877858,,3.345629060640931,,2.092481500003487,,3.7803837284445763,,6.0,0.0,0.0,0.0,0.0,1015808,1341,496,31,-101.922264,0.09601811789907515,-0.0015363325641374105,5.181130656599999,0,0.0,0.0,0.0,,,0.4044068464801672,0,0,0.0,-99.52696,-99.52696228027344,0.0,3858.7901561213657
7,1784900301.647149,,4.088609842583537,,4.05940922209993,,7.895616963505745,,1.1598448420409113,,3.225964435841888,,1.7199120446457528,,3.673848477192223,,5.125,0.0,0.0,0.0,0.0,1179648,1555,576,36,-100.747154,0.09888732919935136,-0.0007441681882482953,5.069559046626091,0,0.0,0.0,0.0,,,0.4251252273838162,0,0,0.0,-100.57117,-100.5711669921875,0.0,3601.445102620702
8,1784900346.5731347,,4.621598878875375,,2.297562565654516,,6.0358203668147326,,1.6613402587245218,,3.8921115919947624,,1.8847736390307546,,2.740818113088608,,4.4375,0.0,0.0,0.0,0.0,1343488,1760,656,41,-100.880875,0.0918888038257137,-0.001702498875238234,4.987296018004417,0,0.0,0.0,0.0,,,0.4221003860801413,0,0,0.0,-99.13087,-99.13086700439453,0.0,3646.88709606775
9,1784900392.4671834,,4.036809920798987,,4.117796497885138,,7.575768334791064,,1.169444139522966,,3.6528486758470535,,1.67696151376731,,3.6637734062969685,,5.625,0.0,0.0,0.0,0.0,1507328,1965,736,46,-100.81362,0.09656085106544196,-0.0016037102963309736,4.904234370589256,0,0.0,0.0,0.0,,,0.4369747896234575,0,0,0.0,-99.72393,-99.72393035888672,0.0,3569.961718956793
10,1784900438.3851855,,4.756556740030646,,3.061994157033041,,7.6037404127418995,,1.2780267935886513,,3.561413614079356,,1.499915150925517,,3.204683205112815,,5.25,0.0,0.0,0.0,0.0,1671168,2169,816,51,-99.837845,0.09191399393603206,-0.0011056508294132073,4.836116716265678,0,0.0,0.0,0.0,,,0.45831914461597856,0,0,0.0,-97.62606,-97.62606048583984,0.0,3568.0993807510026
11,1784900485.3513255,,3.941421704366803,,3.7885740696219727,,7.945039980113506,,0.8533016199362464,,3.2386677619069815,,2.082965662702918,,3.7322884891182184,,5.0,0.0,0.0,0.0,0.0,1835008,2376,896,56,-99.973305,0.09885677329730243,-0.001582327886717394,4.768486806750298,0,0.0,0.0,0.0,,,0.4527358503710598,0,0,0.0,-98.131966,-98.13196563720703,0.0,3488.4715215826463
12,1784900533.9783762,,4.515802152454853,,2.8051189141115174,,6.490348009392619,,1.8509574956260622,,3.4017861168831587,,1.4733039360726252,,3.5674261022359133,,5.125,0.0,0.0,0.0,0.0,1998848,2586,976,61,-99.333755,0.10059497819747776,-0.0010361371241742745,4.724747589230537,0,0.0,0.0,0.0,,,0.4805535387111194,0,0,0.0,-99.96419,-99.96418762207031,0.0,3369.3173357226515
13,1784900583.1018343,,4.896599897183478,,2.394325602799654,,6.8166726268827915,,1.7279241664800793,,3.5462969169020653,,1.3482771467533894,,3.5640881303697824,,6.0625,0.0,0.0,0.0,0.0,2162688,2798,1056,66,-98.80782,0.09595345770940185,-0.0006552585167810321,4.677918913960457,0,0.0,0.0,0.0,,,0.5024908575547572,0,0,0.0,-97.79464,-97.79463958740234,0.0,3335.2701699537597
14,1784900636.1365263,,5.2056192682357505,,2.6262350869365036,,6.537098940461874,,1.4961017251880548,,3.176955154631287,,1.9782140897586942,,3.4981042286381125,,4.8125,0.0,0.0,0.0,0.0,2326528,3010,1136,71,-99.169235,0.10406907042488456,-0.0012679415580350907,4.586560940742492,0,0.0,0.0,0.0,,,0.5044417726330842,0,0,0.0,-97.742935,-97.74293518066406,0.0,3089.2989408750486
15,1784900687.050833,,4.556593978777528,,2.4254656967241317,,4.7467066161334515,,1.5355068378266878,,3.3351797331124544,,1.5364713258531992,,3.68537244386971,,3.6875,0.0,0.0,0.0,0.0,2490368,3215,1216,76,-98.57331,0.0905425110599026,-0.0007708423814619892,4.450523659586906,0,0.0,0.0,0.0,,,0.5118258828863523,0,0,0.0,-97.62501,-97.62500762939453,0.0,3217.957259789339
16,1784900738.7131689,,3.522366421530023,,4.061663928441703,,7.25408517755568,,1.0709554472123273,,2.758956840261817,,2.0980609860271215,,4.015587489120662,,5.125,0.0,0.0,0.0,0.0,2654208,3409,1296,81,-98.985886,0.09209526972845197,-0.0005935209228482563,4.413596162199974,0,0.0,0.0,0.0,,,0.5348233133422765,0,0,0.0,-97.32875,-97.32875061035156,0.0,3171.3613889052604
