# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784463092.4412959,,5.578145291656256,,3.4216064494103193,,5.951446108520031,,2.235220314905746,,3.805784061551094,,2.1496853965800256,,3.784414208494127,,4.8125,0.0,0.0,0.0,0.0,32768,45,16,1,-110.16051,0.15411771317012607,-0.002530420752736973,5.675110068917275,0,0.0,0.0,0.0,,,0.3832947674987236,0,0,0.0,-112.523315,-112.5233154296875,0.0,1989.5584312305339
1,1784463179.8304772,,5.150398523546755,,2.998078813616303,,6.236790412804112,,1.3817625807132572,,2.618173537775874,,1.4558976094122045,,2.8770612832158804,,5.125,0.0,0.0,0.0,0.0,196608,257,96,6,-106.80719,0.10729868039488792,-0.0034202851325972005,5.6253490328788756,0,0.0,0.0,0.0,,,0.36826080193850375,0,0,0.0,-120.68317,-120.68316650390625,0.0,1874.831574170841
2,1784463260.6002944,,4.763651308603585,,4.135331299621612,,6.484762160107493,,1.112917403515894,,2.7972939051687717,,1.230745994253084,,2.693843087181449,,5.0,0.0,0.0,0.0,0.0,360448,431,176,11,-105.929665,0.07909323340281844,-0.0034797016458469445,5.523747622966766,0,0.0,0.0,0.0,,,0.3998981347536841,0,0,0.0,-129.91805,-129.9180450439453,0.0,2028.4804617974191
3,1784463331.9764245,,4.719186240108684,,3.1019042478874326,,6.763210128992796,,1.3728675688616931,,2.8276839875616133,,1.5807991498149931,,3.331471476703882,,6.0,0.0,0.0,0.0,0.0,524288,565,256,16,-106.16502,0.05701859015971422,-0.0031545548597932795,5.351586526632309,0,0.0,0.0,0.0,,,0.41522297071987924,0,0,0.0,-156.68999,-156.6899871826172,0.0,2295.447538952043
4,1784463388.2873302,,4.681369800819084,,2.639589235186577,,6.408153548836708,,1.6055039374623448,,3.215902433730662,,1.5933463419787586,,3.1481679622083902,,6.4375,0.0,0.0,0.0,0.0,688128,642,336,21,-110.05029,0.030910699965897948,-0.0021386988144513454,5.19460306763649,0,0.0,0.0,0.0,,,0.44267876530913136,0,0,0.0,-124.1428,-124.1427993774414,0.0,2909.5609133197463
5,1784463441.586932,,5.34041540697217,,3.095374108524993,,6.063517429865897,,1.092288526124321,,2.8737618820741773,,2.102406860794872,,3.4276501834392548,,5.375,0.0,0.0,0.0,0.0,851968,687,416,26,-111.208984,0.02954390310915187,-0.0020563223311910405,4.99607467353344,0,0.0,0.0,0.0,,,0.48145292310643584,0,0,0.0,-142.32669,-142.32669067382812,0.0,3073.9426190963704
6,1784463493.1932979,,4.229264421155676,,2.6200012674962636,,5.576265826821327,,1.3452809967566282,,3.073036731220782,,1.701682370621711,,3.0051517207175493,,5.0,0.0,0.0,0.0,0.0,1015808,733,496,31,-101.58356,0.030456331116147338,-0.0025014728256792297,4.814295071363449,0,0.0,0.0,0.0,,,0.472229762649601,0,0,0.0,-133.38516,-133.38516235351562,0.0,3174.8037139472494
7,1784463545.8937736,,4.159409917192534,,3.6112167255487293,,6.862057438120246,,1.5148323983885348,,2.9578051110729575,,1.5739416691940278,,2.881353944540024,,4.125,0.0,0.0,0.0,0.0,1179648,786,576,36,-103.150925,0.03918352039763704,-0.001806608322658576,4.59785532951355,0,0.0,0.0,0.0,,,0.5280758795776272,0,0,0.0,-133.09041,-133.0904083251953,0.0,3108.8889330383395
8,1784463600.5955725,,4.701582154957578,,2.561335166465142,,6.498705260455608,,1.646919235936366,,3.6990820639766753,,1.508058338185947,,3.033328070305288,,4.4375,0.0,0.0,0.0,0.0,1343488,848,656,41,-97.31995,0.04986935551278293,-0.0019315421595820226,4.431396582722664,0,0.0,0.0,0.0,,,0.5653027825294095,0,0,0.0,-95.485985,-95.4859848022461,0.0,2995.1477537141654
9,1784463658.4200668,,3.8030935171991587,,3.679321683011949,,5.966248074546456,,1.7094008636195213,,3.185438457876444,,2.0261848423979245,,3.2901338022202253,,4.5625,0.0,0.0,0.0,0.0,1507328,915,736,46,-95.47057,0.07460364960134029,-0.0015073014423251153,4.26656753718853,0,0.0,0.0,0.0,,,0.6220273809478575,0,0,0.0,-91.554214,-91.55421447753906,0.0,2833.3994959334773
