# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,sps,target_agent_return
0,1784616019.9663186,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.976903599803336,,4.221620494732633,,5.757362187607214,,0.38199512456776574,,2.0142825765069574,,0.4378379891277291,,2.0274986061267555,,4.1875,-1.669779658317566,-0.011207265517441556,0.5112853068858385,1.4187003746628761,32768,179,16,1,-158.52501,0.11167000632267446,-0.002234818969736807,5.658010423183441,-109.58807,0.33663854794576764,-0.002320738347771112,5.686084660887718,,,0.95,0.88,0.3727003457738288,0.38657439143905326,2.135111146812335,0.0,-160.12976,3168.4951805466253,-158.52501
1,1784616077.352006,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,5.1204580827616155,,4.7405834486708045,,6.497628364479169,,1.0421138766687363,,2.509799640160054,,0.8975689368089661,,2.4146203465061262,,4.5,-0.6687029600143433,-0.00021939101861789823,0.04085218533873558,1.417029146105051,196608,477,96,6,-137.74548,0.015905392123386264,-0.005001091708254535,5.541140413284301,-121.14492,0.034793353953864424,-0.003913604102854152,5.628667539358139,,,0.95,0.88,0.28373446865859153,0.20907246884223962,1.0722998947888303,0.0,-121.00791,2855.0690237605168,-137.74548
2,1784616137.5175717,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.701689523179084,,3.4050707197748125,,5.616192252840847,,0.3237061894033104,,1.80210677399009,,0.5429495772114024,,1.8247405129077379,,3.6875,-0.8230551481246948,-0.0077440295135602355,0.10653751867357641,1.4265042692422867,360448,737,176,11,-113.76479,0.026298684551147745,-0.004124092616984853,5.355069103837013,-113.12429,0.08366196504794061,-0.003173560062714387,5.4902831465005875,,,0.95,0.88,0.24726379987503977,0.2393634903319876,1.1155651375552167,0.0,-127.61873,2723.150800412601,-113.76479
3,1784616197.2757933,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.4761671875603497,,3.016594151966274,,5.493482643272728,,0.345001173322089,,1.5480314118321985,,0.19938585895579308,,1.7031313753250288,,3.25,-0.20794036984443665,0.0011113438522443175,0.029284009709954262,1.433268003165722,524288,1004,256,16,-129.33777,0.016669612244004383,-0.0029344708025746515,5.182890075445175,-119.72666,0.03158172014518641,-0.0022234877775190397,5.29601861834526,,,0.95,0.88,0.26771886228777914,0.28133520097547887,0.6998764851140599,0.0,-129.3643,2741.7145156134643,-129.33777
4,1784616256.6803489,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.22474588919431,,4.103918869048357,,6.598295447125565,,0.7140587762114592,,2.2946831226581708,,0.8088328339508735,,2.125003222376108,,4.375,-0.026442596688866615,-0.004899308725725859,0.0141912957187742,1.4379513747990131,688128,1222,336,21,-124.98855,0.014838765579042956,-0.004515732750587631,4.928062689304352,-120.81602,0.015751356817781927,-0.0033311524573946373,5.039037546515464,,,0.95,0.88,0.36691823171823296,0.295821585721343,0.8178200292766624,0.0,-134.934,2758.0394786684647,-124.98855
5,1784616313.4383166,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.981201778165996,,3.2302346986252815,,4.769453013781458,,0.19401547242887318,,1.6183595538605005,,0.04813263448886575,,1.7380472863442264,,3.3125,-0.02161000669002533,0.001607743208296597,0.07626701088156551,1.444488700479269,851968,1462,416,26,-137.8718,0.02695594569668174,-0.0026646317113772967,4.659194076061249,-117.53032,0.017303518706467003,-0.0031031152400828434,4.79250254034996,,,0.95,0.88,0.38056975685632644,0.3438290719121644,1.5211296226864917,0.0,-107.20392,2886.643199386119,-137.8718
6,1784616371.361026,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.091557555977488,,4.346459676497034,,6.639120438834652,,0.6611451819335343,,2.1963320951908827,,0.34548731736140326,,2.1779710026457906,,4.1875,0.07369259744882584,-0.00037412287201732397,0.11728161381324753,1.4437488056719303,1015808,1717,496,31,-122.79215,0.030152642459142953,-0.0021282555178913755,4.479283729195595,-111.088295,0.02004181918455288,-0.0032020974314946214,4.564918893575668,,,0.95,0.88,0.38194442635900794,0.36346595410948346,1.492015723319588,0.0,-106.515945,2828.5967949249884,-122.79215
7,1784616432.8107579,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.803135115304031,,3.0370410297764465,,5.059301200453774,,0.020839235745370395,,1.4620722574181855,,0.11338029347825795,,1.5065855402499437,,3.125,-0.12066659331321716,-8.697406155988574e-05,0.07272043277043849,1.4521010741591454,1179648,2022,576,36,-112.32263,0.0222423167899251,-0.00486808412897517,4.252718183398247,-97.37878,0.03842403652379289,-0.0017644194180320484,4.4176503896713255,,,0.95,0.88,0.4530321656468095,0.44039924039690703,0.8430820604002752,0.0,-96.95308,2666.2441651719123,-112.32263
8,1784616489.9278388,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.5499366669682786,,3.471295994706452,,5.481346670392668,,0.2221143648494035,,1.837448117956228,,0.2793432662729174,,1.7492617026437074,,3.5,-0.23104844987392426,-0.0010472928988747299,0.33551829773932695,1.454901847988367,1343488,2383,656,41,-113.44238,0.07409183892887086,-0.00301159922091756,4.085091555118561,-97.61389,0.05719300142955035,-0.0014149814378470182,4.191021001338958,,,0.95,0.88,0.5317232639237405,0.48984064842731045,1.969168934178431,0.0,-118.24895,2868.4938023078007,-113.44238
9,1784616547.6008847,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.939593093469739,,3.418585371429799,,5.9158930137054995,,0.5902732389513403,,1.9928892515599728,,0.44110542873386294,,1.620962109649554,,3.9375,-0.09949789196252823,-0.0039366091368719935,0.1192753512877971,1.47292535379529,1507328,2933,736,46,-121.69706,0.0759662595577538,-0.003181811417744029,3.862611451745033,-88.64097,0.0724606845062226,-0.0022106186726887243,3.9606573060154915,,,0.95,0.88,0.6226591121656423,0.5822081034627858,0.7441949894528097,0.0,-91.39924,2840.840665737399,-121.69706
