# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784463083.5700665,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,32768,38,54,1,-175.43185,0.12257031025364995,-0.0019178980583092198,5.668066543340683,0,0.0,0.0,0.0,,,0.36660865379103924,0,0,0.0,-111.57344,-111.57344055175781,0.0,4396.53116138774
1,1784463119.1244798,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,196608,214,310,6,-148.6832,0.040557833982165906,-0.0025555148138664665,5.593473604321479,0,0.0,0.0,0.0,,,0.35336076185921195,0,0,0.0,-132.15129,-132.1512908935547,0.0,4608.151956418769
2,1784463155.614804,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,360448,326,502,11,-111.686134,0.02970267889322713,-0.00413069473579526,5.464931687712669,0,0.0,0.0,0.0,,,0.3325888318147386,0,0,0.0,-126.24197,-126.2419662475586,0.0,4489.957777913881
3,1784463190.401096,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,524288,435,691,16,-126.44015,0.020861777605023234,-0.0036904753811541013,5.341151320934296,0,0.0,0.0,0.0,,,0.38601140026243436,0,0,0.0,-115.611305,-115.6113052368164,0.0,4709.896125584283
4,1784463224.7649095,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,688128,560,896,21,-128.04556,0.02822695442009717,-0.003474885076866485,5.219025382399559,0,0.0,0.0,0.0,,,0.3971742776974974,0,0,0.0,-111.82853,-111.82852935791016,0.0,4767.811911165239
5,1784463261.9475813,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,851968,662,1078,26,-116.52212,0.03093878017971292,-0.0030394408749998547,5.007200026512146,0,0.0,0.0,0.0,,,0.4436715628419794,0,0,0.0,-123.77212,-123.7721176147461,0.0,4406.354500431933
6,1784463297.6756127,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1015808,762,1258,31,-123.81338,0.021658249117899687,-0.0033171351060445886,4.814333388209343,0,0.0,0.0,0.0,,,0.5142159060331825,0,0,0.0,-121.15713,-121.1571273803711,0.0,4585.7526332100815
7,1784463335.0386584,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1179648,861,1437,36,-108.22742,0.015201517537934705,-0.0027315370374708437,4.627653083205223,0,0.0,0.0,0.0,,,0.5298863284637493,0,0,0.0,-106.036644,-106.0366439819336,0.0,4385.082425172696
8,1784463370.1067023,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1343488,956,1612,41,-101.90575,0.018690969352610408,-0.0028605732222786173,4.388649353384972,0,0.0,0.0,0.0,,,0.6176848238167496,0,0,0.0,-121.73368,-121.73368072509766,0.0,4672.0602589405025
9,1784463407.6464741,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1507328,1061,1797,46,-122.526245,0.03629822484217584,-0.0026048818603158,4.14004425406456,0,0.0,0.0,0.0,,,0.6297234382198574,0,0,0.0,-128.90219,-128.90219116210938,0.0,4364.43895648401
10,1784463447.344516,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1671168,1155,1971,51,-108.490616,0.029047327814623713,-0.001982305594719946,3.973089745640755,0,0.0,0.0,0.0,,,0.7020228684216869,0,0,0.0,-108.35315,-108.3531494140625,0.0,4127.156741269946
11,1784463486.7342434,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1835008,1259,2155,56,-93.89905,0.034198410459794104,-0.0012242999218869954,3.793753941357136,0,0.0,0.0,0.0,,,0.6829641329424385,0,0,0.0,-84.58308,-84.58307647705078,0.0,4159.456834539913
12,1784463524.7817836,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,1998848,1349,2325,61,-100.16547,0.027416426781564952,-0.002593593944766326,3.581179256737232,0,0.0,0.0,0.0,,,0.7563715700908421,0,0,0.0,-96.6375,-96.63749694824219,0.0,4306.192070162714
13,1784463565.3227189,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,2162688,1441,2497,66,-97.45482,0.03194281271426007,-0.0017522333349916154,3.3530770897865296,0,0.0,0.0,0.0,,,0.8331862247895767,0,0,0.0,-81.141685,-81.14168548583984,0.0,4041.349482015705
14,1784463605.6542802,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,2326528,1526,2662,71,-86.30271,0.02315505563747138,-0.0011383589982870035,3.1556223317980767,0,0.0,0.0,0.0,,,0.9108081174632139,0,0,0.0,-94.085396,-94.08539581298828,0.0,4062.3244717469374
15,1784463642.6661084,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,2490368,1610,2826,76,-76.01658,0.016391188401030377,-0.0019687149586388843,2.9751225426793098,0,0.0,0.0,0.0,,,0.8750118724941528,0,0,0.0,-97.089195,-97.08919525146484,0.0,4426.694410707319
16,1784463681.810431,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,2654208,1697,2993,81,-89.06603,0.020024827518500387,-0.0017768930149031803,2.785908153653145,0,0.0,0.0,0.0,,,0.9297991716362489,0,0,0.0,-90.81146,-90.81146240234375,0.0,4185.545236262301
17,1784463721.0510514,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,2818048,1791,3167,86,-73.8795,0.026113983942195773,-0.00046687751309946177,2.6567646130919456,0,0.0,0.0,0.0,,,0.9847906410019824,0,0,0.0,-83.247986,-83.24798583984375,0.0,4175.258351751242
18,1784463759.191305,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,2981888,1890,3346,91,-83.183044,0.029229542438406496,-0.0011805700487457216,2.518510493636131,0,0.0,0.0,0.0,,,1.071617387570118,0,0,0.0,-64.65376,-64.65376281738281,0.0,4295.730108084652
19,1784463799.4650779,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,3145728,1991,3527,96,-83.61131,0.03290500669972971,-0.0006169364452944138,2.408960594236851,0,0.0,0.0,0.0,,,1.0722960187499597,0,0,0.0,-73.02416,-73.02416229248047,0.0,4068.1502498998775
20,1784463838.1170928,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,3309568,2107,3723,101,-96.230835,0.03158251731656492,-0.0006583017740922515,2.274134340882301,0,0.0,0.0,0.0,,,1.0722559971239736,0,0,0.0,-79.06807,-79.06806945800781,0.0,4238.845728297998
21,1784463875.5669136,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,3473408,2216,3912,106,-63.702995,0.027454214938916265,0.0005698877255781553,2.182435540854931,0,0.0,0.0,0.0,,,1.1385577414607289,0,0,0.0,-92.1472,-92.14720153808594,0.0,4374.921299984864
22,1784463914.1556742,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,3637248,2311,4087,111,-87.54971,0.027565132780000567,-0.0007007043212070129,2.034203511476517,0,0.0,0.0,0.0,,,1.124453440008598,0,0,0.0,-100.03341,-100.03340911865234,0.0,4245.797227575074
23,1784463954.3398366,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,3801088,2408,4264,116,-73.31397,0.024739907728508113,-0.0007862067344831303,1.9414639219641685,0,0.0,0.0,0.0,,,1.2512995374297813,0,0,0.0,-70.72494,-70.72493743896484,0.0,4077.232087777144
24,1784463993.5488012,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,3964928,2512,4448,121,-77.37804,0.02440747325308621,-0.0004637367819668725,1.782906524091959,0,0.0,0.0,0.0,,,1.2740773726710029,0,0,0.0,-71.78737,-71.78736877441406,0.0,4178.63286362356
25,1784464031.737942,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,4128768,2614,4630,126,-67.54534,0.027758755430113524,-0.0003343864984344691,1.6817736946046353,0,0.0,0.0,0.0,,,1.225890543991536,0,0,0.0,-59.925964,-59.92596435546875,0.0,4290.226582585881
26,1784464069.658594,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,4292608,2729,4825,131,-71.43007,0.034192298213019966,-0.0014790575005463324,1.5844637662172318,0,0.0,0.0,0.0,,,1.329407410039071,0,0,0.0,-64.28943,-64.2894287109375,0.0,4320.599661342442
27,1784464108.927017,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,4456448,2840,5016,136,-87.09558,0.039244916930329055,-0.00067829071849701,1.4821080416440964,0,0.0,0.0,0.0,,,1.4252413702269737,0,0,0.0,-72.80422,-72.8042221069336,0.0,4172.306976835234
28,1784464146.0195835,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,4620288,2940,5196,141,-72.50499,0.018601052841404453,-0.001553388236061437,1.3608537405729293,0,0.0,0.0,0.0,,,1.3937663230210684,0,0,0.0,-69.92411,-69.92411041259766,0.0,4417.058141057352
29,1784464184.5229168,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,4784128,3037,5373,146,-64.92673,0.016764188365777956,0.00021602215711027383,1.2331237338483334,0,0.0,0.0,0.0,,,1.5253137963370569,0,0,0.0,-66.33674,-66.33673858642578,0.0,4255.21461953197
30,1784464219.952014,,4.0,,4.0,,6.0,,0.5,,2.0,,0.5,,2.0,,4.0,0.0,0.0,0.0,0.0,4947968,3138,5554,151,-73.30763,0.016295654710847884,0.00010505937389098108,1.137920057028532,0,0.0,0.0,0.0,,,1.490539306042041,0,0,0.0,-88.75542,-88.75541687011719,0.0,4624.446815470329
