# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784463093.7710304,,5.155995381064713,,3.229696616763249,,6.225496429251507,,2.269426607526839,,3.431825516745448,,1.4968823397066444,,2.957666318397969,,5.25,0.0,0.0,0.0,0.0,32768,45,16,1,-109.62372,0.15654477858915924,-0.00493218176998198,5.6627452105283735,0,0.0,0.0,0.0,,,0.3760573103396144,0,0,0.0,-120.47099,-120.47099304199219,0.0,1851.9139051915017
1,1784463179.0023263,,4.451413687784225,,3.2379663689062,,6.677670124918222,,0.8071761019527912,,2.3674893798306584,,0.9784705226775259,,2.274822685867548,,3.9375,0.0,0.0,0.0,0.0,196608,281,96,6,-107.33324,0.12259131297469139,-0.003124874722561799,5.618466264009475,0,0.0,0.0,0.0,,,0.350828570361024,0,0,0.0,-120.79866,-120.79866027832031,0.0,1922.2993044204372
2,1784463266.4856026,,5.038408243563026,,3.530703231226653,,7.29883786290884,,1.3618579867761582,,2.4158480064943433,,0.9108276457118336,,2.6142962416633964,,4.25,0.0,0.0,0.0,0.0,360448,504,176,11,-107.4047,0.10651425188407301,-0.0027073713834397497,5.518333095312118,0,0.0,0.0,0.0,,,0.37237960222569055,0,0,0.0,-113.729515,-113.7295150756836,0.0,1872.8151733437894
3,1784463351.0292196,,3.423498384654522,,3.9722199202515185,,6.7463091015815735,,1.2231749866623431,,1.981085459701717,,1.038500330178067,,2.420270734000951,,5.125,0.0,0.0,0.0,0.0,524288,704,256,16,-108.40859,0.09245403171516955,-0.001983290231146384,5.444315153360367,0,0.0,0.0,0.0,,,0.38668197585994246,0,0,0.0,-121.22395,-121.22395324707031,0.0,1937.9349529065278
4,1784463435.1652703,,4.96582081541419,,4.175810171291232,,7.124249134212732,,1.2356660445220768,,2.7011623908765614,,0.990993898594752,,2.5791098619811237,,4.5,0.0,0.0,0.0,0.0,688128,887,336,21,-104.1047,0.07717478582635522,-0.0028380089046549984,5.347347584366799,0,0.0,0.0,0.0,,,0.4191871617699724,0,0,0.0,-128.60454,-128.6045379638672,0.0,1947.3220997037222
5,1784463511.484118,,4.363601319491863,,2.5176143157295883,,5.567584931850433,,1.0186010488541797,,2.709908608812839,,1.0358419831027277,,2.278276477009058,,4.5,0.0,0.0,0.0,0.0,851968,1035,416,26,-103.99202,0.06919320868328213,-0.0015668858010030816,5.217170539498329,0,0.0,0.0,0.0,,,0.48824432777650684,0,0,0.0,-108.150856,-108.1508560180664,0.0,2146.781783412024
6,1784463583.247051,,5.617484203539789,,3.9428575104102492,,6.786870956420898,,1.3420233305078,,2.525218790397048,,1.0447150975232944,,2.4828712455928326,,4.1875,0.0,0.0,0.0,0.0,1015808,1159,496,31,-105.4859,0.0698368779849261,-0.0017917402175953612,5.091238301992417,0,0.0,0.0,0.0,,,0.4475771151983639,0,0,0.0,-111.172485,-111.1724853515625,0.0,2283.07617520395
7,1784463649.19477,,4.050150820985436,,3.6461817659437656,,5.946389865130186,,0.8091820398112759,,2.314658109098673,,1.1346742100431584,,2.66432355158031,,4.25,0.0,0.0,0.0,0.0,1179648,1263,576,36,-106.30037,0.05047539041843265,-0.0017815684717788828,4.905417481064797,0,0.0,0.0,0.0,,,0.4988784333046429,0,0,0.0,-112.205284,-112.20528411865234,0.0,2484.392329168156
8,1784463713.9410791,,4.463228117674589,,3.2581600081175566,,6.28336925059557,,1.3643054759450024,,2.9203676525503397,,0.9236156829865649,,1.9765301141887903,,4.75,0.0,0.0,0.0,0.0,1343488,1364,656,41,-99.81745,0.07251464012078941,-0.0019646862674562726,4.70751374065876,0,0.0,0.0,0.0,,,0.5141971324069691,0,0,0.0,-103.92583,-103.92582702636719,0.0,2530.490744104727
9,1784463772.6028059,,5.721199065446854,,3.6460553715005517,,6.494037602096796,,1.293972107814625,,2.781017078086734,,0.9583273637690581,,2.7822047658264637,,4.125,0.0,0.0,0.0,0.0,1507328,1446,736,46,-99.65752,0.04847318790853024,-0.0025675296594272366,4.532757368683815,0,0.0,0.0,0.0,,,0.5557820556508697,0,0,0.0,-112.08867,-112.08866882324219,0.0,2792.960476738891
10,1784463832.4085097,,5.1886646170169115,,3.800603689160198,,6.24420965090394,,1.2021777336485684,,2.60352183599025,,0.7500645429536235,,2.7677090698853135,,4.4375,0.0,0.0,0.0,0.0,1671168,1524,816,51,-93.45089,0.05374241007957607,-0.0014944470356567762,4.335357618331909,0,0.0,0.0,0.0,,,0.6098766817522346,0,0,0.0,-101.04102,-101.04102325439453,0.0,2739.5358819395906
11,1784463887.66069,,5.4749805480241776,,3.617278877645731,,5.989987812936306,,1.3460121466778219,,2.813316648826003,,1.0780447255820036,,2.458124035038054,,4.125,0.0,0.0,0.0,0.0,1835008,1594,896,56,-93.49565,0.0511721707531251,-0.0016456428784294985,4.148950996994972,0,0.0,0.0,0.0,,,0.6821786902817877,0,0,0.0,-90.74669,-90.74668884277344,0.0,2965.316878114274
12,1784463946.095289,,3.9147570519708097,,3.855757339624688,,6.08777211047709,,0.825631488696672,,2.634630985558033,,1.2353780679404736,,2.5259297201409936,,5.3125,0.0,0.0,0.0,0.0,1998848,1666,976,61,-91.57276,0.06107733177486807,-0.0015667007028241642,3.998459202051163,0,0.0,0.0,0.0,,,0.7234658906549445,0,0,0.0,-88.8883,-88.88829803466797,0.0,2803.8148595795606
13,1784464002.0951555,,5.418348734965548,,3.624990859243553,,6.786280982196331,,1.3544167531654239,,3.041236801072955,,0.9151773224584758,,2.429306134581566,,4.0,0.0,0.0,0.0,0.0,2162688,1734,1056,66,-90.96478,0.06859491905197501,-0.0012247643688169773,3.853714320063591,0,0.0,0.0,0.0,,,0.773805411055446,0,0,0.0,-80.9503,-80.95030212402344,0.0,2925.7223264364156
14,1784464060.1411188,,3.958518881117925,,4.2768913228064775,,6.671714670956135,,1.1827322344470304,,2.6452520210295916,,0.9249094559345394,,2.5628394866362214,,4.3125,0.0,0.0,0.0,0.0,2326528,1807,1136,71,-92.84642,0.0727169378194958,-0.00220451058994513,3.6950377568602564,0,0.0,0.0,0.0,,,0.812647290288982,0,0,0.0,-99.75063,-99.7506332397461,0.0,2822.5913794248427
15,1784464115.5793567,,5.108655667863786,,3.4090259356889874,,6.260393094271421,,1.382125080563128,,2.9364859592169523,,1.0401577595621347,,2.5212790677323937,,5.0,0.0,0.0,0.0,0.0,2490368,1876,1216,76,-94.62527,0.08281751021277159,-0.0011090080821304581,3.5958404570817946,0,0.0,0.0,0.0,,,0.8664981718865018,0,0,0.0,-91.59812,-91.5981216430664,0.0,2955.3614583887716
16,1784464172.7611308,,5.322949783876538,,3.8302441127598286,,6.694848891347647,,1.1448029729217524,,3.132436666637659,,0.7823166692105588,,2.758946279063821,,4.5625,0.0,0.0,0.0,0.0,2654208,1949,1296,81,-88.93575,0.06956111756153405,-0.0006943820044398308,3.4595398902893066,0,0.0,0.0,0.0,,,0.8999334169278566,0,0,0.0,-85.82158,-85.82157897949219,0.0,2865.2462731612154
17,1784464231.0485117,,3.1003510623486363,,3.6574747413396835,,6.080842837691307,,0.9881340817082673,,2.6906392793171108,,1.0332119348458946,,2.6463228464126587,,4.75,0.0,0.0,0.0,0.0,2818048,2020,1376,86,-92.14716,0.07866126212757081,-0.0008690469592693261,3.355483505129814,0,0.0,0.0,0.0,,,0.8951458095670347,0,0,0.0,-78.1576,-78.15760040283203,0.0,2810.9001863804942
