# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784900015.1220741,,5.756998099386692,,3.9182465290650725,,7.473042393103242,,2.1341259963810444,,3.3505412423983216,,1.660763891559327,,3.3734686113893986,,4.0,0.0,0.0,0.0,0.0,32768,46,16,1,-109.76298,0.14999182946048678,-0.00427710998992552,5.679845172166824,0,0.0,0.0,0.0,,,0.3788847131214233,0,0,0.0,-128.65182,-128.65182495117188,0.0,3789.1210893228426
1,1784900053.5304854,,4.884397983551025,,3.2045068591833115,,5.552594382315874,,1.9812466407893226,,3.715344248339534,,1.1598100961418822,,3.0380515567958355,,4.625,0.0,0.0,0.0,0.0,196608,262,96,6,-112.03939,0.09812196320854127,-0.004955236500245519,5.578903093934059,0,0.0,0.0,0.0,,,0.36087483950016863,0,0,0.0,-126.26786,-126.26786041259766,0.0,4265.7323132132215
2,1784900092.6589417,,4.537931075319648,,3.5779881477355957,,6.530524827539921,,2.2491695123608224,,3.9075984340161085,,1.629553052043775,,3.5486785881221294,,6.0,0.0,0.0,0.0,0.0,360448,398,176,11,-109.20882,0.044822882511653006,-0.0033484048894024455,5.46593374311924,0,0.0,0.0,0.0,,,0.3746692708403039,0,0,0.0,-122.314735,-122.31473541259766,0.0,4187.231500210449
3,1784900134.6272447,,5.527230298612267,,2.983506733435206,,5.637613218277693,,1.2217437685467303,,3.294838760048151,,1.9912839424796402,,3.6841553077101707,,4.3125,0.0,0.0,0.0,0.0,524288,460,256,16,-110.28597,0.02297291948925704,-0.002288557573047001,5.330100566148758,0,0.0,0.0,0.0,,,0.3902790346418025,0,0,0.0,-147.86696,-147.86695861816406,0.0,3903.9003098614908
4,1784900172.8912578,,3.9042976713972166,,4.134448727127165,,7.017969228327274,,1.9802526012063026,,3.3356621768325567,,1.573924758049543,,3.729386869817972,,5.25,0.0,0.0,0.0,0.0,688128,494,336,21,-107.65904,0.02065717274090275,-0.002465212618699297,5.159248104691505,0,0.0,0.0,0.0,,,0.43237992061604125,0,0,0.0,-119.25248,-119.25247955322266,0.0,4281.828744351192
5,1784900213.4092963,,6.038100207224488,,1.9282726047094911,,4.197958670556545,,2.102984585799277,,3.5308290645480156,,1.680804961360991,,3.3712792862206697,,5.625,0.0,0.0,0.0,0.0,851968,527,416,26,-110.81748,0.023201942729065193,-0.002446184334985446,5.011008575558662,0,0.0,0.0,0.0,,,0.4498245181952815,0,0,0.0,-103.22157,-103.22157287597656,0.0,4043.634299754788
6,1784900252.8409817,,5.115691069513559,,3.218391335103661,,6.164925470948219,,1.5250878728693351,,3.283686642535031,,2.127240451518446,,3.3756186673417687,,5.25,0.0,0.0,0.0,0.0,1015808,563,496,31,-108.57051,0.02886211663717404,-0.0017848894014605321,4.778404554724693,0,0.0,0.0,0.0,,,0.5199022227320759,0,0,0.0,-125.04787,-125.04786682128906,0.0,4155.032160496314
7,1784900289.753775,,4.198805312626064,,2.903420902439393,,5.514983786270022,,1.905264999368228,,4.143240563571453,,1.9491060404106975,,3.60732888802886,,6.375,0.0,0.0,0.0,0.0,1179648,599,576,36,-102.293945,0.028099461586680263,-0.0020767732472450006,4.570068618655204,0,0.0,0.0,0.0,,,0.5606840294560291,0,0,0.0,-103.72308,-103.72308349609375,0.0,4438.571034765819
8,1784900328.295756,,3.015585949178785,,2.691679080016911,,5.201818058267236,,1.253489913069643,,3.362589511089027,,1.4935193799465196,,3.847304037772119,,4.9375,0.0,0.0,0.0,0.0,1343488,632,656,41,-98.08367,0.026930012693628668,-0.0012656132981646805,4.345481479167939,0,0.0,0.0,0.0,,,0.6216822387306692,0,0,0.0,-103.33978,-103.33978271484375,0.0,4250.948144826829
9,1784900365.3730521,,4.466983139864169,,2.9099972208496183,,6.748791094869375,,2.1913691703230143,,3.9064680226147175,,1.659688705112785,,3.7242206651717424,,4.3125,0.0,0.0,0.0,0.0,1507328,666,736,46,-95.522255,0.028533821739256383,-0.002231178274087142,4.1616535753011705,0,0.0,0.0,0.0,,,0.6186964971178966,0,0,0.0,-95.21428,-95.21427917480469,0.0,4418.871619985854
10,1784900404.3832154,,4.030309298541397,,3.013362113852054,,5.061059147119522,,1.264428966678679,,3.345111533999443,,1.6260690917260945,,3.1235858146101236,,4.9375,0.0,0.0,0.0,0.0,1671168,708,816,51,-96.7751,0.03133749776752666,-0.0018518215991207398,3.9649581268429754,0,0.0,0.0,0.0,,,0.6382693735760747,0,0,0.0,-101.81752,-101.81752014160156,0.0,4199.935016548327
11,1784900441.8703463,,5.609885836020112,,3.2284999257535674,,6.845774659886956,,1.0486458730883896,,3.277531915809959,,2.0024392858613282,,3.7545706378296018,,5.0625,0.0,0.0,0.0,0.0,1835008,755,896,56,-96.73522,0.035138710716273634,-0.0018243432787130587,3.8129281774163246,0,0.0,0.0,0.0,,,0.6938049666464551,0,0,0.0,-100.9826,-100.98259735107422,0.0,4370.567086659385
12,1784900479.6616488,,2.7854978234972805,,2.5972608104348183,,6.182560175657272,,1.57075873343274,,3.3184246020391583,,2.146237032065983,,3.9473462011665106,,4.625,0.0,0.0,0.0,0.0,1998848,804,976,61,-97.13024,0.03661459333961829,-0.0015035531985631678,3.654174256324768,0,0.0,0.0,0.0,,,0.7565533507653177,0,0,0.0,-93.459145,-93.45914459228516,0.0,4335.384771958496
