# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
0,1784616786.4027019,,67078.43336861927,,2313.73727370612,,0.2024203881165814,,0.5169634418186708,,0.5190076030412164,,0.18743886471818186,0.0,0.0,0.0,0.0,2000,0,16,1,0,0.2197728636674583,-0.010691103103454225,-0.05203072668518871,0,0.0,0.0,0.0,,,0.6039502970599779,0,0,0.0,-149.39009,-149.3900909423828,0.0,39.36733523829795
1,1784617168.1379457,,68263.02006021078,,2336.996903352116,,0.20051507555884307,,0.5169634570533039,,0.5190076030412164,,0.18664777040219963,0.0,0.0,0.0,0.0,12000,24,96,6,-13.048986,0.039646091929171234,-0.02100159437372895,-0.11912574851885438,0,0.0,0.0,0.0,,,0.6807377567897827,0,0,,,,,26.196163249964112
2,1784617513.1653414,,69238.72803740471,,2351.7355744479137,,0.20263740234555566,,0.5169634361058163,,0.5190076030412164,,0.18752896920345566,0.0,0.0,0.0,0.0,22000,80,176,11,-10.000001,0.05775079666636884,-0.02971527588670142,-0.21558367367833853,0,0.0,0.0,0.0,,,1.0504791834380431,0,0,,,,,28.983205882639126
3,1784617874.2742827,,66822.0852729434,,2308.809224804238,,0.20207941427924345,,0.5169634419777774,,0.5190076030412164,,0.18729729033879003,0.0,0.0,0.0,0.0,32000,189,256,16,-10.039996,0.06184265750925988,-0.02563991440638347,-0.29484312143176794,0,0.0,0.0,0.0,,,1.1710222067586642,0,0,,,,,27.692474335069164
4,1784618250.2544835,,64321.547147555466,,2262.5094926646902,,0.2041087438910483,,0.5169634443598392,,0.5190076030412164,,0.18813988081328514,0.0,0.0,0.0,0.0,42000,323,336,21,-10.000001,0.08179596124682575,-0.028723773834826716,-0.38116647582501173,0,0.0,0.0,0.0,,,1.5362952215245629,0,0,,,,,26.59714504960576
5,1784618637.2133834,,70633.95826209236,,2379.748909731409,,0.2002306867934793,,0.5169634421117056,,0.5190076030412164,,0.18652968746872536,0.0,0.0,0.0,0.0,52000,424,416,26,-10.824753,0.13317092903889716,-0.02653053963877028,-0.4332099659368396,0,0.0,0.0,0.0,,,1.6014485375653846,0,0,0.0,-158.59203,-158.59202575683594,0.0,25.842538418587477
6,1784618999.3646376,,66761.3865867491,,2307.025133915221,,0.20328643588074954,,0.5169634495129101,,0.5190076030412164,,0.18779845455638985,0.0,0.0,0.0,0.0,62000,509,496,31,-10.824792,0.22188581991940737,-0.031205949258037435,-0.5850323420017958,0,0.0,0.0,0.0,,,2.006732244082813,0,0,,,,,27.61277119741759
7,1784619359.7688725,,65562.44920196269,,2278.9190641639134,,0.2065275597363376,,0.5169634427285801,,0.5190076030412164,,0.1891441875382826,0.0,0.0,0.0,0.0,72000,577,576,36,-6.4388227,0.33673621993511915,-0.03522682358743623,-0.7983779050409794,0,0.0,0.0,0.0,,,2.5559384102814215,0,0,,,,,27.746621694911596
8,1784619712.4736085,,63365.37146322868,,2251.9901912098053,,0.20130495562573755,,0.5169634517208919,,0.5190076030412164,,0.18697573234388437,0.0,0.0,0.0,0.0,82000,639,656,41,-7.274144,0.47343588434159756,-0.025862320748274215,-0.8562278803437948,0,0.0,0.0,0.0,,,2.6721116408521963,0,0,,,,,28.352326993020167
9,1784620071.2426393,,65902.34774988798,,2306.1852509014025,,0.19908469249150332,,0.516963445030528,,0.5190076030412164,,0.18605386424787587,0.0,0.0,0.0,0.0,92000,695,736,46,-7.82424,0.5859224628657103,-0.020590377527696546,-0.9171101171523333,0,0.0,0.0,0.0,,,3.085330133957317,0,0,,,,,27.873085678414906
