# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,sps,target_agent_return
0,1784618217.4082398,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-16.436826705932617,-0.017093621485400945,11.667579293251038,1.420064814388752,2000,10,16,1,-41.92,0.23174962494522333,-0.0019617446523625404,-0.06648226175457239,-51.66096,0.2412896966561675,-0.0011308637949696276,-0.09687162819318473,,,0.95,0.88,0.8296251546858391,0.975033658289125,4.024390119126261,0.0,-137.72102,25.852790017651113,-137.72102
1,1784618487.8531902,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-1.4537709951400757,-0.004878122534137219,0.018947427364764735,1.4251464270055294,12000,67,96,6,-42.913868,0.027017451648134738,-0.01484310107480269,-0.11621580086648464,-46.503048,0.01956412845174782,-0.010655339588993229,-0.08940653223544359,,,0.95,0.88,0.3584383833061473,0.2999092505925976,0.9163404598858622,,,36.97609432267928,
2,1784618764.6645083,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.8890935778617859,-0.0003736428916454315,0.040640913357492536,1.4196161702275276,22000,177,176,11,-26.574408,0.022510738752316684,-0.02004555626626825,-0.1627067681401968,-31.463724,0.018758634250843897,-0.01594065442441206,-0.14399297256022692,,,0.95,0.88,0.37959156221077406,0.3628568028023903,1.1089099544621945,,,36.125694427105195,
3,1784619064.8774426,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.21310582756996155,1.0174349881708622e-05,0.03597915300633758,1.4228882305324078,32000,438,256,16,-19.50497,0.034604992950335145,-0.01908736337645678,-0.23948050942271948,-19.065823,0.031019696791190654,-0.013250919078927836,-0.22659184830263257,,,0.95,0.88,0.4675038545189381,0.3929884486072383,1.0486928348342126,,,33.309690351071076,
4,1784619368.3221412,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.00016922317445278168,0.000876010162755847,0.06094884383492172,1.419004000723362,42000,739,336,21,-11.712392,0.05175416462589055,-0.01944792689391761,-0.3296033963561058,-16.665676,0.0463559958152473,-0.020870964202913456,-0.31164936255663633,,,0.95,0.88,0.7827608771667793,0.5366417362863053,0.8502934588826587,,,32.95493189228047,
5,1784619684.8989768,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.7769603729248047,-0.001063662813976407,0.4674881137907505,1.4159676991403103,52000,981,416,26,-5.0695257,0.07920357084367424,-0.02246281307998288,-0.44145862851291895,3.252687,0.0815529233077541,-0.025784813074096746,-0.46251973323524,,,0.95,0.88,1.070400249433436,0.9286677130796195,0.8239261982778163,0.0,-161.92604,31.58790714438307,-161.92604
6,1784619977.946741,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,1.224280834197998,-0.013423527299892157,0.15711552021093667,1.422534093260765,62000,1176,496,31,21.28342,0.10845904797315598,-0.024099358983221464,-0.6395996883511543,30.239029,0.11788761126808822,-0.01963225802865054,-0.6738382503390312,,,0.95,0.88,1.3437249429953873,1.5326258651477969,0.9918201499692765,,,34.12412984351226,
7,1784620262.6190743,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.10051825642585754,0.0010346387280151248,0.10437183198519051,1.4206303246319294,72000,1296,576,36,55.713646,0.14492386509664357,-0.013399644034507219,-0.7967092115432024,63.00907,0.1380060282535851,-0.020303918739955407,-0.766410956159234,,,0.95,0.88,2.2847319519391425,1.8325638918320148,1.0070661356337796,,,35.1281060030834,
8,1784620537.5667014,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.2430560141801834,-0.005579236662015319,0.13767808652482927,1.4188917241990566,82000,1360,656,41,49.97363,0.1557279631961137,-0.01805495546432212,-0.8905242998152971,52.25133,0.1410251259803772,-0.01763161359122023,-0.8966264203190804,,,0.95,0.88,2.108586705929281,2.1376785627076798,0.8612392899747878,,,36.370562913431606,
9,1784620810.146,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.09915560483932495,-0.004683460807427764,0.15141826588660479,1.4111134484410286,92000,1404,736,46,58.411316,0.14429736300371587,-0.018189069585787365,-0.9304449986666441,52.219654,0.14590046112425625,-0.021773932112409966,-0.9554141070693731,,,0.95,0.88,2.3739762876745107,1.8457185865118737,0.8026565039954205,,,36.68657280659682,
10,1784621102.414628,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.12828662991523743,-0.01224335643928498,0.06336239672964439,1.4114631973206997,102000,1440,816,51,63.446106,0.17729191109538078,-0.022504069696879014,-0.9831724818795919,58.710327,0.12027256190776825,-0.019951809972553747,-1.0156384129077196,,,0.95,0.88,2.1746087065056328,2.0696780126427567,0.750444871713956,1.0,359.57883,34.21509853182342,359.57883
11,1784621369.8071609,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.3027202785015106,0.0037298979004845023,0.07999494683463126,1.4199115745723248,112000,1458,896,56,114.61949,0.10818656580522656,-0.016744096059483127,-1.1011678352952003,96.07506,0.12293520988896489,-0.017114769827458076,-1.0452460683882236,,,0.95,0.88,3.0201326811415328,2.1349350944584464,0.6821239958273633,,,37.39820270597084,
12,1784621640.5571742,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.4520551562309265,-0.01564027412678115,0.07472489547217265,1.4176432900130749,122000,1482,976,61,67.58659,0.10502608586102724,-0.021513186982247134,-1.0966687835752964,117.030174,0.11426431289874017,-0.022309275927909766,-1.055496845394373,,,0.95,0.88,2.5884993710834063,2.463626310576381,0.5638552415967681,,,36.93443882270366,
13,1784621909.2173328,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.43689781427383423,-0.0015920069999992847,0.08156075654551387,1.4096352495253086,132000,1490,1056,66,56.00991,0.1025549650657922,-0.017517969781692955,-1.1071755923330784,96.21043,0.11148479022085667,-0.025380763925568317,-1.1107847727835178,,,0.95,0.88,3.0538647690805596,2.3735341785975206,0.8641868347233367,,,37.2217464941863,
14,1784622176.7388277,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.1554277241230011,-0.013856198580469936,0.05509447384974919,1.4094958752393723,142000,1496,1136,71,49.503056,0.08841518126428127,-0.024564814477344044,-1.1685316562652588,96.65045,0.09148311638273299,-0.017176586639834568,-1.1663304157555103,,,0.95,0.88,2.6289930125212972,2.985442613930595,0.7786152505662447,,,37.380173197856124,
15,1784622465.679269,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.04003249108791351,-0.003946897661080584,0.047812387754675,1.4151479825377464,152000,1504,1216,76,49.393036,0.05422695679590106,-0.021823277853400214,-1.226530447602272,94.02868,0.0742181601235643,-0.015856054371397477,-1.2238842137157917,,,0.95,0.88,3.3468800138883243,3.576116345524217,0.6693929353435808,1.0,376.3154,34.60920960982977,376.3154
16,1784622734.1945982,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.05705081298947334,-0.004899812978692353,0.10516723059117794,1.4190642610192299,162000,1515,1296,81,74.074745,0.04203442140715197,-0.018748858019534964,-1.2682267762720585,114.55458,0.07438977237325162,-0.026405246571812313,-1.2719999477267265,,,0.95,0.88,3.055917159954685,3.0702512567741405,0.6885199913374114,,,37.24182203229348,
