# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
0,1784033674.5621297,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,2000,0,16,1,0,0.2305048257112503,-0.0054815669097934006,-0.11827661492861807,0,0.0,0.0,0.0,,,0.7257079989268043,0,0,0.0,-142.2552,-142.2552032470703,0.0,24.331089111265925
1,1784033810.191141,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,12000,2,98,6,-51.344585,0.028421562165021896,-0.013567544279794674,-0.14439149806275964,0,0.0,0.0,0.0,,,0.6629122647182915,0,0,,,,,73.7305614079836
2,1784033947.3600676,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,22000,25,201,11,-47.08404,0.040723341109696776,-0.019390572609381707,-0.22516240272670984,0,0.0,0.0,0.0,,,0.8686935604997016,0,0,,,,,72.90277933241201
3,1784034103.5835812,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,32000,85,341,16,-23.496336,0.04270558955613524,-0.022876342107338132,-0.29116666689515114,0,0.0,0.0,0.0,,,0.9546187633408254,0,0,,,,,64.01084691709792
4,1784034308.174507,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,42000,255,591,21,-16.117496,0.023234894557390362,-0.028003006784274476,-0.34855186752974987,0,0.0,0.0,0.0,,,1.1158878530554441,0,0,,,,,48.878031499235085
5,1784034593.6481855,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,52000,560,976,26,-14.388265,0.02077618637122214,-0.024412732804194093,-0.45943903364241123,0,0.0,0.0,0.0,,,1.1648457315971812,0,0,0.0,-190.26515,-190.26515197753906,0.0,35.029496639030604
6,1784034859.0112743,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,62000,907,1403,31,-13.122335,0.025502315489575267,-0.023954067224622122,-0.4936204105615616,0,0.0,0.0,0.0,,,1.3706870094651895,0,0,,,,,37.68421464095853
7,1784035118.198817,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,72000,1209,1785,36,-6.6716757,0.03688854887150228,-0.034844824025640264,-0.6369090862572193,0,0.0,0.0,0.0,,,1.4244196665676037,0,0,,,,,38.58209786177354
8,1784035347.0264306,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,82000,1442,2098,41,1.3023117,0.05140162934549153,-0.0320799246783281,-0.6950849518179893,0,0.0,0.0,0.0,,,1.6604905847202842,0,0,,,,,43.701022860237465
9,1784035569.8869147,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,92000,1636,2372,46,15.494718,0.05462228134274483,-0.028652707958826795,-0.9071593694388866,0,0.0,0.0,0.0,,,2.72119304673695,0,0,,,,,44.871125692207755
10,1784035820.459032,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,102000,1828,2644,51,29.98822,0.05470536963548511,-0.02483310692332452,-1.0366186015307903,0,0.0,0.0,0.0,,,3.25089141884441,0,0,0.0,-181.35217,-181.3521728515625,0.0,39.90866796924166
11,1784036018.1064105,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,112000,2001,2897,56,39.065678,0.05628947576042265,-0.019440203563135583,-1.195491198450327,0,0.0,0.0,0.0,,,5.138437651007634,0,0,,,,,50.59515152815106
12,1784036210.2706192,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,122000,2146,3122,61,36.81979,0.06860186613630503,-0.018321805753657827,-1.287508875131607,0,0.0,0.0,0.0,,,5.864949541152831,0,0,,,,,52.03883038075535
13,1784036384.880675,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,132000,2214,3270,66,53.176067,0.13602727302350104,-0.009278970450395718,-1.3842733204364777,0,0.0,0.0,0.0,,,7.326140113230453,0,0,,,,,57.27046819364043
14,1784036561.8329208,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,142000,2261,3397,71,53.50871,0.18607105035334826,-0.01708529824099969,-1.4608243443071842,0,0.0,0.0,0.0,,,4.862421028710143,0,0,,,,,56.51243718116333
15,1784036737.6969492,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,152000,2291,3507,76,69.04736,0.2111591142602265,-0.02417811091254407,-1.4268052503466606,0,0.0,0.0,0.0,,,5.008486874948559,0,0,0.3333333333333333,-21.697855,-21.69785499572754,0.3333333333333333,56.86209884571469
16,1784036874.761297,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,162000,2312,3608,81,74.536354,0.12834871117956936,-0.022554379131179303,-1.4825292490422726,0,0.0,0.0,0.0,,,3.950878586291157,0,0,,,,,72.9584470984596
17,1784037004.0654044,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,172000,2317,3693,86,71.25467,0.09783139731734991,-0.01652487566752825,-1.4837085641920567,0,0.0,0.0,0.0,,,5.242539208853952,0,0,,,,,77.33705484438352
18,1784037134.9054735,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,182000,2326,3782,91,56.068077,0.07404098415281624,-0.00791481816850137,-1.4545579627156258,0,0.0,0.0,0.0,,,4.996474920413085,0,0,,,,,76.42917419676886
19,1784037263.6501083,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,192000,2330,3866,96,49.246895,0.07334262924268842,-0.011529376612088527,-1.5077642798423767,0,0.0,0.0,0.0,,,7.311240796301979,0,0,,,,,77.67315247536455
20,1784037425.7186396,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,202000,2334,3950,101,54.93255,0.05952460027765483,-0.025795997367822565,-1.554346676915884,0,0.0,0.0,0.0,,,4.737822941186436,0,0,1.0,315.10355,315.1035461425781,1.0,61.70230068472507
21,1784037558.2989128,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,212000,2347,4043,106,139.74118,0.07911008095834404,-0.02353836646216223,-1.5916736498475075,0,0.0,0.0,0.0,,,4.820499196492037,0,0,,,,,75.42603771844769
22,1784037692.139937,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,222000,2362,4138,111,88.55229,0.03959971113363281,-0.023806653189240023,-1.641909085214138,0,0.0,0.0,0.0,,,5.586528096244293,0,0,,,,,74.71545416068518
23,1784037820.7038145,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,232000,2369,4225,116,74.71885,0.034424188546836376,-0.020375581210828386,-1.704548355191946,0,0.0,0.0,0.0,,,5.277570331541616,0,0,,,,,77.78235759407973
24,1784037948.2751513,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,242000,2372,4308,121,93.15123,0.024930085754022002,-0.016951975903793937,-1.7448595985770226,0,0.0,0.0,0.0,,,8.182516301108201,0,0,,,,,78.38751869067411
25,1784038107.2976818,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,252000,2373,4389,126,93.64131,0.02940456260694191,-0.008365527475689305,-1.7207462266087532,0,0.0,0.0,0.0,,,6.710996613735494,0,0,1.0,388.51718,388.5171813964844,1.0,62.88416034490384
26,1784038235.1474848,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,262000,2376,4472,131,90.935425,0.018240326578961685,0.009207582974340767,-1.7676778063178062,0,0.0,0.0,0.0,,,10.280749509060733,0,0,,,,,78.21677449590756
