# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
0,1784900065.8304985,,63450.659736854934,,2259.1600903917274,,0.19953985970189766,,0.5169634474103506,,0.5190076030412164,,0.1862428529181202,0.0,0.0,0.0,0.0,2000,6,16,1,-11.715947,0.222103089094162,-0.008364970228285529,-0.06835360638797283,0,0.0,0.0,0.0,,,0.8581103290425843,0,0,0.0,-157.99191,-157.99191284179688,0.0,33.768881599145665
1,1784900222.5634527,,65464.06215420697,,2293.5824611109465,,0.20036754890765732,,0.5169634525111062,,0.5190076030412164,,0.18658651553086683,0.0,0.0,0.0,0.0,12000,64,96,6,-10.809652,0.1099933348596096,-0.01891612722101854,-0.15355733828619123,0,0.0,0.0,0.0,,,0.8777250144631819,0,0,,,,,63.80277870766385
2,1784900380.3780396,,64757.31459942523,,2265.550912852481,,0.2037026862987086,,0.5169634443812362,,0.5190076030412164,,0.18797128323540693,0.0,0.0,0.0,0.0,22000,178,176,11,-10.819837,0.22777392202988267,-0.015893205141765065,-0.24495370825752616,0,0.0,0.0,0.0,,,1.1198087325113528,0,0,,,,,63.365497568669646
3,1784900540.2854817,,66012.41340186144,,2313.313774226815,,0.19798023125266215,,0.5169634369225095,,0.5190076030412164,,0.18559528360209382,0.0,0.0,0.0,0.0,32000,297,256,16,-11.3745,0.30652082338929176,-0.02448977984022349,-0.3477169815450907,0,0.0,0.0,0.0,,,1.3531104816923074,0,0,,,,,62.53618283504558
4,1784900698.1046689,,68896.3047134599,,2328.6320195993726,,0.20642838368464006,,0.5169634429996751,,0.5190076030412164,,0.18910300909260513,0.0,0.0,0.0,0.0,42000,391,336,21,-8.644383,0.4415921065956354,-0.024002212965569925,-0.411437195725739,0,0.0,0.0,0.0,,,1.7524322193386088,0,0,,,,,63.36364714019808
5,1784900881.9217126,,62566.26590627864,,2258.5427589710093,,0.1967527281466644,,0.5169634431970802,,0.5190076030412164,,0.18508561810119234,0.0,0.0,0.0,0.0,52000,463,416,26,-9.154636,0.4093809286132455,-0.031252043598215096,-0.5501842722296715,0,0.0,0.0,0.0,,,1.8818415194076417,0,0,0.3333333333333333,-80.44294,-80.44293975830078,0.3333333333333333,54.40191948161636
6,1784901039.7655206,,66685.75169986114,,2304.89390939244,,0.20302758879183325,,0.5169634461542982,,0.5190076030412164,,0.18769097899892934,0.0,0.0,0.0,0.0,62000,528,496,31,-10.854709,0.5310326404869556,-0.032480237323682104,-0.5625317599624395,0,0.0,0.0,0.0,,,2.0552849424559767,0,0,,,,,63.35376558337408
7,1784901193.0626662,,62254.24494122161,,2243.281652889725,,0.1985350911890844,,0.5169634519464427,,0.5190076030412164,,0.18582566782738144,0.0,0.0,0.0,0.0,72000,587,576,36,-7.0329638,0.8096684757620096,-0.03069787261483725,-0.8188563957810402,0,0.0,0.0,0.0,,,2.3724788747695325,0,0,,,,,65.23278739750295
8,1784901345.6261232,,66316.91171803232,,2291.579961295875,,0.2049621663727334,,0.516963452742133,,0.5190076030412164,,0.18849422869502452,0.0,0.0,0.0,0.0,82000,630,656,41,-7.194023,0.8557114508002996,-0.02080538889276795,-0.912546556442976,0,0.0,0.0,0.0,,,4.264912742550489,0,0,,,,,65.546495541534
9,1784901501.6017714,,66057.45997318486,,2288.5757120063827,,0.20477267158333248,,0.516963455773051,,0.5190076030412164,,0.18841554991205947,0.0,0.0,0.0,0.0,92000,679,736,46,-6.5786924,1.0313353966921568,-0.018482499188394286,-0.9304066058248281,0,0.0,0.0,0.0,,,4.299929803335059,0,0,,,,,64.11257202902169
