# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784364952.1241503,,4.127140312921256,,3.3154103672131896,,5.6906195264309645,,1.8605562177253887,,3.2757021905854344,0.0,0.0,0.0,0.0,32768,41,16,1,-106.98714,0.15597210973501205,-0.0052941694288165305,5.682061126828193,0,0.0,0.0,0.0,,,0.38394257963076955,0,0,0.0,-121.27755,-121.27754974365234,0.0,2110.862907984266
1,1784365014.3283372,,5.62782131601125,,4.628168041817844,,6.819168999791145,,1.5008766762912273,,3.2252979651093483,0.0,0.0,0.0,0.0,196608,178,96,6,-108.61647,0.054638000426348296,-0.0037106471761944705,5.614845615625382,0,0.0,0.0,0.0,,,0.3695565543098962,0,0,0.0,-131.98141,-131.98141479492188,0.0,2633.9091501994803
2,1784365058.172206,,5.106910535832867,,4.065410168841481,,6.96148575283587,,1.7791556642623618,,3.082448448985815,0.0,0.0,0.0,0.0,360448,215,176,11,-111.046616,0.029024331067921592,-0.002680948628403712,5.494195738434792,0,0.0,0.0,0.0,,,0.37384202888645823,0,0,0.0,-133.60062,-133.60061645507812,0.0,3736.8931529546985
3,1784365099.4647088,,6.197534753009677,,4.21094219898805,,6.722838524729013,,2.3509063944220543,,3.727714978158474,0.0,0.0,0.0,0.0,524288,247,256,16,-108.83248,0.03134672561427578,-0.002211142427404411,5.288247105479241,0,0.0,0.0,0.0,,,0.40982844826976217,0,0,0.0,-117.0186,-117.01860046386719,0.0,3967.787203885979
4,1784365141.4230707,,6.042357548139989,,3.5806939704343677,,6.294012730941176,,1.556893796660006,,3.3567556738853455,0.0,0.0,0.0,0.0,688128,283,336,21,-107.250465,0.026684222929179668,-0.003267229683115147,5.127478796243667,0,0.0,0.0,0.0,,,0.42539658517640494,0,0,0.0,-117.624435,-117.62443542480469,0.0,3904.823509643101
5,1784365185.6756742,,5.175352515652776,,4.399651496205479,,8.069416489452124,,1.4353880868293345,,3.0306481570005417,0.0,0.0,0.0,0.0,851968,326,416,26,-101.95433,0.0321137229562737,-0.002530731004662812,4.979264417290688,0,0.0,0.0,0.0,,,0.4869331883716046,0,0,0.0,-114.56405,-114.56404876708984,0.0,3702.3810977575686
6,1784365232.719053,,5.801029964350164,,3.8664489549410064,,7.235318012535572,,1.5501254593254998,,3.2060901820659637,0.0,0.0,0.0,0.0,1015808,376,496,31,-97.74121,0.03716065230546519,-0.0016086132120108232,4.823957985639572,0,0.0,0.0,0.0,,,0.5366106264331186,0,0,0.0,-120.5427,-120.5427017211914,0.0,3482.743036081751
7,1784365278.0613313,,5.6084686843678355,,3.7863093125633895,,6.15368134342134,,2.0940448623150587,,3.589556673541665,0.0,0.0,0.0,0.0,1179648,428,576,36,-102.041374,0.04442508543143049,-0.0028138812209363095,4.670745047926903,0,0.0,0.0,0.0,,,0.5602363261628776,0,0,0.0,-111.504745,-111.50474548339844,0.0,3613.4063816509088
8,1784365325.053903,,5.843741954304278,,2.5813146273139864,,5.975625729188323,,1.6194520215503871,,3.244008314795792,0.0,0.0,0.0,0.0,1343488,484,656,41,-93.01372,0.04625611444935203,-0.0024844099461915903,4.480679649114609,0,0.0,0.0,0.0,,,0.5979666470476737,0,0,0.0,-114.22844,-114.22843933105469,0.0,3486.5068678455564
9,1784365375.3280327,,6.0389491729438305,,5.048276297748089,,7.845335621386766,,1.4135221237665974,,2.8241691645234823,0.0,0.0,0.0,0.0,1507328,550,736,46,-95.10089,0.06115829879418015,-0.0022439904074417426,4.2910719364881516,0,0.0,0.0,0.0,,,0.6478753511348673,0,0,0.0,-93.1814,-93.181396484375,0.0,3258.936850967959
