# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps,target_agent_return
0,1784462186.1198354,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.9212854858487844,,5.26193171160412,,6.8614027092116885,,1.8037512398441322,,2.6775283492170274,-1.6852912902832031,0.0015708529390394688,0.7614332642406225,1.4182200841605663,32768,136,16,1,-136.12027,0.10680970740504563,-0.0033304849392152393,5.676690474152565,-109.93646,0.21875613695010543,-0.002618219822034007,5.672143286466598,,,0.95,0.88,0.3524043790930286,0.35763879551247524,2.7476179122050084,0.0,-145.65862,2189.4314173463,-136.12027
1,1784462250.2172694,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.29464513878338,,5.620033406186849,,7.189093532972038,,1.9409979454358108,,2.824829497258179,-0.9494706392288208,-0.007074419656419195,0.7267279491061345,1.4152827821671963,196608,418,96,6,-123.723305,0.08906352785415947,-0.0018645720250788146,5.592540010809898,-131.05948,0.033499559218762444,-0.0035370548452192453,5.584107303619385,,,0.95,0.88,0.2956278481858388,0.20687147642637943,3.151729181700249,0.0,-116.17094,2556.108663205143,-123.723305
2,1784462313.892851,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.396091510541737,,5.72553749155486,,7.431688843760639,,2.1122148470021784,,2.9328091049101204,-0.24952195584774017,-0.010659014677003142,0.09259260375984013,1.4194812625646591,360448,850,176,11,-117.73234,0.032530286198016255,-0.005895126894756686,5.510399553179741,-113.53552,0.04531622845679521,-0.0037993672289303505,5.45376900434494,,,0.95,0.88,0.25181124631360136,0.2359037069262088,1.2221072627074148,0.0,-114.225746,2573.0416393305945,-117.73234
3,1784462379.3984787,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.976310862228274,,5.37499718379695,,7.0196809659246355,,1.842236872529611,,2.732975778868422,0.07993512600660324,0.0010465354134794325,0.038831531041068956,1.412881065160036,524288,1327,256,16,-111.2239,0.02646961248246953,-0.003965219779638573,5.35761179625988,-111.9151,0.039982263569254425,-0.002821210341062397,5.353348916769027,,,0.95,0.88,0.28852886882226836,0.2783492147112142,1.2932723112406856,0.0,-125.51389,2501.1610800303993,-111.2239
4,1784462444.0361776,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.348228944349103,,5.71255291144189,,7.44503506924957,,2.036802030284889,,2.8624931112863123,0.13222011923789978,-0.006543599782162346,0.11904611554928124,1.4046003893017769,688128,1754,336,21,-111.29872,0.02907540532760322,-0.00265922808466712,5.1821994334459305,-116.833824,0.011618478811578825,-0.0028207362149260005,5.148619091510772,,,0.95,0.88,0.3132424132171745,0.31336085781351286,1.6539453783602984,0.0,-117.73362,2534.742536411022,-111.29872
5,1784462508.165642,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.971354933455586,,5.447302985005081,,6.82378404866904,,1.8444500014884397,,2.768309192324523,0.19846995174884796,0.0010104345565196127,0.06271688436390832,1.4059763066470623,851968,2138,416,26,-120.39291,0.026864484464749695,-0.002096040784090292,5.019324883818626,-119.75958,0.017964401183417068,-0.002126094527193345,4.955096960067749,,,0.95,0.88,0.3597675529371033,0.32607539143852493,1.5016567066226598,0.0,-120.21379,2554.8345811133777,-120.39291
6,1784462572.0124018,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.8298585866286885,,5.3318275864148745,,6.991660580795724,,1.8209303682669997,,2.668214817531407,0.1952318400144577,-0.0032295502205670346,0.05236173956654966,1.407340444624424,1015808,2404,496,31,-135.15294,0.023426073003793135,-0.003530070307897404,4.784353017807007,-125.13375,0.016265744855627418,-0.0018763163971016183,4.733278068900108,,,0.95,0.88,0.37232559611531546,0.37644831461152845,0.8303672129306774,0.0,-116.69045,2566.142447673138,-135.15294
7,1784462636.4707792,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.836256528738886,,5.2983904971624725,,6.975408022757619,,1.8294373957905918,,2.6870536047499627,0.1878279745578766,-0.007589493125124136,0.04119751165853813,1.410879246890545,1179648,2592,576,36,-113.03813,0.01250778449466452,-0.0016975445192656479,4.520881307125092,-118.138855,0.009305128324194811,-0.004170034708658931,4.4928652286529545,,,0.95,0.88,0.4433653616601608,0.4296911616438379,1.1309391600120289,0.0,-116.84446,2541.7936962290223,-113.03813
8,1784462701.0023036,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.278895606752485,,5.634394966997206,,7.2658460306120105,,1.922147931487416,,2.883881480258424,0.20404815673828125,-0.017022192594595253,0.05990489642135799,1.4142462611198425,1343488,2754,656,41,-121.15037,0.01018878152826801,-0.0019885685615008697,4.26459156870842,-115.25789,0.008588353291270324,-0.0037254631315590814,4.236518377065659,,,0.95,0.88,0.39896761101726785,0.48179712409301434,1.2134315122662005,0.0,-107.32585,2538.9154848770277,-121.15037
9,1784462765.1403449,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.765556219266728,,5.174162993207574,,6.816331196576357,,1.7869233444798738,,2.640300952763937,0.03462293744087219,0.0009822486899793148,0.09278768475633115,1.407651212066412,1507328,2916,736,46,-113.55923,0.010664928585174493,-0.0015809965298103634,4.007782199978829,-110.26988,0.015423700941028073,-0.003415541485446738,4.006057021021843,,,0.95,0.88,0.4704018736903398,0.5281167786865033,1.0934780505839115,0.0,-109.550415,2554.490340284964,-113.55923
