# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps
0,1784257406.3156345,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.496203635819256,,5.947464453987777,,7.369716986082494,,2.2024233318225015,,2.960504060378298,-4.84623908996582,-0.011859313479362754,3.147658172994852,1.4192030690610409,32768,52,16,1,-129.7701,0.06379396440461278,-0.003913175646448508,5.667288306355476,-110.61299,0.08236340635921806,-0.003364399955898989,5.670921057462692,,,0.95,0.9,0.35696581444568826,0.35185187689132963,4.321585684099561,0.0,-149.65936,346.29800350651976
1,1784257726.1011708,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.7852380744880065,,6.095849183853716,,7.50317972432822,,2.1200566119514406,,2.8157043143874034,-1.296377182006836,-0.019370599591638893,0.2283144948305562,1.4180123917758465,196608,430,96,6,-129.8204,0.058814157941378654,-0.002395926581812091,5.612659671902657,-129.08804,0.04322346413973719,-0.004022077296394855,5.5811060011386875,,,0.95,0.9,0.30235300647442953,0.24147878744806403,1.9418546576836642,0.0,-134.02388,512.3431200646285
2,1784258035.1738203,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.595378915430047,,5.147941770032048,,6.554780725971796,,1.6933235824108124,,2.5570536609739065,-0.7300750613212585,0.001181944302516058,0.3948063252028078,1.412364438176155,360448,988,176,11,-120.57389,0.05743754431605339,-0.002549450853985036,5.558514723181725,-126.39485,0.05554536443669349,-0.0031976238446077333,5.4821933031082155,,,0.95,0.9,0.28133106742418157,0.2508645783529085,2.2274184036109625,0.0,-121.74376,530.1019029629239
3,1784258374.9857626,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.982257297728211,,5.353282211348414,,7.099282450508326,,1.7576733435271308,,2.7415794871049,-0.3521100878715515,-0.005363981472328305,0.03606137912720442,1.4163698740303516,524288,1401,256,16,-134.89377,0.039239908696617934,-0.0028333494992693886,5.4654515236616135,-133.0343,0.02363896572496742,-0.002320936231990345,5.427059409022331,,,0.95,0.9,0.2783691170710283,0.2586436918139653,0.5900123024202677,0.0,-137.19652,482.149030065005
4,1784258694.1272895,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.797613732516766,,6.184900698252022,,7.455915442769765,,2.0466576207545586,,3.0617057881318033,-0.25894686579704285,-0.016293631408188958,0.25837063149083406,1.426822792738676,688128,1713,336,21,-133.4698,0.02159896360244602,-0.004319643629423808,5.29056738615036,-128.36966,0.013020728540141135,-0.0028948608014616184,5.249348032474518,,,0.95,0.9,0.32867728369061533,0.31240159818652236,2.4209366130379486,0.0,-137.81331,513.377245897324
5,1784259027.325258,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.961717864032835,,6.125015940517187,,7.883423871360719,,2.381289852783084,,3.070840034808498,0.02550375834107399,-0.001433906378224492,0.05894118832657114,1.419772446155548,851968,1949,416,26,-127.79167,0.014629050582880155,-0.0038277115891105495,5.0537305802106856,-148.6036,0.014654997939942405,-0.0032461474707815795,5.020417121052742,,,0.95,0.9,0.3498538747587358,0.36029727355097585,1.0958070586587358,0.0,-121.200516,491.7196878155117
6,1784259351.79475,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.191278252750635,,5.53260002983734,,7.087106378749013,,1.899449162709061,,2.65734951174818,0.009523419663310051,0.00012735661584883928,0.024486375565174967,1.424524538218975,1015808,2113,496,31,-135.74863,0.016468499999609774,-0.001189468617667444,4.799152821302414,-119.61243,0.008807831612648443,-0.0018378403678070755,4.7245778203010556,,,0.95,0.9,0.3533096833830441,0.36485255434376446,0.8547614618968973,0.0,-113.682846,504.9473352103562
7,1784259677.3408637,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.3707080443855375,,5.522837414871901,,7.20833279407816,,1.864741925150156,,2.79658048087731,-0.12739863991737366,-2.4002627469599247e-05,0.028053367481334135,1.4369236938655376,1179648,2291,576,36,-119.56938,0.014632077474379912,-0.002186596064711921,4.519866105914116,-123.699295,0.016836526183760726,-0.000765682675410062,4.5055578529834746,,,0.95,0.9,0.3754070856728374,0.3755439850322004,1.0840260455499433,0.0,-128.98401,503.27737410934395
8,1784260009.4254818,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.636052372865379,,5.935424739262089,,7.6227161881979555,,2.154282157542184,,3.1353724517393857,0.08238309621810913,-0.0014828284038230777,0.0036687469910248183,1.438829306513071,1343488,2462,656,41,-107.36011,0.018123000813648104,-0.0009571846661856398,4.332785683870315,-109.44298,0.01053818408108782,-0.0007467644172720611,4.314541724324227,,,0.95,0.9,0.4126775191136458,0.4580699164050849,0.9855876962742798,0.0,-123.5074,493.3682249440138
9,1784260333.3710818,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.61923315472086,,4.991754074580967,,6.616683009080589,,1.7688020332716405,,2.561467014718801,-0.17998600006103516,-0.001385384013701696,0.1751901040552184,1.440933968871832,1507328,2628,736,46,-109.1227,0.009406502181082032,-0.0017458350004744716,4.044828280806541,-120.464066,0.01994035403477028,-0.003367859132413287,4.079329559206963,,,0.95,0.9,0.5101558433758459,0.426555475525204,2.1383298304706497,0.0,-118.78902,505.76395103936926
