# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps,target_agent_return
0,1784305363.4046667,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.295912284753285,,5.548910578712821,,7.459976158104837,,2.021046412643045,,2.901598635537084,-3.911874532699585,-0.0018319421506021172,2.1276055946946144,1.419972974807024,32768,270,16,1,-138.19048,0.046267207129858434,-0.002601155117736198,5.660895156860351,-109.523636,0.4884793424978852,-0.0017475987056968733,5.680563890933991,,,0.95,0.9,0.37185746090530947,0.3913067336756327,4.0818195680208795,0.0,-117.31368,1788.7155254954575,-138.19048
1,1784305437.75225,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.358757708687335,,5.362199072726071,,7.056354552623816,,1.9866981864906847,,2.7892988324165344,-0.3366723656654358,-0.004545181487628724,0.09693315625190735,1.4116104915738106,196608,1192,96,6,-148.25385,0.032342429575510326,-0.004948622957454063,5.478510931134224,-112.14681,0.11151141030713915,-0.0032584970773314125,5.62170472741127,,,0.95,0.9,0.27563475180210245,0.2599882469725651,1.4578640637774787,0.0,-132.28195,2203.703202471342,-148.25385
2,1784305512.9038744,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.5025431253015995,,5.98328514629975,,7.227919514407404,,2.159219574779854,,2.9316148197976872,-0.19287563860416412,-0.011797530940384604,0.0573811212379951,1.4209643192589283,360448,1951,176,11,-118.80745,0.029035553464200347,-0.003626576269743964,5.434034144878387,-113.90889,0.06876000873744488,-0.0028626259067095817,5.5337350338697435,,,0.95,0.9,0.28437455461128963,0.2499559674185515,1.2208471707632034,0.0,-127.189674,2180.126035516146,-118.80745
3,1784305584.4605427,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.484017574228346,,5.669904988259077,,7.447046441026032,,1.9512982345186174,,2.918263259343803,-0.0446927435696125,-0.005985359966871329,0.02181971623940626,1.4306309781968594,524288,2438,256,16,-115.91421,0.03701704420382157,-0.002916452128556557,5.30654453933239,-122.69354,0.025979138544062152,-0.0028862960229162128,5.410476151108742,,,0.95,0.9,0.3032128976612696,0.2775200960030556,1.0619393281619907,0.0,-118.20701,2289.6534159825796,-115.91421
4,1784305658.0405977,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.376789594418369,,6.009410639759153,,7.0124091047327965,,2.053037176723592,,2.8942636256979313,-0.032072514295578,-0.0016067009419202805,0.10870639950735494,1.4469179399311543,688128,2845,336,21,-110.901146,0.051867252576630565,-0.001350434725463856,5.181845179200172,-129.30127,0.021104423468932508,-0.0018356938016950153,5.235363847017288,,,0.95,0.9,0.30866609219482594,0.2643131947904731,1.6199299813477803,0.0,-123.18138,2226.6895128606006,-110.901146
5,1784305729.1609652,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.714020543426159,,6.033221462741494,,7.668465581140481,,2.102247112430632,,3.078431413974613,0.16787564754486084,-0.007163934002164751,0.014076894760364667,1.4566980563104153,851968,3169,416,26,-125.1189,0.04042947192210704,-0.002362625490059145,5.037315788865089,-127.04386,0.018126521701924504,-0.001302935427520424,5.061775660514831,,,0.95,0.9,0.3734201107974922,0.3181053389904533,0.7675301987972833,0.0,-130.3605,2303.700981928344,-125.1189
6,1784305802.0585,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.299744867486879,,5.75081898458302,,7.132192386663519,,2.0739126164698973,,2.765555493766442,0.1363045871257782,-0.000815243402030319,0.015581586209009402,1.4612165726721287,1015808,3404,496,31,-119.39412,0.024107119807740673,-0.0026802691747434436,4.854769244790077,-130.345,0.009423722210340203,-0.0012340037399553693,4.8820020169019696,,,0.95,0.9,0.4068167004540566,0.37132031573072516,0.792291678175651,0.0,-122.56095,2247.53897254016,-119.39412
7,1784305875.6452436,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.439848999492824,,5.635506236925721,,7.151396037894301,,1.9576136542018503,,2.9461379605927505,0.07555253803730011,-0.003830988716799766,0.00867806313908659,1.4645062647759914,1179648,3592,576,36,-124.49398,0.01552750850096345,-0.001736950656049885,4.63400647342205,-127.18364,0.015289276972180233,-0.002466548183292616,4.679756730794907,,,0.95,0.9,0.3999641046829082,0.3856223049531551,0.8914013570215216,0.0,-124.0406,2226.4878494456725,-124.49398
8,1784305951.3702161,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.971663048490882,,5.209529813379049,,6.960262065869756,,1.7300716585305054,,2.5750499325804412,-0.08025060594081879,-0.007907664781669155,0.021809242374729365,1.4669034853577614,1343488,3762,656,41,-126.43501,0.008188726860680617,-0.001983657878008671,4.397313866019249,-128.0278,0.015401182032655924,-0.004058844113023952,4.453284913301468,,,0.95,0.9,0.4759308210918788,0.4544056651416243,0.8221685198560537,0.0,-117.71909,2163.6188486639476,-126.43501
9,1784306027.351924,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.550418152473867,,5.870063618756831,,7.370291099883616,,2.054311902495101,,3.0187401025323197,-0.13912713527679443,-0.0062687441386515275,0.02038864766655024,1.4718436114490032,1507328,3931,736,46,-112.33218,0.009057338460115716,-0.0022857388947159054,4.1587691605091095,-125.61546,0.021714551449986175,-0.00374947672826238,4.264500916004181,,,0.95,0.9,0.4667650848570627,0.44971565914125494,0.9388282547348802,0.0,-113.58771,2156.3086595289283,-112.33218
