# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784900014.4421077,,5.859752879478037,,3.2951209763996303,,5.920363767072558,,1.8974492661072873,,3.4471849631518126,0.0,0.0,0.0,0.0,32768,46,16,1,-107.633995,0.15828246222808956,-0.004619724460644648,5.6633959889411924,0,0.0,0.0,0.0,,,0.35813811165989123,0,0,0.0,-100.81191,-100.8119125366211,0.0,4026.248836354629
1,1784900055.1137214,,3.6112993641290814,,3.4486799966543913,,7.200183384120464,,2.0641232801426668,,3.3836129191331565,0.0,0.0,0.0,0.0,196608,281,96,6,-105.284935,0.1130408076569438,-0.0026435071253217758,5.6352046638727185,0,0.0,0.0,0.0,,,0.3579572438726767,0,0,0.0,-147.11899,-147.11898803710938,0.0,4028.3667396878777
2,1784900095.2188756,,4.991581774811493,,2.692974400706589,,5.627268026582897,,1.820544042493566,,3.6749807361047715,0.0,0.0,0.0,0.0,360448,497,176,11,-103.065414,0.10297201676294207,-0.002503832492220681,5.552982047200203,0,0.0,0.0,0.0,,,0.3511899246087947,0,0,0.0,-107.11448,-107.1144790649414,0.0,4085.2557520451073
3,1784900136.2426941,,3.4961616981308907,,2.661089810426347,,5.948452819138765,,2.548947131726891,,3.7086706049740314,0.0,0.0,0.0,0.0,524288,696,256,16,-102.96273,0.07951197519432754,-0.002089433632500004,5.457517090439796,0,0.0,0.0,0.0,,,0.36245700457116137,0,0,0.0,-102.49461,-102.49461364746094,0.0,3993.777309321382
4,1784900177.6014175,,2.9298700857907534,,2.8894176747417077,,6.447385372593999,,1.728533074419829,,3.7502924911677837,0.0,0.0,0.0,0.0,688128,857,336,21,-103.30226,0.08207531550433486,-0.0017356284959532786,5.362272694706917,0,0.0,0.0,0.0,,,0.3930908442235171,0,0,0.0,-101.705605,-101.70560455322266,0.0,3961.439920236166
5,1784900216.5274532,,5.6556242168881,,4.661127221770585,,7.402799502015114,,1.3845118542667478,,3.0016528675332665,0.0,0.0,0.0,0.0,851968,998,416,26,-102.425575,0.0862648578826338,-0.0006717874050082174,5.213660204410553,0,0.0,0.0,0.0,,,0.4316508341766476,0,0,0.0,-102.38408,-102.38407897949219,0.0,4209.005868126401
6,1784900256.7432544,,4.9503025494050235,,3.293334936024621,,7.784738056361675,,1.5059772378299385,,3.3201882522553205,0.0,0.0,0.0,0.0,1015808,1131,496,31,-100.53013,0.07631112923845648,-0.0018534800692577846,5.118127748370171,0,0.0,0.0,0.0,,,0.43634382363984814,0,0,0.0,-100.70233,-100.70233154296875,0.0,4074.0206538882235
7,1784900299.7963736,,4.726095963269472,,3.3306539719342254,,6.78012709133327,,1.7004689798341133,,3.480629473924637,0.0,0.0,0.0,0.0,1179648,1256,576,36,-100.30327,0.06822924553416669,-0.001072226866381243,4.974048480391502,0,0.0,0.0,0.0,,,0.4363340538227248,0,0,0.0,-119.10641,-119.10640716552734,0.0,3805.531462460025
8,1784900338.891697,,6.12737933639437,,3.697579368017614,,7.902156002819538,,1.3094284536782652,,3.3047197572886944,0.0,0.0,0.0,0.0,1343488,1349,656,41,-99.61029,0.06662767638918013,-0.002008764115453232,4.824413561820984,0,0.0,0.0,0.0,,,0.45837965713855044,0,0,0.0,-104.92928,-104.92928314208984,0.0,4190.782190240682
9,1784900379.619631,,5.139278881251812,,1.9972452156798681,,5.520369904115796,,1.8239734414964914,,3.502489859238267,0.0,0.0,0.0,0.0,1507328,1436,736,46,-98.472984,0.05191059599164873,-0.0018834732021787205,4.655123257637024,0,0.0,0.0,0.0,,,0.505684362984397,0,0,0.0,-107.00725,-107.00724792480469,0.0,4022.796231713446
