# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,target_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps
0,1783179623.5571537,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.5434304035734385,,4.866867291955714,,7.469880593940616,,1.9358093390474096,,2.79910830501467,-1.8139982223510742,-0.016243332720478065,0.3125300449319184,1.4170762449502945,32768,458,16,1,-110.446884,-110.446884,0.5956607127562166,-0.0013977541340864264,5.676121160387993,-112.863686,0.1262947274837643,-0.001176632204442285,5.673830384016037,,,0.95,0.9,0.4039759284342718,0.3559137895367767,1.0860381360747207,0.0,-108.52366,1832.3588361711406
1,1783179791.1452215,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.432049558614381,,4.9050899455323815,,7.054209145717323,,1.9671606071060523,,2.8528084645222407,0.020298568531870842,-0.0038687932246830314,0.06084504636237398,1.4192175716161728,360448,2090,176,11,-161.16504,-161.16504,0.02821741809602827,-0.002736801737046335,5.539045107364655,-130.57285,0.0177846914390102,-0.005196651961887256,5.469269526004791,,,0.95,0.9,0.27568021568870604,0.2561508424023825,1.4156912210465644,0.0,-153.94986,1955.2708448367666
2,1783179946.1488287,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.918447257950902,,4.508462607162073,,6.971119076944888,,1.827764431713149,,2.537028683873359,0.09249459952116013,-0.01589157162743504,0.018127858988009393,1.417460661381483,688128,2599,336,21,-112.68634,-112.68634,0.02491503892233595,-0.0027538463327800855,5.2244756639003755,-118.25053,0.01892353996518068,-0.003189751326863188,5.0722047805786135,,,0.95,0.9,0.2940344021913867,0.3012223927769561,0.7208180625465486,0.0,-118.15639,2114.015227877295
3,1783180102.640175,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.982586437603459,,4.688154434552416,,7.000646022614092,,1.818654820555821,,2.6386958905495703,-0.010282322764396667,-0.0074795798282139,0.2511050965404138,1.4063417129218578,1015808,3283,496,31,-135.38107,-135.38107,0.01781966044800356,-0.005058844729501288,4.7767684906721115,-122.92747,0.022174693614942953,-0.0020909992686938494,4.730507084727288,,,0.95,0.9,0.37670517076030197,0.3870339474479373,2.1378612211422308,0.0,-120.128525,2093.9175974953205
4,1783180267.8313835,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.621721167117357,,4.088950986042619,,6.554631078615785,,1.7021044669672847,,2.449357735866215,-0.1677604466676712,-0.006233952648472041,0.055899633560329676,1.407624814659357,1343488,3621,656,41,-110.30998,-110.30998,0.0075929678656393666,-0.0014469513960648328,4.2559955537319185,-111.96239,0.011538503400515765,-0.0015400625867187045,4.212002438306809,,,0.95,0.9,0.4120324957308437,0.43263988069997084,1.2547226349177116,0.0,-109.69814,1983.6407848361123
5,1783180426.1644437,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.572674601338804,,4.935180496424437,,7.353928164346144,,2.116818741953466,,2.8656091724988073,-0.12927211821079254,-0.0023572325299028307,0.01897110247227829,1.4073040038347244,1671168,3954,816,51,-100.95033,-100.95033,0.010272448393516242,-0.0008539015732822008,3.762285569310188,-110.48513,0.008487216252251528,-0.0014937126805307343,3.703938926756382,,,0.95,0.9,0.46535618378980725,0.5678144604620583,1.0433501592910985,0.0,-103.61798,2069.5613500046866
6,1783180583.8929882,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.031240548501955,,4.699734394904226,,6.860829981043935,,1.8671274126973003,,2.6641508463653736,-0.3373246192932129,0.0009491864329902455,0.07416419475339353,1.4003736451268196,1998848,4289,976,61,-89.91135,-89.91135,0.005025683878920972,-0.001630317553645,3.221481569111347,-95.821365,0.010136837881873362,-0.004389421423547901,3.186680755019188,,,0.95,0.9,0.5687910859319072,0.6682425211393737,1.2603431575011923,0.0,-96.22467,2077.4934200617995
7,1783180742.0063956,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.991378771839663,,4.4645734103396535,,7.122462492436171,,1.9062699650385184,,2.677468182417215,-0.5846359133720398,-0.012682656386459712,0.2445810018107295,1.4125779941678047,2326528,4623,1136,71,-81.40528,-81.40528,0.007637537355185487,-0.002037503356405068,2.738363991677761,-109.65176,0.018889398919418453,-0.0013695806745090521,2.679397015273571,,,0.95,0.9,0.5771341418839282,0.7073015822892594,1.4438497569430995,0.0,-81.2082,2072.43650346548
8,1783180899.2907908,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.187429489567876,,4.928108374355361,,6.855456683784723,,1.8764010835438967,,2.8332824239041656,-0.0002300664782524109,-0.008302406989969313,0.09047849895432591,1.4058169722557068,2654208,4957,1296,81,-69.88338,-69.88338,0.006194880747352726,-0.000965205293323379,2.2121026456356048,-72.83238,0.007879044458968565,-0.00013923435617471113,2.2080523028969763,,,0.95,0.9,0.8108772268680553,0.769136656970787,1.2312841113037947,0.0,-73.63991,2083.35980501818
9,1783181059.9094474,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.114002902060747,,4.48863430833444,,7.186726755928248,,1.8287776596844196,,2.591831216457649,-0.403533011674881,-0.011620564000622835,0.3286399958888069,1.3959048353135586,2981888,5295,1456,91,-61.722496,-61.722496,0.004903988811565796,-0.0014661733323009685,1.7134651936590672,-91.41545,0.017437905771657825,-0.0004300445463741198,1.7374532349407672,,,0.95,0.9,0.7173600266102997,0.8880811378697564,0.9144893374657797,0.0,-85.50449,2040.1118233934942
