# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps
0,1783227064.9314528,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.142876872443594,,4.497686810034793,,7.181929787155241,,1.8544005519070197,,2.7430504069197923,-1.8413522243499756,-0.010068349685752764,0.3293155413120985,1.419804461300373,32768,484,16,1,-109.10868,0.5707285638898612,-0.002407470684556756,5.667826828360558,-148.5606,0.2014816103503108,-0.0020962227339623497,5.67869762480259,,,0.95,0.9,0.40841438227490556,0.3756290563787262,1.254101966596045,0.0,-106.06539,943.2029624254006
1,1783227353.1041498,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.680367857217789,,4.839952226728201,,7.224604068789631,,2.142173217376694,,2.9284356440475676,-0.6141768097877502,-0.0032956328650470823,0.018697409745072946,1.4221638664603233,360448,1823,176,11,-138.35966,0.022916558862198143,-0.003219802989042364,5.621440213918686,-133.52774,0.029176718520466237,-0.0030260039697168396,5.593052196502685,,,0.95,0.9,0.2473876365335946,0.23198251299851425,0.8513519768499477,0.0,-137.99332,1137.096232016796
2,1783227639.3499703,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.321553617715836,,5.1083202278241515,,7.341161396354437,,2.0925977940205485,,2.9531887443736196,-0.35849058628082275,-0.0002033713972195983,0.26347477035596967,1.4376917369663715,688128,2254,336,21,-124.72257,0.011606051243143156,-0.0035219541940023193,5.205410599708557,-125.15358,0.007879385229898617,-0.002771884942194447,5.1275193125009535,,,0.95,0.9,0.33356191862139645,0.31282225058024,2.3997505907799805,0.0,-123.82839,1144.7499649480594
3,1783227921.6185753,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.789114006794989,,5.220426457002759,,7.632847957313061,,2.124060448259115,,2.9387501585297287,-0.41025274991989136,-0.0009012840746436268,0.0753578667063266,1.4417378082871437,1015808,2581,496,31,-125.156876,0.0067181806851294825,-0.0025734823051607237,4.775420615077019,-128.8972,0.006474841939052567,-0.002849042214802466,4.657000634074211,,,0.95,0.9,0.3723142770282251,0.39576478253493447,1.465353450677402,0.0,-120.53806,1160.8800771018011
4,1783228235.752888,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.064275982789695,,5.708259548991919,,7.850364209618419,,2.341986990533769,,3.14915723958984,-0.14425712823867798,0.001655322645092383,0.011787513154558837,1.4440954849123955,1343488,2913,656,41,-102.11315,0.013933864451246336,-0.0016972204175544903,4.1913539409637455,-113.736855,0.007993967097718269,-0.002895943442126736,4.131211397051811,,,0.95,0.9,0.4691377092345494,0.488207784014953,1.1580703617238224,0.0,-116.85294,1043.1206791430773
5,1783228527.4868934,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.74807854660321,,5.211337932327297,,7.659209143836051,,2.211985426605679,,2.865266369888559,-0.4322020411491394,-0.013157055451301858,0.10069470666348934,1.4373651668429375,1671168,3283,816,51,-109.525734,0.017246210083249024,-0.001566430697857868,3.7140893071889876,-126.07412,0.03725569560192525,-0.003113082351046614,3.711873026192188,,,0.95,0.9,0.5055011952532512,0.54405565910622,1.1023540636119227,0.0,-102.87024,1123.214993117853
6,1783228808.3513584,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.375667083077133,,4.879112233873457,,6.9433807181194425,,2.0224829805083573,,2.7246867538196966,-0.26904386281967163,-0.02646128305059392,0.06359183310996741,1.440153043717146,1998848,3752,976,61,-94.14989,0.01146612792799715,-0.002129797442466952,3.275132197141647,-116.27034,0.03319864998338744,-0.0031182812905171885,3.3997564166784286,,,0.95,0.9,0.5833259611483684,0.5805141982054901,0.9689884650051208,0.0,-97.33205,1166.6836857767064
7,1783229074.7382808,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.650786045240238,,4.089395375922322,,6.412100640125573,,1.632134443614632,,2.358221884816885,-1.1110477447509766,-0.003689674849738367,0.279817920178175,1.4491025358438492,2326528,4239,1136,71,-104.84892,0.0314372546155937,-0.0009243755819625221,3.003651413321495,-116.41862,0.08054617105517536,-0.002700108713179361,3.0758157566189768,,,0.95,0.9,0.6192797133220062,0.6821757531111363,1.0772071980869586,0.0,-104.99956,1230.0903911511816
8,1783229343.5694423,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.423787571489811,,4.164099846035242,,6.517992099747062,,1.592475614801515,,2.3296228339895606,-0.7949578166007996,-0.0019784134328801883,0.0832684866618365,1.4688799306750298,2654208,4727,1296,81,-84.442856,0.011750869604293257,-0.0008333840087288991,2.66311172246933,-101.91406,0.025236006523482502,-0.0029893873928813265,2.7169231832027436,,,0.95,0.9,0.6122275272409246,0.720755036100285,1.2025066441927161,0.0,-101.62897,1218.9063414597654
9,1783229619.3235953,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.726738441502675,,4.450062469928525,,6.928203860297799,,1.699460380426899,,2.4684191631968133,-0.4189033508300781,-0.003918171365512535,0.250425333622843,1.4687796048820019,2981888,5091,1456,91,-91.12473,0.016714035958284513,-0.001503496104851365,2.3042550072073937,-96.73024,0.015178375953109936,-0.0020417156047187746,2.3778838351368905,,,0.95,0.9,0.6400756392108423,0.7480006629425626,1.5690468405331446,0.0,-105.0699,1188.3048761319856
