# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps
0,1783276140.9579244,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.234720267355442,,5.036063221283257,,6.891127495095134,,1.9214782300405204,,2.7444642948685214,-6.588136672973633,-0.014012772153364494,3.3759177029132843,1.4216449595987797,32768,646,16,1,-105.14044,0.5696577532216907,-0.0020802566694328563,5.669967633485794,-107.84031,0.5871863145381212,-0.0023449945845641198,5.67705570757389,,,0.95,0.95,0.4239059315534329,0.3846494600819989,4.16935333996122,0.0,-106.65409,965.5089523764424
1,1783276454.452213,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.546330338343978,,4.957206841732841,,7.238557979930192,,2.055274627113249,,2.8967506519984454,-0.3317602574825287,-0.005536555137950927,0.019762308642384596,1.427904050797224,360448,2619,176,11,-143.48909,0.0208189895900432,-0.003873309213668108,5.591973149776459,-137.9855,0.04203573561972007,-0.0031890673519228583,5.644419020414352,,,0.95,0.95,0.26833190287385483,0.2420810672527865,0.7844778645718301,0.0,-157.39365,1045.250256623694
2,1783276757.4431329,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.657494225539267,,5.356975667178631,,7.854493499617092,,2.278758089058101,,3.074048604350537,-0.3711230158805847,-0.0046668492432218045,0.036550859673297964,1.427433341741562,688128,3270,336,21,-146.15488,0.014826644887216389,-0.0015542417779215612,5.423925301432609,-131.68147,0.01253815945237875,-0.002406882183277048,5.451728251576424,,,0.95,0.95,0.2622643961949967,0.2839844874602771,1.2454706332847754,0.0,-131.46622,1081.4847840095897
3,1783277081.6324825,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.911955359391868,,4.369655636139214,,6.84625605866313,,1.8393423422967317,,2.6056467719754437,-0.37494635581970215,-0.000664593928377144,0.0706523226108402,1.4202695339918137,1015808,3694,496,31,-138.23907,0.02209992036805488,-0.0012815769645385445,5.100726282596588,-129.00426,0.0051162669304176235,-0.0023689813911914825,4.954533472657204,,,0.95,0.95,0.30158019225969374,0.32278836841626146,1.364694242850827,0.0,-145.53043,1010.7672438210648
4,1783277401.4549975,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.240274518728256,,5.168461142573506,,7.034129516221583,,2.0110912167019706,,2.7687427820346784,-0.25754314661026,-0.0010465001323609613,0.005850242145243101,1.4048308581113815,1343488,4050,656,41,-132.96008,0.01055692418885883,-0.0011365222482709215,4.674874237179756,-131.90881,0.007664174522506073,-0.003194984659785405,4.586557850241661,,,0.95,0.95,0.320876449366086,0.35916198331286686,0.7899105160293054,0.0,-136.81601,1024.568152229344
5,1783277704.3606722,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.160320404742379,,4.641511879162863,,6.774005023762584,,1.822767390171066,,2.617986229714006,-0.16050104796886444,-0.008263388677733019,0.16810482094297186,1.4014616385102272,1671168,4373,816,51,-112.85807,0.006126336187298876,-0.0014895828411681578,4.220304834842682,-111.90505,0.00674943392368732,-0.0017285848007304594,4.053318431973457,,,0.95,0.95,0.45124955176490084,0.4146651616368125,2.021676303589436,0.0,-113.96611,1081.7889194372106
6,1783278011.0428536,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.6490815880242735,,5.189816865553439,,7.831634067930281,,2.2942542897653766,,3.0977724879048765,-0.06991385668516159,-0.00024094121818052372,0.006347695602016756,1.4080245234072208,1998848,4699,976,61,-102.896645,0.005086501037294511,-0.0019209880934795364,3.7380471721291544,-99.310036,0.005825088526762556,-0.001305466386838816,3.578160098195076,,,0.95,0.95,0.51891387720108,0.5374881744004621,0.5712757538745771,0.0,-105.97681,1068.4676520715927
7,1783278319.0019345,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.733672296220902,,4.146138105541468,,6.746779410750605,,1.6666702641232405,,2.413569531403482,-0.028490614145994186,-0.008943621236539911,0.025465228827670217,1.4131039753556252,2326528,5022,1136,71,-90.80081,0.006691373279318213,-0.0022140927554573863,3.0732594668865203,-89.753685,0.008166268115746788,-0.001456175914790947,3.062445065379143,,,0.95,0.95,0.6352614265593978,0.6007520836586961,0.9105597125146758,0.0,-98.742874,1064.0375145370283
8,1783278639.5458026,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.97405458195135,,4.632867273874581,,6.854279926978052,,1.9735863431124017,,2.8050778014585376,-0.06409689784049988,-0.005418370338702516,0.008051812008488923,1.404352966696024,2654208,5351,1296,81,-80.26491,0.007550057594198733,-0.0010785929363919422,2.496380963921547,-105.06203,0.01655963383964263,-0.0013067845662590115,2.5320543691515924,,,0.95,0.95,0.6872006447788401,0.753210973818681,0.7268296176902757,0.0,-87.23351,1022.2625278258301
9,1783278945.8012636,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.28342513134703,,4.762706993613392,,7.05064086150378,,1.8904581544920802,,2.9013267252594233,-0.04695523530244827,-0.008722709186258726,0.015500966052059084,1.4045538380742073,2981888,5680,1456,91,-62.69767,0.0036760997980309186,-0.0009343586367322132,1.8894405320286751,-89.204475,0.01732071691076271,-0.0014740778555278667,2.064201593399048,,,0.95,0.95,0.8898761427944551,0.7408575056270651,0.9348600256338722,0.0,-83.538605,1069.9564438854145
