# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784171699.5975373,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,32768,62,78,1,-119.68712,0.16800064500421286,-0.0017001770931528882,5.678079131245613,0,0.0,0.0,0.0,,,0.3538619796305663,0,0,0.0,-159.90224,-159.90223693847656,0.0,979.2450528237342
1,1784171830.852063,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,196608,293,389,6,-135.74141,0.0815752032212913,-0.003569574060384184,5.696858343482018,0,0.0,0.0,0.0,,,0.3371745187147612,0,0,0.0,-178.2047,-178.20469665527344,0.0,1248.2617888235102
2,1784171911.5658042,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,360448,516,692,11,-125.642334,0.025682999345008284,-0.003337865890352987,5.604307225346565,0,0.0,0.0,0.0,,,0.360073668723116,0,0,0.0,-136.15384,-136.15383911132812,0.0,2029.889690188519
3,1784171980.1783168,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,524288,678,934,16,-126.146805,0.02067517287796363,-0.004542472210596315,5.409246864914894,0,0.0,0.0,0.0,,,0.3831485252857963,0,0,0.0,-123.12453,-123.12452697753906,0.0,2387.905965980622
4,1784172055.0879033,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,688128,877,1213,21,-121.5598,0.05399009152315557,-0.0027278781635686755,5.280187007784844,0,0.0,0.0,0.0,,,0.436851428749931,0,0,0.0,-139.47305,-139.47305297851562,0.0,2187.1671052727384
5,1784172127.0907218,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,851968,1045,1461,26,-128.71916,0.03418610367225483,-0.0029284810821991413,5.124962478876114,0,0.0,0.0,0.0,,,0.45155574288555167,0,0,0.0,-130.16455,-130.16455078125,0.0,2275.4666603931987
6,1784172204.2472205,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1015808,1189,1685,31,-122.08232,0.02157009260263294,-0.002692909649340436,4.945601969957352,0,0.0,0.0,0.0,,,0.4752233160671981,0,0,0.0,-145.80518,-145.80517578125,0.0,2123.476388732286
7,1784172278.0096579,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1179648,1314,1890,36,-116.71718,0.018164888134924694,-0.0016910869191633538,4.704564374685288,0,0.0,0.0,0.0,,,0.533627555983213,0,0,0.0,-117.16628,-117.1662826538086,0.0,2221.1848711682883
8,1784172355.8070118,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1343488,1441,2097,41,-119.3828,0.010909067327156663,-0.002788633614545688,4.4716153889894485,0,0.0,0.0,0.0,,,0.6140468280992631,0,0,0.0,-118.28208,-118.2820816040039,0.0,2105.984070514339
9,1784172429.2464256,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1507328,1550,2286,46,-116.05216,0.00942491157038603,-0.0027291941150906496,4.292114436626434,0,0.0,0.0,0.0,,,0.6649769754915198,0,0,0.0,-111.022964,-111.02296447753906,0.0,2230.9544393361325
10,1784172507.2999642,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1671168,1664,2480,51,-114.45371,0.016743615589803085,-0.0006590085453353822,4.095207956433296,0,0.0,0.0,0.0,,,0.7556544234720661,0,0,0.0,-112.06909,-112.069091796875,0.0,2099.0721559898925
11,1784172591.4704597,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1835008,1771,2667,56,-113.56944,0.012693325590225868,-0.0016621857765130698,3.8762164160609247,0,0.0,0.0,0.0,,,0.7345740930031054,0,0,0.0,-107.82748,-107.82747650146484,0.0,1946.5254572343888
12,1784172663.2588422,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,1998848,1880,2856,61,-105.65171,0.013976295292377473,-0.0020139105152338745,3.6518712475895883,0,0.0,0.0,0.0,,,0.797696764243877,0,0,0.0,-103.61049,-103.61048889160156,0.0,2282.2635604116003
13,1784172737.5969455,,5.28,,4.799999999999999,,7.200000000000002,,1.9800000000000002,,2.759999999999999,0.0,0.0,0.0,0.0,2162688,1991,3047,66,-104.687515,0.012299861261271871,-0.0006348599417833611,3.407688742876053,0,0.0,0.0,0.0,,,0.8725316366426282,0,0,0.0,-104.30089,-104.30088806152344,0.0,2203.9840397465496
