# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784054627.669664,,5.100674144923687,,3.924080564174801,,6.903514917939901,,1.2833100510761142,,3.1374299991875887,0.0,0.0,0.0,0.0,32768,43,16,1,-105.546364,0.1405360578093678,-0.004192749550566077,5.67308711707592,0,0.0,0.0,0.0,,,0.3768445649276143,0,0,0.0,-132.42563,-132.42562866210938,0.0,945.5426228746863
1,1784054746.8444664,,5.281151356175542,,5.07408507168293,,7.549277171492577,,2.059466540813446,,3.0444959923624992,0.0,0.0,0.0,0.0,196608,239,96,6,-109.26634,0.09233599586877972,-0.002896270848577842,5.632621875405311,0,0.0,0.0,0.0,,,0.37436572976012733,0,0,0.0,-125.32216,-125.32215881347656,0.0,1374.7873133827816
2,1784054849.895156,,4.965107385069132,,4.202837273478508,,7.599355690181255,,1.4341945591149852,,2.630296559073031,0.0,0.0,0.0,0.0,360448,405,176,11,-108.82517,0.07160255459602922,-0.004315857161418535,5.553961354494095,0,0.0,0.0,0.0,,,0.3913875940061132,0,0,0.0,-126.287254,-126.2872543334961,0.0,1589.8971267009058
3,1784054938.1497574,,5.255626421421766,,4.2783529264852405,,7.853888124227524,,1.925833453424275,,3.0445890221744776,0.0,0.0,0.0,0.0,524288,497,256,16,-111.21484,0.03836773523362354,-0.0013521089378627949,5.390878215432167,0,0.0,0.0,0.0,,,0.41725689113639264,0,0,0.0,-125.60315,-125.6031494140625,0.0,1856.447110577751
4,1784055020.9738855,,5.1066334545612335,,4.652552460320294,,6.8030559085309505,,1.7915035272017121,,2.961182137951255,0.0,0.0,0.0,0.0,688128,555,336,21,-110.869995,0.03530830990057439,-0.0018995124570210463,5.233557757735253,0,0.0,0.0,0.0,,,0.454170484916742,0,0,0.0,-135.05663,-135.05662536621094,0.0,1978.1680532257321
5,1784055096.111965,,4.706809343770146,,5.063782939687371,,7.586225308477879,,1.703742565587163,,2.612010221928358,0.0,0.0,0.0,0.0,851968,586,416,26,-110.703835,0.019526002235943453,-0.0027881184694706464,5.036616623401642,0,0.0,0.0,0.0,,,0.4620855472818345,0,0,0.0,-133.84348,-133.84347534179688,0.0,2180.518230081247
6,1784055177.8492873,,5.210991548374295,,4.5271220151335,,7.565523348748684,,1.4512947283219546,,2.7167941350489855,0.0,0.0,0.0,0.0,1015808,622,496,31,-106.082886,0.03125575125450268,-0.001189511273696553,4.84726499915123,0,0.0,0.0,0.0,,,0.5151401906695481,0,0,0.0,-171.15213,-171.15213012695312,0.0,2004.46981746606
7,1784055251.704184,,4.78457398712635,,4.769953321665525,,7.26347703486681,,1.7971376213245094,,3.4198237117379904,0.0,0.0,0.0,0.0,1179648,661,576,36,-106.986305,0.02664915790082887,-0.0024732903722906483,4.650179687142372,0,0.0,0.0,0.0,,,0.5398276307570198,0,0,0.0,-107.977615,-107.97761535644531,0.0,2218.404084894748
8,1784055327.6116273,,5.663806069642305,,4.336270757485181,,6.447568843141198,,1.5630093892104924,,2.8176162019371986,0.0,0.0,0.0,0.0,1343488,710,656,41,-102.36599,0.0265076307754498,-0.002277559495996684,4.457240122556686,0,0.0,0.0,0.0,,,0.5669541368189875,0,0,0.0,-105.54967,-105.54966735839844,0.0,2158.4179359501745
9,1784055403.0132618,,6.153583861887455,,4.469094090163708,,6.729273069649935,,1.6109007806517184,,3.1754967477172613,0.0,0.0,0.0,0.0,1507328,757,736,46,-98.50445,0.028682365076383574,-0.0022909938736120237,4.280386754870415,0,0.0,0.0,0.0,,,0.6219244356266652,0,0,0.0,-96.07317,-96.07317352294922,0.0,2172.897213075307
10,1784055481.1744013,,6.022123359143734,,3.8493532058782876,,6.232697917148471,,2.153148758225143,,3.1660818867385387,0.0,0.0,0.0,0.0,1671168,812,816,51,-106.01046,0.03762080541346222,-0.0016417661914601921,4.121608990430832,0,0.0,0.0,0.0,,,0.6606411733921311,0,0,0.0,-96.46214,-96.46214294433594,0.0,2096.18276415659
11,1784055557.283929,,5.140320770442486,,4.665054716169834,,7.248933557420969,,2.1697185561060905,,3.3917442802339792,0.0,0.0,0.0,0.0,1835008,865,896,56,-98.84215,0.0340065466472879,-0.0016338076471583917,3.9783057242631914,0,0.0,0.0,0.0,,,0.7158568918557409,0,0,0.0,-98.037186,-98.03718566894531,0.0,2152.686769863054
12,1784055645.3528538,,4.417228326201439,,4.690610663965344,,7.045916989445686,,1.760224339668639,,3.2004688400775194,0.0,0.0,0.0,0.0,1998848,923,976,61,-95.38983,0.051960225484799595,-0.001850884513987694,3.838651767373085,0,0.0,0.0,0.0,,,0.7241877053720713,0,0,0.0,-103.98418,-103.98417663574219,0.0,1860.3610241776312
13,1784055731.2219589,,4.855703511275351,,4.2417802987620234,,6.884067170321941,,1.799808624200523,,3.263189010322094,0.0,0.0,0.0,0.0,2162688,979,1056,66,-95.92087,0.04630392936524004,-0.0013411640378762969,3.6691687017679215,0,0.0,0.0,0.0,,,0.7794705265284316,0,0,0.0,-90.23476,-90.23475646972656,0.0,1908.0203830658875
14,1784055810.920128,,4.661709787324071,,3.775949743576348,,6.986328419297934,,2.0784420194104314,,3.144567087292671,0.0,0.0,0.0,0.0,2326528,1040,1136,71,-96.80827,0.04359677148750052,-0.0017799317269236782,3.52566057741642,0,0.0,0.0,0.0,,,0.7677178048560086,0,0,0.0,-97.69291,-97.69290924072266,0.0,2055.7568791159715
15,1784055889.4122248,,4.960292931646109,,5.287980157881975,,7.5667561031877995,,1.802808663342148,,2.8983664559200406,0.0,0.0,0.0,0.0,2490368,1098,1216,76,-92.673485,0.043180541764013466,-0.0020346757431980223,3.4002534836530685,0,0.0,0.0,0.0,,,0.793334706311918,0,0,0.0,-106.12866,-106.128662109375,0.0,2087.3432047652273
16,1784055970.596879,,5.123725822195411,,4.03544488362968,,7.123901508748531,,2.0501431357115507,,2.912652213126421,0.0,0.0,0.0,0.0,2654208,1156,1296,81,-90.42142,0.05019345444161445,0.0003556729236152023,3.2979574367403983,0,0.0,0.0,0.0,,,0.9012842173531943,0,0,0.0,-94.40428,-94.40428161621094,0.0,2018.1153678850758
17,1784056052.2982574,,5.428551072254777,,3.976532630622387,,6.699787527322769,,1.8746266735251993,,3.13880518078804,0.0,0.0,0.0,0.0,2818048,1216,1376,86,-92.46925,0.04431987889111042,-0.0006354194847517647,3.165997138619423,0,0.0,0.0,0.0,,,0.9400238397853873,0,0,0.0,-92.11594,-92.11593627929688,0.0,2005.3518095790357
18,1784056134.0126028,,5.375970294699073,,4.906235244125128,,7.410868648439646,,1.7104582568572368,,3.2348864804953337,0.0,0.0,0.0,0.0,2981888,1281,1456,91,-95.9055,0.0581111550796777,-0.001039665043936111,3.085207588970661,0,0.0,0.0,0.0,,,0.9453074915979467,0,0,0.0,-90.47783,-90.47782897949219,0.0,2005.0331615507312
19,1784056219.3700864,,5.792388487607241,,5.240694787353277,,7.820898145437241,,1.7212669947184622,,3.049776079133153,0.0,0.0,0.0,0.0,3145728,1350,1536,96,-95.54173,0.06601024067495018,-0.0010504558100365101,2.9578780084848404,0,0.0,0.0,0.0,,,0.9695640124080238,0,0,0.0,-89.599594,-89.59959411621094,0.0,1919.4583898827032
20,1784056303.1319647,,5.708740092813969,,3.93542337580584,,6.327945813536644,,1.9503622883348726,,2.813421990722418,0.0,0.0,0.0,0.0,3309568,1423,1616,101,-93.789734,0.07217543774750083,0.0003793862939346582,2.8549063488841058,0,0.0,0.0,0.0,,,1.0365936814208427,0,0,0.0,-96.781715,-96.7817153930664,0.0,1956.020143923041
21,1784056387.179095,,5.1597614493221045,,3.79291002638638,,6.610823068767786,,1.7149675695691258,,2.959761576494202,0.0,0.0,0.0,0.0,3473408,1494,1696,106,-87.48485,0.05739197786897421,-0.0011902949714567511,2.727090358734131,0,0.0,0.0,0.0,,,1.1011849312691542,0,0,0.0,-89.16896,-89.16896057128906,0.0,1949.3820302669503
22,1784056474.8141015,,5.28956457041204,,4.380584852769971,,7.487234845757484,,1.9285496789962053,,3.0940925795584917,0.0,0.0,0.0,0.0,3637248,1570,1776,111,-90.49327,0.0636285733897239,0.0008877673622919247,2.5956706404685974,0,0.0,0.0,0.0,,,1.17662915554793,0,0,0.0,-86.67171,-86.67170715332031,0.0,1869.5720579113465
23,1784056558.7049575,,5.485183037817478,,4.317796347895637,,7.275733896531165,,1.7005299864104018,,3.1412572413682938,0.0,0.0,0.0,0.0,3801088,1640,1856,116,-90.60832,0.05306310468586162,0.0002065868626232259,2.506215423345566,0,0.0,0.0,0.0,,,1.160344261634845,0,0,0.0,-86.8952,-86.89520263671875,0.0,1953.0140747110006
24,1784056647.1014776,,5.919551244005561,,4.586463263258338,,6.760843265801668,,2.329987296834588,,3.381813559681177,0.0,0.0,0.0,0.0,3964928,1717,1936,121,-90.752014,0.06653828811831772,-0.0013520768814487382,2.4020989179611205,0,0.0,0.0,0.0,,,1.077399192046298,0,0,0.0,-92.19283,-92.19283294677734,0.0,1853.4669700105783
