bench,variant,method,curve_id,status,metric_name,metric_source,final_value,best_value,best_step,last_logged_step,max_logged_step,total_steps,run_dir,logs_csv,source_log_path,xpid,env_name,seed,notes
bipedal,hard,cp_drl,seed7202,complete,target_agent_return,target_agent_return,-60.366844177246094,-60.366844177246094,49971200.0,49971200.0,49971200.0,50000000.0,curves/bipedal/hard/cp_drl/seed7202,curves/bipedal/hard/cp_drl/seed7202/logs.csv,,baseline-cp_drl-BipedalWalker_MADS_Hard_v0-seed7202-dense_target_20260714_2045,BipedalWalker-MADS-Hard-v0,7202,
bipedal,hard,ppo,seed7002,complete,target_agent_return,target_agent_return,-64.12236785888672,4.5249176025390625,17399808.0,49971200.0,49971200.0,50000000.0,curves/bipedal/hard/ppo/seed7002,curves/bipedal/hard/ppo/seed7002/logs.csv,,baseline-domain_randomization-BipedalWalker_MADS_Hard_v0-seed7002-dense_target_20260714_2045,BipedalWalker-MADS-Hard-v0,7002,
bipedal,hard,procurl_target,seed7102,complete,target_agent_return,target_agent_return,-32.772491455078125,-9.372891426086426,48201728.0,49971200.0,49971200.0,50000000.0,curves/bipedal/hard/procurl_target/seed7102,curves/bipedal/hard/procurl_target/seed7102/logs.csv,,baseline-procurl_target-BipedalWalker_MADS_Hard_v0-seed7102-dense_target_20260714_2045,BipedalWalker-MADS-Hard-v0,7102,
f1,germany,ppo,seed7004,complete,target_agent_return,target_agent_return,609.562744140625,751.590576171875,902000.0,5500000.0,5500000.0,5500000.0,curves/f1/germany/ppo/seed7004,curves/f1/germany/ppo/seed7004/logs.csv,,baseline-domain_randomization-CarRacingF1_Germany_v0-seed7004-dense_target_20260714_2045,CarRacingF1-Germany-v0,7004,
f1,germany,procurl_target,seed7104,complete,target_agent_return,target_agent_return,610.1631469726562,755.79150390625,1002000.0,5500000.0,5500000.0,5500000.0,curves/f1/germany/procurl_target/seed7104,curves/f1/germany/procurl_target/seed7104/logs.csv,,baseline-procurl_target-CarRacingF1_MADS_Germany_v0-seed7104-dense_target_20260714_2045,CarRacingF1-MADS-Germany-v0,7104,
poet,rose_2a,cp_drl,seed72201,complete,target_agent_return,target_agent_return,-92.03045654296875,-79.60997772216797,46071808.0,49971200.0,49971200.0,50000000.0,curves/poet/rose_2a/cp_drl/seed72201,curves/poet/rose_2a/cp_drl/seed72201/logs.csv,,baseline-cp_drl-BipedalWalker_MADS_POET_Rose_2a_v0-seed72201-poet2a_all_methods_20260717_1041,BipedalWalker-MADS-POET-Rose-2a-v0,72201,
poet,rose_2a,cp_drl,seed72202,complete,target_agent_return,target_agent_return,-67.987548828125,-43.80516815185547,40665088.0,49971200.0,49971200.0,50000000.0,curves/poet/rose_2a/cp_drl/seed72202,curves/poet/rose_2a/cp_drl/seed72202/logs.csv,,baseline-cp_drl-BipedalWalker_MADS_POET_Rose_2a_v0-seed72202-poet2a_all_methods_20260717_1041,BipedalWalker-MADS-POET-Rose-2a-v0,72202,
poet,rose_2a,mads,seed73201,complete,target_agent_return,mean_agent_return,-10.55953,8.021972,47710208.0,49971200.0,49971200.0,50000000.0,curves/poet/rose_2a/mads/seed73201,curves/poet/rose_2a/mads/seed73201/logs.csv,,mads-BipedalWalker_MADS_POET_Rose_2a_v0-l2_0.90-mag0.10-seed73201-poet2a_all_methods_20260717_1041,BipedalWalker-MADS-POET-Rose-2a-v0,73201,POET-Rose 2a MADS repeat. target_agent_return is reported from mean_agent_return for MADS.
poet,rose_2a,mads,seed73202,complete,target_agent_return,mean_agent_return,-10.507101,-1.5518992,49512448.0,49971200.0,49971200.0,50000000.0,curves/poet/rose_2a/mads/seed73202,curves/poet/rose_2a/mads/seed73202/logs.csv,,mads-BipedalWalker_MADS_POET_Rose_2a_v0-l2_0.90-mag0.10-seed73202-poet2a_all_methods_20260717_1041,BipedalWalker-MADS-POET-Rose-2a-v0,73202,POET-Rose 2a MADS repeat. target_agent_return is reported from mean_agent_return for MADS.
poet,rose_2a,ppo,seed70201,complete,target_agent_return,target_agent_return,-15.13731575012207,7.667433261871338,37552128.0,49971200.0,49971200.0,50000000.0,curves/poet/rose_2a/ppo/seed70201,curves/poet/rose_2a/ppo/seed70201/logs.csv,,baseline-domain_randomization-BipedalWalker_MADS_POET_Rose_2a_v0-seed70201-poet2a_all_methods_20260717_1041,BipedalWalker-MADS-POET-Rose-2a-v0,70201,
